time,PT.Fuel_Fill_Press.sample_ts_ms
2026-03-06 12:51:46.355115,3274980402
2026-03-06 12:51:46.455454,3274980503
2026-03-06 12:51:46.556823,3274980604
2026-03-06 12:51:46.658271,3274980705
2026-03-06 12:51:46.758947,3274980806
2026-03-06 12:51:46.860093,3274980907
2026-03-06 12:51:46.961575,3274981009
2026-03-06 12:51:47.062615,3274981110
2026-03-06 12:51:47.163504,3274981211
2026-03-06 12:51:47.265074,3274981312
2026-03-06 12:51:47.366405,3274981413
2026-03-06 12:51:47.468323,3274981515
2026-03-06 12:51:47.568527,3274981615
2026-03-06 12:51:47.669358,3274981716
2026-03-06 12:51:47.771109,3274981818
2026-03-06 12:51:47.873277,3274981920
2026-03-06 12:51:47.974742,3274982022
2026-03-06 12:51:48.075475,3274982123
2026-03-06 12:51:48.176665,3274982224
2026-03-06 12:51:48.278265,3274982325
2026-03-06 12:51:48.379149,3274982426
2026-03-06 12:51:48.480436,3274982527
2026-03-06 12:51:48.580979,3274982628
2026-03-06 12:51:48.682197,3274982729
2026-03-06 12:51:48.782938,3274982830
2026-03-06 12:51:48.88374,3274982931
2026-03-06 12:51:48.985218,3274983032
2026-03-06 12:51:49.086207,3274983133
2026-03-06 12:51:49.18701,3274983234
2026-03-06 12:51:49.288098,3274983335
2026-03-06 12:51:49.388824,3274983436
2026-03-06 12:51:49.490035,3274983537
2026-03-06 12:51:49.590725,3274983638
2026-03-06 12:51:49.692226,3274983739
2026-03-06 12:51:49.793116,3274983840
2026-03-06 12:51:49.893955,3274983941
2026-03-06 12:51:49.995064,3274984042
2026-03-06 12:51:50.095685,3274984143
2026-03-06 12:51:50.196677,3274984244
2026-03-06 12:51:50.297413,3274984345
2026-03-06 12:51:50.398602,3274984445
2026-03-06 12:51:50.499576,3274984546
2026-03-06 12:51:50.600332,3274984647
2026-03-06 12:51:50.701139,3274984748
2026-03-06 12:51:50.802056,3274984849
2026-03-06 12:51:50.902839,3274984950
2026-03-06 12:51:51.003741,3274985051
2026-03-06 12:51:51.10493,3274985152
2026-03-06 12:51:51.205764,3274985253
2026-03-06 12:51:51.306659,3274985354
2026-03-06 12:51:51.408229,3274985455
2026-03-06 12:51:51.509314,3274985556
2026-03-06 12:51:51.6101,3274985657
2026-03-06 12:51:51.711091,3274985758
2026-03-06 12:51:51.812169,3274985859
2026-03-06 12:51:51.913201,3274985960
2026-03-06 12:51:52.014057,3274986061
2026-03-06 12:51:52.115691,3274986163
2026-03-06 12:51:52.21704,3274986264
2026-03-06 12:51:52.317645,3274986365
2026-03-06 12:51:52.418726,3274986466
2026-03-06 12:51:52.519784,3274986567
2026-03-06 12:51:52.621278,3274986668
2026-03-06 12:51:52.722188,3274986769
2026-03-06 12:51:52.823941,3274986871
2026-03-06 12:51:52.925122,3274986972
2026-03-06 12:51:53.025491,3274987073
2026-03-06 12:51:53.126982,3274987174
2026-03-06 12:51:53.228239,3274987275
2026-03-06 12:51:53.329248,3274987376
2026-03-06 12:51:53.430605,3274987477
2026-03-06 12:51:53.531971,3274987579
2026-03-06 12:51:53.632673,3274987680
2026-03-06 12:51:53.733424,3274987781
2026-03-06 12:51:53.835335,3274987882
2026-03-06 12:51:53.936142,3274987983
2026-03-06 12:51:54.03686,3274988084
2026-03-06 12:51:54.137699,3274988185
2026-03-06 12:51:54.238392,3274988285
2026-03-06 12:51:54.339251,3274988386
2026-03-06 12:51:54.440357,3274988487
2026-03-06 12:51:54.540485,3274988588
2026-03-06 12:51:54.641246,3274988689
2026-03-06 12:51:54.742698,3274988790
2026-03-06 12:51:54.84453,3274988891
2026-03-06 12:51:54.946354,3274988993
2026-03-06 12:51:55.047662,3274989094
2026-03-06 12:51:55.147985,3274989195
2026-03-06 12:51:55.249067,3274989296
2026-03-06 12:51:55.349563,3274989397
2026-03-06 12:51:55.450559,3274989498
2026-03-06 12:51:55.551158,3274989598
2026-03-06 12:51:55.651654,3274989699
2026-03-06 12:51:55.753108,3274989800
2026-03-06 12:51:55.853968,3274989901
2026-03-06 12:51:55.954561,3274990002
2026-03-06 12:51:56.055556,3274990102
2026-03-06 12:51:56.155928,3274990203
2026-03-06 12:51:56.256987,3274990304
2026-03-06 12:51:56.357843,3274990405
2026-03-06 12:51:56.45862,3274990506
2026-03-06 12:51:56.560201,3274990607
2026-03-06 12:51:56.660771,3274990708
2026-03-06 12:51:56.76168,3274990809
2026-03-06 12:51:56.862498,3274990909
2026-03-06 12:51:56.962996,3274991010
2026-03-06 12:51:57.06423,3274991111
2026-03-06 12:51:57.165271,3274991212
2026-03-06 12:51:57.266473,3274991314
2026-03-06 12:51:57.367743,3274991415
2026-03-06 12:51:57.469452,3274991516
2026-03-06 12:51:57.570182,3274991617
2026-03-06 12:51:57.671735,3274991719
2026-03-06 12:51:57.773468,3274991820
2026-03-06 12:51:57.874404,3274991922
2026-03-06 12:51:57.975539,3274992023
2026-03-06 12:51:58.076608,3274992124
2026-03-06 12:51:58.177719,3274992225
2026-03-06 12:51:58.278555,3274992326
2026-03-06 12:51:58.379342,3274992427
2026-03-06 12:51:58.480616,3274992527
2026-03-06 12:51:58.581131,3274992628
2026-03-06 12:51:58.681878,3274992729
2026-03-06 12:51:58.782852,3274992830
2026-03-06 12:51:58.883276,3274992931
2026-03-06 12:51:58.984357,3274993032
2026-03-06 12:51:59.08578,3274993133
2026-03-06 12:51:59.187309,3274993234
2026-03-06 12:51:59.288649,3274993336
2026-03-06 12:51:59.389673,3274993437
2026-03-06 12:51:59.490873,3274993538
2026-03-06 12:51:59.592302,3274993639
2026-03-06 12:51:59.69321,3274993740
2026-03-06 12:51:59.793987,3274993841
2026-03-06 12:51:59.895375,3274993943
2026-03-06 12:51:59.996686,3274994044
2026-03-06 12:52:00.097939,3274994145
2026-03-06 12:52:00.198767,3274994246
2026-03-06 12:52:00.299799,3274994347
2026-03-06 12:52:00.400739,3274994448
2026-03-06 12:52:00.502154,3274994549
2026-03-06 12:52:00.602704,3274994650
2026-03-06 12:52:00.704245,3274994751
2026-03-06 12:52:00.805519,3274994852
2026-03-06 12:52:00.906127,3274994953
2026-03-06 12:52:01.006819,3274995054
2026-03-06 12:52:01.107805,3274995155
2026-03-06 12:52:01.209048,3274995256
2026-03-06 12:52:01.309317,3274995357
2026-03-06 12:52:01.41049,3274995457
2026-03-06 12:52:01.511168,3274995558
2026-03-06 12:52:01.611906,3274995659
2026-03-06 12:52:01.712948,3274995760
2026-03-06 12:52:01.813887,3274995861
2026-03-06 12:52:01.914627,3274995962
2026-03-06 12:52:02.015523,3274996063
2026-03-06 12:52:02.116646,3274996164
2026-03-06 12:52:02.217355,3274996265
2026-03-06 12:52:02.318511,3274996366
2026-03-06 12:52:02.419625,3274996467
2026-03-06 12:52:02.52069,3274996568
2026-03-06 12:52:02.621501,3274996669
2026-03-06 12:52:02.722696,3274996770
2026-03-06 12:52:02.823507,3274996871
2026-03-06 12:52:02.924406,3274996971
2026-03-06 12:52:03.025589,3274997073
2026-03-06 12:52:03.126174,3274997173
2026-03-06 12:52:03.227369,3274997274
2026-03-06 12:52:03.328385,3274997375
2026-03-06 12:52:03.429358,3274997476
2026-03-06 12:52:03.530098,3274997577
2026-03-06 12:52:03.630692,3274997678
2026-03-06 12:52:03.731827,3274997779
2026-03-06 12:52:03.832448,3274997880
2026-03-06 12:52:03.933012,3274997980
2026-03-06 12:52:04.033874,3274998081
2026-03-06 12:52:04.135136,3274998182
2026-03-06 12:52:04.23626,3274998283
2026-03-06 12:52:04.337202,3274998384
2026-03-06 12:52:04.437788,3274998485
2026-03-06 12:52:04.53883,3274998586
2026-03-06 12:52:04.64034,3274998687
2026-03-06 12:52:04.741164,3274998788
2026-03-06 12:52:04.842575,3274998889
2026-03-06 12:52:04.943577,3274998991
2026-03-06 12:52:05.044968,3274999092
2026-03-06 12:52:05.146647,3274999193
2026-03-06 12:52:05.248138,3274999295
2026-03-06 12:52:05.349564,3274999396
2026-03-06 12:52:05.450664,3274999498
2026-03-06 12:52:05.552062,3274999599
2026-03-06 12:52:05.652982,3274999700
2026-03-06 12:52:05.753648,3274999801
2026-03-06 12:52:05.854275,3274999902
