time,PT.Ox_Downstream.status
2026-03-06 14:54:27.174109,0
2026-03-06 14:54:27.275226,0
2026-03-06 14:54:27.377071,0
2026-03-06 14:54:27.478042,0
2026-03-06 14:54:27.578983,0
2026-03-06 14:54:27.680126,0
2026-03-06 14:54:27.781194,0
2026-03-06 14:54:27.881763,0
2026-03-06 14:54:27.983081,0
2026-03-06 14:54:28.08391,0
2026-03-06 14:54:28.184654,0
2026-03-06 14:54:28.285478,0
2026-03-06 14:54:28.387256,0
2026-03-06 14:54:28.488032,0
2026-03-06 14:54:28.589345,0
2026-03-06 14:54:28.690777,0
2026-03-06 14:54:28.79171,0
2026-03-06 14:54:28.892454,0
2026-03-06 14:54:28.993266,0
2026-03-06 14:54:29.09414,0
2026-03-06 14:54:29.195222,0
2026-03-06 14:54:29.296085,0
2026-03-06 14:54:29.397079,0
2026-03-06 14:54:29.498401,0
2026-03-06 14:54:29.599869,0
2026-03-06 14:54:29.701014,0
2026-03-06 14:54:29.802423,0
2026-03-06 14:54:29.903369,0
2026-03-06 14:54:30.004477,0
2026-03-06 14:54:30.105101,0
2026-03-06 14:54:30.206835,0
2026-03-06 14:54:30.307816,0
2026-03-06 14:54:30.409216,0
2026-03-06 14:54:30.510443,0
2026-03-06 14:54:30.611741,0
2026-03-06 14:54:30.713044,0
2026-03-06 14:54:30.813784,0
2026-03-06 14:54:30.914637,0
2026-03-06 14:54:31.015683,0
2026-03-06 14:54:31.116965,0
2026-03-06 14:54:31.218342,0
2026-03-06 14:54:31.319386,0
2026-03-06 14:54:31.420836,0
2026-03-06 14:54:31.52206,0
2026-03-06 14:54:31.622761,0
2026-03-06 14:54:31.723541,0
2026-03-06 14:54:31.824715,0
2026-03-06 14:54:31.925986,0
2026-03-06 14:54:32.027117,0
2026-03-06 14:54:32.128175,0
2026-03-06 14:54:32.229664,0
2026-03-06 14:54:32.330826,0
2026-03-06 14:54:32.431718,0
2026-03-06 14:54:32.533006,0
2026-03-06 14:54:32.633636,0
2026-03-06 14:54:32.734982,0
2026-03-06 14:54:32.836203,0
2026-03-06 14:54:32.937499,0
2026-03-06 14:54:33.038262,0
2026-03-06 14:54:33.139596,0
2026-03-06 14:54:33.241012,0
2026-03-06 14:54:33.342404,0
2026-03-06 14:54:33.443149,0
2026-03-06 14:54:33.544283,0
2026-03-06 14:54:33.645366,0
2026-03-06 14:54:33.746355,0
2026-03-06 14:54:33.847297,0
2026-03-06 14:54:33.949004,0
2026-03-06 14:54:34.049984,0
2026-03-06 14:54:34.150803,0
2026-03-06 14:54:34.251484,0
2026-03-06 14:54:34.352639,0
2026-03-06 14:54:34.453769,0
2026-03-06 14:54:34.554726,0
2026-03-06 14:54:34.655542,0
2026-03-06 14:54:34.756569,0
2026-03-06 14:54:34.857103,0
2026-03-06 14:54:34.958198,0
2026-03-06 14:54:35.059245,0
2026-03-06 14:54:35.160155,0
2026-03-06 14:54:35.261102,0
2026-03-06 14:54:35.362281,0
2026-03-06 14:54:35.463434,0
2026-03-06 14:54:35.564204,0
2026-03-06 14:54:35.66559,0
2026-03-06 14:54:35.766654,0
2026-03-06 14:54:35.867645,0
2026-03-06 14:54:35.968509,0
2026-03-06 14:54:36.069273,0
2026-03-06 14:54:36.170084,0
2026-03-06 14:54:36.271619,0
2026-03-06 14:54:36.372108,0
2026-03-06 14:54:36.473364,0
2026-03-06 14:54:36.574063,0
2026-03-06 14:54:36.674728,0
2026-03-06 14:54:36.775964,0
2026-03-06 14:54:36.877418,0
2026-03-06 14:54:36.978193,0
2026-03-06 14:54:37.079227,0
2026-03-06 14:54:37.181161,0
2026-03-06 14:54:37.281813,0
2026-03-06 14:54:37.38252,0
2026-03-06 14:54:37.485254,0
2026-03-06 14:54:37.584627,0
2026-03-06 14:54:37.685548,0
2026-03-06 14:54:37.786622,0
2026-03-06 14:54:37.887648,0
2026-03-06 14:54:37.988653,0
2026-03-06 14:54:38.090336,0
2026-03-06 14:54:38.191294,0
2026-03-06 14:54:38.292107,0
2026-03-06 14:54:38.393194,0
2026-03-06 14:54:38.494349,0
2026-03-06 14:54:38.595132,0
2026-03-06 14:54:38.696648,0
2026-03-06 14:54:38.797425,0
2026-03-06 14:54:38.898583,0
2026-03-06 14:54:38.999929,0
2026-03-06 14:54:39.100882,0
2026-03-06 14:54:39.201493,0
2026-03-06 14:54:39.302391,0
2026-03-06 14:54:39.403554,0
2026-03-06 14:54:39.504177,0
2026-03-06 14:54:39.605519,0
2026-03-06 14:54:39.706768,0
2026-03-06 14:54:39.807735,0
2026-03-06 14:54:39.908434,0
2026-03-06 14:54:40.009446,0
2026-03-06 14:54:40.111135,0
2026-03-06 14:54:40.21201,0
2026-03-06 14:54:40.312915,0
2026-03-06 14:54:40.413751,0
2026-03-06 14:54:40.51571,0
2026-03-06 14:54:40.616193,0
2026-03-06 14:54:40.716967,0
2026-03-06 14:54:40.817818,0
2026-03-06 14:54:40.918891,0
2026-03-06 14:54:41.020498,0
2026-03-06 14:54:41.122214,0
2026-03-06 14:54:41.223049,0
2026-03-06 14:54:41.324221,0
2026-03-06 14:54:41.424838,0
2026-03-06 14:54:41.526309,0
2026-03-06 14:54:41.627331,0
2026-03-06 14:54:41.727768,0
2026-03-06 14:54:41.829155,0
2026-03-06 14:54:41.930635,0
2026-03-06 14:54:42.031632,0
2026-03-06 14:54:42.132636,0
2026-03-06 14:54:42.233821,0
2026-03-06 14:54:42.334671,0
2026-03-06 14:54:42.435502,0
2026-03-06 14:54:42.536633,0
2026-03-06 14:54:42.63762,0
2026-03-06 14:54:42.738551,0
2026-03-06 14:54:42.839855,0
2026-03-06 14:54:42.941018,0
2026-03-06 14:54:43.042008,0
2026-03-06 14:54:43.142687,0
2026-03-06 14:54:43.24414,0
2026-03-06 14:54:43.345338,0
2026-03-06 14:54:43.446341,0
2026-03-06 14:54:43.547396,0
2026-03-06 14:54:43.647828,0
2026-03-06 14:54:43.749225,0
2026-03-06 14:54:43.850143,0
2026-03-06 14:54:43.951257,0
2026-03-06 14:54:44.052233,0
2026-03-06 14:54:44.152829,0
2026-03-06 14:54:44.254236,0
2026-03-06 14:54:44.354809,0
2026-03-06 14:54:44.45562,0
2026-03-06 14:54:44.556633,0
2026-03-06 14:54:44.657559,0
2026-03-06 14:54:44.758703,0
2026-03-06 14:54:44.859586,0
2026-03-06 14:54:44.960777,0
2026-03-06 14:54:45.061865,0
2026-03-06 14:54:45.162402,0
2026-03-06 14:54:45.263316,0
2026-03-06 14:54:45.364302,0
2026-03-06 14:54:45.46472,0
2026-03-06 14:54:45.566138,0
2026-03-06 14:54:45.667044,0
2026-03-06 14:54:45.768365,0
2026-03-06 14:54:45.869326,0
2026-03-06 14:54:45.970378,0
2026-03-06 14:54:46.071929,0
2026-03-06 14:54:46.172971,0
2026-03-06 14:54:46.273841,0
2026-03-06 14:54:46.375119,0
2026-03-06 14:54:46.476133,0
2026-03-06 14:54:46.576832,0
2026-03-06 14:54:46.678142,0
2026-03-06 14:54:46.779436,0
2026-03-06 14:54:46.88052,0
2026-03-06 14:54:46.981774,0
2026-03-06 14:54:47.082719,0
2026-03-06 14:54:47.183494,0
2026-03-06 14:54:47.284186,0
2026-03-06 14:54:47.38506,0
2026-03-06 14:54:47.486511,0
2026-03-06 14:54:47.587249,0
2026-03-06 14:54:47.688898,0
2026-03-06 14:54:47.789641,0
2026-03-06 14:54:47.890628,0
2026-03-06 14:54:47.991346,0
2026-03-06 14:54:48.092703,0
2026-03-06 14:54:48.193296,0
2026-03-06 14:54:48.294165,0
2026-03-06 14:54:48.39506,0
2026-03-06 14:54:48.496429,0
2026-03-06 14:54:48.596833,0
2026-03-06 14:54:48.697586,0
2026-03-06 14:54:48.798391,0
2026-03-06 14:54:48.899743,0
2026-03-06 14:54:49.000505,0
2026-03-06 14:54:49.102176,0
2026-03-06 14:54:49.203206,0
2026-03-06 14:54:49.303885,0
2026-03-06 14:54:49.405011,0
2026-03-06 14:54:49.506363,0
2026-03-06 14:54:49.606886,0
2026-03-06 14:54:49.708102,0
2026-03-06 14:54:49.809048,0
2026-03-06 14:54:49.910502,0
2026-03-06 14:54:50.011,0
2026-03-06 14:54:50.111823,0
2026-03-06 14:54:50.212785,0
2026-03-06 14:54:50.313832,0
2026-03-06 14:54:50.414956,0
2026-03-06 14:54:50.515876,0
2026-03-06 14:54:50.617272,0
2026-03-06 14:54:50.718227,0
2026-03-06 14:54:50.819023,0
2026-03-06 14:54:50.920319,0
2026-03-06 14:54:51.021071,0
2026-03-06 14:54:51.12214,0
2026-03-06 14:54:51.222802,0
2026-03-06 14:54:51.323903,0
2026-03-06 14:54:51.424944,0
2026-03-06 14:54:51.526195,0
2026-03-06 14:54:51.627502,0
2026-03-06 14:54:51.728328,0
2026-03-06 14:54:51.829259,0
2026-03-06 14:54:51.930306,0
2026-03-06 14:54:52.031755,0
2026-03-06 14:54:52.132911,0
2026-03-06 14:54:52.234668,0
2026-03-06 14:54:52.335237,0
2026-03-06 14:54:52.436149,0
2026-03-06 14:54:52.537177,0
2026-03-06 14:54:52.638508,0
