time,BOARD.HB_14.packet_ts_ms
2026-03-06 14:36:13.283648,3281247331
2026-03-06 14:36:14.293516,3281248340
2026-03-06 14:36:15.303012,3281249350
2026-03-06 14:36:16.312738,3281250360
2026-03-06 14:36:17.322033,3281251369
2026-03-06 14:36:18.331098,3281252378
2026-03-06 14:36:19.340681,3281253388
2026-03-06 14:36:20.349886,3281254397
2026-03-06 14:36:21.359344,3281255406
2026-03-06 14:36:22.368455,3281256415
2026-03-06 14:36:23.376871,3281257424
2026-03-06 14:36:24.38525,3281258432
2026-03-06 14:36:25.394549,3281259442
2026-03-06 14:36:26.404579,3281260451
2026-03-06 14:36:27.413536,3281261461
2026-03-06 14:36:28.422896,3281262470
2026-03-06 14:36:29.43301,3281263480
2026-03-06 14:36:30.441287,3281264488
2026-03-06 14:36:31.449818,3281265497
2026-03-06 14:36:32.458803,3281266506
2026-03-06 14:36:33.468301,3281267515
2026-03-06 14:36:34.477136,3281268524
2026-03-06 14:36:35.486015,3281269533
2026-03-06 14:36:36.49539,3281270542
2026-03-06 14:36:37.504411,3281271551
2026-03-06 14:36:38.513247,3281272560
2026-03-06 14:36:39.522779,3281273570
2026-03-06 14:36:40.531867,3281274579
2026-03-06 14:36:41.541025,3281275588
2026-03-06 14:36:42.550555,3281276597
2026-03-06 14:36:43.558773,3281277606
2026-03-06 14:36:44.568547,3281278616
2026-03-06 14:36:45.578555,3281279625
2026-03-06 14:36:46.587102,3281280634
2026-03-06 14:36:47.595567,3281281642
2026-03-06 14:36:48.603579,3281282651
2026-03-06 14:36:49.604141,3281283651
2026-03-06 14:36:50.613233,3281284660
2026-03-06 14:36:51.622215,3281285669
2026-03-06 14:36:52.631588,3281286679
2026-03-06 14:36:53.640426,3281287688
2026-03-06 14:36:54.650947,3281288698
2026-03-06 14:36:55.659907,3281289707
2026-03-06 14:36:56.669955,3281290717
2026-03-06 14:36:57.679639,3281291726
2026-03-06 14:36:58.688547,3281292736
2026-03-06 14:36:59.697787,3281293745
2026-03-06 14:37:00.707608,3281294754
2026-03-06 14:37:01.716559,3281295763
2026-03-06 14:37:02.724927,3281296772
2026-03-06 14:37:03.725149,3281297772
2026-03-06 14:37:04.734166,3281298781
2026-03-06 14:37:05.734537,3281299782
2026-03-06 14:37:06.74446,3281300791
2026-03-06 14:37:07.744603,3281301791
2026-03-06 14:37:08.754233,3281302801
2026-03-06 14:37:09.76337,3281303810
2026-03-06 14:37:10.772964,3281304820
2026-03-06 14:37:11.782082,3281305829
2026-03-06 14:37:12.792166,3281306839
2026-03-06 14:37:13.800804,3281307848
2026-03-06 14:37:14.809303,3281308857
2026-03-06 14:37:15.809404,3281309857
2026-03-06 14:37:16.819249,3281310866
2026-03-06 14:37:17.819045,3281311866
2026-03-06 14:37:18.828065,3281312875
2026-03-06 14:37:19.838146,3281313885
2026-03-06 14:37:20.84764,3281314895
2026-03-06 14:37:21.857715,3281315905
2026-03-06 14:37:22.865955,3281316913
2026-03-06 14:37:23.87517,3281317922
2026-03-06 14:37:24.884497,3281318931
2026-03-06 14:37:25.884429,3281319932
2026-03-06 14:37:26.89259,3281320940
2026-03-06 14:37:27.901505,3281321949
2026-03-06 14:37:28.911111,3281322958
2026-03-06 14:37:29.920388,3281323968
2026-03-06 14:37:30.929652,3281324977
2026-03-06 14:37:31.939547,3281325986
2026-03-06 14:37:32.948524,3281326995
2026-03-06 14:37:33.958187,3281328005
2026-03-06 14:37:34.96686,3281329014
2026-03-06 14:37:35.97551,3281330023
2026-03-06 14:37:36.984919,3281331032
2026-03-06 14:37:37.994214,3281332041
2026-03-06 14:37:39.003418,3281333050
2026-03-06 14:37:40.012052,3281334059
2026-03-06 14:37:41.021243,3281335068
2026-03-06 14:37:42.029928,3281336077
2026-03-06 14:37:43.038699,3281337086
2026-03-06 14:37:44.048547,3281338095
2026-03-06 14:37:45.057304,3281339105
2026-03-06 14:37:46.06656,3281340113
2026-03-06 14:37:47.075448,3281341122
2026-03-06 14:37:48.083778,3281342131
2026-03-06 14:37:49.093481,3281343140
2026-03-06 14:37:50.101796,3281344149
2026-03-06 14:37:51.102278,3281345149
2026-03-06 14:37:52.111123,3281346158
2026-03-06 14:37:53.120597,3281347168
2026-03-06 14:37:54.130436,3281348178
2026-03-06 14:37:55.139487,3281349187
2026-03-06 14:37:56.149091,3281350196
2026-03-06 14:37:57.158758,3281351205
2026-03-06 14:37:58.167806,3281352215
2026-03-06 14:37:59.177518,3281353224
2026-03-06 14:38:00.186669,3281354234
2026-03-06 14:38:01.196145,3281355243
2026-03-06 14:38:02.196452,3281356243
2026-03-06 14:38:03.205684,3281357252
2026-03-06 14:38:04.215649,3281358262
2026-03-06 14:38:05.225125,3281359272
2026-03-06 14:38:06.235093,3281360282
2026-03-06 14:38:07.244147,3281361291
2026-03-06 14:38:08.253472,3281362300
2026-03-06 14:38:09.262664,3281363310
2026-03-06 14:38:10.272373,3281364319
2026-03-06 14:38:11.281582,3281365329
2026-03-06 14:38:12.290926,3281366338
2026-03-06 14:38:13.300732,3281367348
2026-03-06 14:38:14.311197,3281368358
2026-03-06 14:38:15.320531,3281369367
2026-03-06 14:38:16.320582,3281370367
2026-03-06 14:38:17.330446,3281371378
2026-03-06 14:38:18.340367,3281372387
2026-03-06 14:38:19.349614,3281373397
2026-03-06 14:38:20.358598,3281374406
2026-03-06 14:38:21.368195,3281375415
2026-03-06 14:38:22.378301,3281376425
2026-03-06 14:38:23.387534,3281377435
2026-03-06 14:38:24.397466,3281378444
2026-03-06 14:38:25.406113,3281379453
2026-03-06 14:38:26.416129,3281380463
2026-03-06 14:38:27.4162,3281381463
2026-03-06 14:38:28.425521,3281382472
2026-03-06 14:38:29.425616,3281383473
2026-03-06 14:38:30.435956,3281384482
2026-03-06 14:38:31.435787,3281385483
2026-03-06 14:38:32.444682,3281386492
2026-03-06 14:38:33.449924,3281387496
2026-03-06 14:38:34.451642,3281388498
2026-03-06 14:38:35.452385,3281389499
2026-03-06 14:38:36.452924,3281390500
2026-03-06 14:38:37.4556,3281391502
2026-03-06 14:38:38.458224,3281392505
2026-03-06 14:38:39.45942,3281393506
2026-03-06 14:38:40.459728,3281394507
2026-03-06 14:38:41.460931,3281395508
2026-03-06 14:38:42.462284,3281396509
2026-03-06 14:38:43.46314,3281397510
2026-03-06 14:38:44.465235,3281398512
2026-03-06 14:38:45.466134,3281399513
2026-03-06 14:38:46.467613,3281400515
2026-03-06 14:38:47.467964,3281401515
2026-03-06 14:38:48.469618,3281402516
2026-03-06 14:38:49.470418,3281403518
2026-03-06 14:38:50.471558,3281404518
2026-03-06 14:38:51.471563,3281405519
2026-03-06 14:38:52.47299,3281406520
2026-03-06 14:38:53.473279,3281407520
2026-03-06 14:38:54.474691,3281408522
2026-03-06 14:38:55.474883,3281409522
2026-03-06 14:38:56.476116,3281410523
2026-03-06 14:38:57.476789,3281411524
2026-03-06 14:38:58.47801,3281412525
2026-03-06 14:38:59.47953,3281413527
2026-03-06 14:39:00.48021,3281414527
2026-03-06 14:39:01.4804,3281415528
2026-03-06 14:39:02.481019,3281416528
2026-03-06 14:39:03.482133,3281417529
2026-03-06 14:39:04.484233,3281418531
2026-03-06 14:39:05.484488,3281419532
2026-03-06 14:39:06.486663,3281420534
2026-03-06 14:39:07.487447,3281421534
2026-03-06 14:39:08.488205,3281422535
2026-03-06 14:39:09.488448,3281423535
2026-03-06 14:39:10.489553,3281424536
2026-03-06 14:39:11.489591,3281425536
2026-03-06 14:39:12.489974,3281426537
2026-03-06 14:39:13.490374,3281427537
2026-03-06 14:39:14.499761,3281428547
2026-03-06 14:39:15.500339,3281429547
2026-03-06 14:39:16.500337,3281430547
2026-03-06 14:39:17.501108,3281431548
2026-03-06 14:39:18.501117,3281432548
2026-03-06 14:39:19.501664,3281433549
2026-03-06 14:39:20.511948,3281434559
2026-03-06 14:39:21.52201,3281435569
2026-03-06 14:39:22.531496,3281436579
2026-03-06 14:39:23.532415,3281437579
2026-03-06 14:39:24.542248,3281438589
2026-03-06 14:39:25.542872,3281439590
2026-03-06 14:39:26.543405,3281440590
2026-03-06 14:39:27.542982,3281441590
2026-03-06 14:39:28.54376,3281442591
2026-03-06 14:39:29.553685,3281443601
2026-03-06 14:39:30.55412,3281444601
2026-03-06 14:39:31.5634,3281445610
2026-03-06 14:39:32.563103,3281446610
2026-03-06 14:39:33.573287,3281447620
2026-03-06 14:39:34.583108,3281448630
2026-03-06 14:39:35.583934,3281449631
2026-03-06 14:39:36.584719,3281450631
2026-03-06 14:39:37.594706,3281451641
2026-03-06 14:39:38.594611,3281452642
2026-03-06 14:39:39.604442,3281453652
2026-03-06 14:39:40.604871,3281454652
2026-03-06 14:39:41.615074,3281455662
2026-03-06 14:39:42.615296,3281456662
2026-03-06 14:39:43.615383,3281457662
2026-03-06 14:39:44.615761,3281458663
2026-03-06 14:39:45.624988,3281459672
2026-03-06 14:39:46.625433,3281460673
2026-03-06 14:39:47.63514,3281461682
2026-03-06 14:39:48.635719,3281462682
2026-03-06 14:39:49.6363,3281463683
2026-03-06 14:39:50.636363,3281464683
2026-03-06 14:39:51.644898,3281465692
2026-03-06 14:39:52.645304,3281466692
2026-03-06 14:39:53.645752,3281467692
2026-03-06 14:39:54.65529,3281468702
2026-03-06 14:39:55.665157,3281469712
