time,PT.Ox_Downstream.raw_adc_counts
2026-03-06 16:51:43.339058,321046219
2026-03-06 16:51:43.439925,320789808
2026-03-06 16:51:43.541176,320568926
2026-03-06 16:51:43.642059,320380741
2026-03-06 16:51:43.74305,320231762
2026-03-06 16:51:43.844158,320121429
2026-03-06 16:51:43.944705,320049554
2026-03-06 16:51:44.045641,320004204
2026-03-06 16:51:44.14677,320004044
2026-03-06 16:51:44.248226,320032976
2026-03-06 16:51:44.349063,320104302
2026-03-06 16:51:44.449884,320210434
2026-03-06 16:51:44.550964,320358411
2026-03-06 16:51:44.651414,320534151
2026-03-06 16:51:44.752404,320752094
2026-03-06 16:51:44.854045,321006243
2026-03-06 16:51:44.954681,321294806
2026-03-06 16:51:45.055224,321616013
2026-03-06 16:51:45.156783,321971057
2026-03-06 16:51:45.257365,322370554
2026-03-06 16:51:45.359134,322796146
2026-03-06 16:51:45.459323,323263087
2026-03-06 16:51:45.560172,323753908
2026-03-06 16:51:45.661666,324278148
2026-03-06 16:51:45.762057,324841640
2026-03-06 16:51:45.862959,325436829
2026-03-06 16:51:45.964022,326059733
2026-03-06 16:51:46.064569,326717164
2026-03-06 16:51:46.165245,327404886
2026-03-06 16:51:46.26632,328124495
2026-03-06 16:51:46.368125,328871277
2026-03-06 16:51:46.469564,329652890
2026-03-06 16:51:46.569672,330448256
2026-03-06 16:51:46.670737,331277487
2026-03-06 16:51:46.771879,332135993
2026-03-06 16:51:46.873269,333019807
2026-03-06 16:51:46.973529,333921155
2026-03-06 16:51:47.074768,334862944
2026-03-06 16:51:47.176362,335813606
2026-03-06 16:51:47.276866,336791412
2026-03-06 16:51:47.377326,337782668
2026-03-06 16:51:47.478277,338802401
2026-03-06 16:51:47.579271,339835085
2026-03-06 16:51:47.680245,340893130
2026-03-06 16:51:47.781564,341968182
2026-03-06 16:51:47.881949,343054336
2026-03-06 16:51:47.984015,344161111
2026-03-06 16:51:48.084675,345283817
2026-03-06 16:51:48.185204,346416759
2026-03-06 16:51:48.286214,347555125
