time,PT.GSE_High.sample_ts_ms
2026-03-06 13:08:44.513258,3275998560
2026-03-06 13:08:44.614055,3275998661
2026-03-06 13:08:44.714916,3275998762
2026-03-06 13:08:44.815949,3275998863
2026-03-06 13:08:44.917174,3275998964
2026-03-06 13:08:45.018386,3275999065
2026-03-06 13:08:45.119019,3275999166
2026-03-06 13:08:45.220032,3275999267
2026-03-06 13:08:45.320934,3275999368
2026-03-06 13:08:45.422054,3275999469
2026-03-06 13:08:45.523491,3275999570
2026-03-06 13:08:45.624037,3275999671
2026-03-06 13:08:45.725288,3275999772
2026-03-06 13:08:45.826066,3275999873
2026-03-06 13:08:45.926636,3275999974
2026-03-06 13:08:46.02819,3276000075
2026-03-06 13:08:46.128274,3276000176
2026-03-06 13:08:46.229745,3276000277
2026-03-06 13:08:46.330576,3276000378
2026-03-06 13:08:46.431931,3276000479
2026-03-06 13:08:46.532892,3276000580
2026-03-06 13:08:46.633965,3276000681
2026-03-06 13:08:46.734136,3276000781
2026-03-06 13:08:46.835305,3276000882
2026-03-06 13:08:46.936341,3276000984
2026-03-06 13:08:47.037689,3276001085
2026-03-06 13:08:47.139318,3276001186
2026-03-06 13:08:47.239802,3276001287
2026-03-06 13:08:47.340941,3276001388
2026-03-06 13:08:47.44197,3276001489
2026-03-06 13:08:47.542888,3276001590
2026-03-06 13:08:47.643922,3276001691
2026-03-06 13:08:47.745019,3276001792
2026-03-06 13:08:47.845917,3276001893
2026-03-06 13:08:47.946523,3276001994
2026-03-06 13:08:48.047585,3276002094
2026-03-06 13:08:48.148379,3276002195
2026-03-06 13:08:48.249187,3276002296
2026-03-06 13:08:48.350415,3276002397
2026-03-06 13:08:48.450981,3276002498
2026-03-06 13:08:48.552497,3276002599
2026-03-06 13:08:48.653311,3276002700
2026-03-06 13:08:48.753948,3276002801
2026-03-06 13:08:48.855256,3276002902
2026-03-06 13:08:48.955812,3276003003
2026-03-06 13:08:49.057123,3276003104
2026-03-06 13:08:49.157728,3276003205
2026-03-06 13:08:49.258856,3276003306
2026-03-06 13:08:49.359505,3276003406
2026-03-06 13:08:49.460513,3276003507
2026-03-06 13:08:49.56103,3276003608
2026-03-06 13:08:49.66179,3276003709
2026-03-06 13:08:49.76292,3276003810
2026-03-06 13:08:49.863948,3276003911
2026-03-06 13:08:49.964593,3276004012
2026-03-06 13:08:50.065421,3276004113
2026-03-06 13:08:50.167064,3276004214
2026-03-06 13:08:50.267819,3276004315
2026-03-06 13:08:50.368544,3276004416
2026-03-06 13:08:50.469388,3276004517
2026-03-06 13:08:50.570962,3276004618
2026-03-06 13:08:50.671288,3276004718
2026-03-06 13:08:50.772014,3276004819
2026-03-06 13:08:50.873295,3276004920
2026-03-06 13:08:50.974259,3276005021
2026-03-06 13:08:51.07518,3276005122
2026-03-06 13:08:51.176209,3276005223
2026-03-06 13:08:51.277304,3276005324
2026-03-06 13:08:51.378541,3276005425
2026-03-06 13:08:51.479247,3276005526
2026-03-06 13:08:51.580427,3276005627
2026-03-06 13:08:51.681513,3276005728
2026-03-06 13:08:51.78211,3276005829
2026-03-06 13:08:51.883347,3276005930
2026-03-06 13:08:51.984486,3276006031
2026-03-06 13:08:52.085216,3276006132
2026-03-06 13:08:52.186425,3276006233
2026-03-06 13:08:52.287092,3276006334
2026-03-06 13:08:52.388877,3276006436
2026-03-06 13:08:52.489283,3276006536
2026-03-06 13:08:52.590424,3276006637
2026-03-06 13:08:52.691184,3276006738
2026-03-06 13:08:52.792654,3276006840
2026-03-06 13:08:52.893748,3276006940
2026-03-06 13:08:52.994325,3276007041
2026-03-06 13:08:53.095026,3276007142
2026-03-06 13:08:53.195923,3276007243
2026-03-06 13:08:53.297101,3276007344
2026-03-06 13:08:53.3979,3276007445
2026-03-06 13:08:53.498467,3276007545
2026-03-06 13:08:53.599306,3276007646
2026-03-06 13:08:53.700324,3276007747
2026-03-06 13:08:53.801822,3276007849
2026-03-06 13:08:53.902431,3276007950
2026-03-06 13:08:54.003236,3276008050
2026-03-06 13:08:54.10411,3276008151
2026-03-06 13:08:54.205483,3276008252
2026-03-06 13:08:54.306657,3276008354
2026-03-06 13:08:54.407682,3276008455
2026-03-06 13:08:54.508316,3276008555
2026-03-06 13:08:54.608984,3276008656
2026-03-06 13:08:54.70991,3276008757
2026-03-06 13:08:54.811212,3276008858
2026-03-06 13:08:54.91216,3276008959
2026-03-06 13:08:55.012888,3276009060
2026-03-06 13:08:55.113971,3276009161
2026-03-06 13:08:55.215308,3276009262
2026-03-06 13:08:55.316089,3276009363
2026-03-06 13:08:55.417456,3276009464
2026-03-06 13:08:55.518409,3276009565
2026-03-06 13:08:55.61924,3276009666
2026-03-06 13:08:55.720174,3276009767
2026-03-06 13:08:55.82076,3276009868
2026-03-06 13:08:55.922096,3276009969
2026-03-06 13:08:56.022773,3276010070
2026-03-06 13:08:56.124081,3276010171
2026-03-06 13:08:56.22506,3276010272
