time,PT.Fuel_Downstream.sample_ts_ms
2026-03-06 12:50:09.9123,3274883959
2026-03-06 12:50:10.013471,3274884060
2026-03-06 12:50:10.114459,3274884161
2026-03-06 12:50:10.214973,3274884262
2026-03-06 12:50:10.315996,3274884363
2026-03-06 12:50:10.416736,3274884464
2026-03-06 12:50:10.51833,3274884565
2026-03-06 12:50:10.619053,3274884666
2026-03-06 12:50:10.720738,3274884768
2026-03-06 12:50:10.821709,3274884868
2026-03-06 12:50:10.922278,3274884969
2026-03-06 12:50:11.02305,3274885070
2026-03-06 12:50:11.124474,3274885172
2026-03-06 12:50:11.225419,3274885273
2026-03-06 12:50:11.327147,3274885374
2026-03-06 12:50:11.428104,3274885475
2026-03-06 12:50:11.53026,3274885577
2026-03-06 12:50:11.63131,3274885678
2026-03-06 12:50:11.732338,3274885779
2026-03-06 12:50:11.833415,3274885880
2026-03-06 12:50:11.934755,3274885981
2026-03-06 12:50:12.035635,3274886082
2026-03-06 12:50:12.137047,3274886184
2026-03-06 12:50:12.237916,3274886285
2026-03-06 12:50:12.339612,3274886386
2026-03-06 12:50:12.440549,3274886487
2026-03-06 12:50:12.541924,3274886589
2026-03-06 12:50:12.643036,3274886690
2026-03-06 12:50:12.744785,3274886792
2026-03-06 12:50:12.846079,3274886893
2026-03-06 12:50:12.947796,3274886995
2026-03-06 12:50:13.048876,3274887096
2026-03-06 12:50:13.149607,3274887197
2026-03-06 12:50:13.250913,3274887298
2026-03-06 12:50:13.351683,3274887399
2026-03-06 12:50:13.453346,3274887500
2026-03-06 12:50:13.554163,3274887601
2026-03-06 12:50:13.655106,3274887702
2026-03-06 12:50:13.756026,3274887803
2026-03-06 12:50:13.85677,3274887904
2026-03-06 12:50:13.958077,3274888005
2026-03-06 12:50:14.059496,3274888106
2026-03-06 12:50:14.15988,3274888207
2026-03-06 12:50:14.260914,3274888308
2026-03-06 12:50:14.362447,3274888409
2026-03-06 12:50:14.463313,3274888510
2026-03-06 12:50:14.564092,3274888611
2026-03-06 12:50:14.664871,3274888712
2026-03-06 12:50:14.765982,3274888813
2026-03-06 12:50:14.866762,3274888914
2026-03-06 12:50:14.967742,3274889015
2026-03-06 12:50:15.068577,3274889116
2026-03-06 12:50:15.169408,3274889217
2026-03-06 12:50:15.270949,3274889318
2026-03-06 12:50:15.372374,3274889420
2026-03-06 12:50:15.474286,3274889521
2026-03-06 12:50:15.575027,3274889622
2026-03-06 12:50:15.675516,3274889723
