time,PT.Ox_Upstream.status
2026-03-06 14:32:26.719311,0
2026-03-06 14:32:26.820288,0
2026-03-06 14:32:26.921019,0
2026-03-06 14:32:27.021701,0
2026-03-06 14:32:27.123163,0
2026-03-06 14:32:27.224209,0
2026-03-06 14:32:27.324966,0
2026-03-06 14:32:27.426434,0
2026-03-06 14:32:27.526566,0
2026-03-06 14:32:27.627665,0
2026-03-06 14:32:27.728567,0
2026-03-06 14:32:27.829374,0
2026-03-06 14:32:27.930237,0
2026-03-06 14:32:28.030986,0
2026-03-06 14:32:28.13249,0
2026-03-06 14:32:28.233438,0
2026-03-06 14:32:28.334165,0
2026-03-06 14:32:28.435723,0
2026-03-06 14:32:28.535813,0
2026-03-06 14:32:28.636991,0
2026-03-06 14:32:28.737472,0
2026-03-06 14:32:28.838368,0
2026-03-06 14:32:28.939199,0
2026-03-06 14:32:29.040392,0
2026-03-06 14:32:29.14186,0
2026-03-06 14:32:29.24288,0
2026-03-06 14:32:29.343263,0
2026-03-06 14:32:29.444413,0
2026-03-06 14:32:29.545108,0
2026-03-06 14:32:29.645791,0
2026-03-06 14:32:29.747103,0
2026-03-06 14:32:29.847804,0
2026-03-06 14:32:29.948458,0
2026-03-06 14:32:30.049564,0
2026-03-06 14:32:30.150939,0
2026-03-06 14:32:30.251746,0
2026-03-06 14:32:30.352658,0
2026-03-06 14:32:30.453887,0
2026-03-06 14:32:30.554632,0
2026-03-06 14:32:30.655546,0
2026-03-06 14:32:30.756659,0
2026-03-06 14:32:30.857646,0
2026-03-06 14:32:30.959226,0
2026-03-06 14:32:31.059553,0
2026-03-06 14:32:31.160791,0
2026-03-06 14:32:31.261863,0
2026-03-06 14:32:31.362945,0
2026-03-06 14:32:31.463803,0
2026-03-06 14:32:31.564581,0
2026-03-06 14:32:31.66512,0
2026-03-06 14:32:31.765651,0
2026-03-06 14:32:31.866527,0
2026-03-06 14:32:31.967547,0
2026-03-06 14:32:32.068216,0
2026-03-06 14:32:32.169489,0
2026-03-06 14:32:32.270106,0
2026-03-06 14:32:32.37089,0
2026-03-06 14:32:32.471883,0
2026-03-06 14:32:32.572741,0
2026-03-06 14:32:32.673714,0
2026-03-06 14:32:32.775108,0
2026-03-06 14:32:32.875503,0
2026-03-06 14:32:32.976523,0
2026-03-06 14:32:33.077577,0
2026-03-06 14:32:33.178071,0
2026-03-06 14:32:33.278966,0
2026-03-06 14:32:33.379941,0
2026-03-06 14:32:33.480829,0
2026-03-06 14:32:33.582026,0
2026-03-06 14:32:33.683203,0
2026-03-06 14:32:33.784429,0
2026-03-06 14:32:33.885151,0
2026-03-06 14:32:33.986051,0
2026-03-06 14:32:34.087187,0
2026-03-06 14:32:34.18797,0
2026-03-06 14:32:34.289173,0
2026-03-06 14:32:34.390251,0
2026-03-06 14:32:34.491819,0
2026-03-06 14:32:34.592416,0
2026-03-06 14:32:34.693098,0
2026-03-06 14:32:34.79415,0
2026-03-06 14:32:34.894908,0
2026-03-06 14:32:34.99605,0
2026-03-06 14:32:35.097105,0
2026-03-06 14:32:35.197601,0
2026-03-06 14:32:35.298536,0
2026-03-06 14:32:35.399487,0
2026-03-06 14:32:35.500271,0
2026-03-06 14:32:35.601376,0
2026-03-06 14:32:35.701977,0
2026-03-06 14:32:35.803003,0
2026-03-06 14:32:35.904212,0
2026-03-06 14:32:36.005392,0
2026-03-06 14:32:36.106015,0
2026-03-06 14:32:36.206936,0
2026-03-06 14:32:36.307511,0
2026-03-06 14:32:36.408147,0
2026-03-06 14:32:36.509577,0
2026-03-06 14:32:36.610147,0
2026-03-06 14:32:36.711403,0
2026-03-06 14:32:36.812222,0
2026-03-06 14:32:36.912873,0
2026-03-06 14:32:37.014149,0
2026-03-06 14:32:37.115042,0
2026-03-06 14:32:37.216212,0
2026-03-06 14:32:37.317187,0
2026-03-06 14:32:37.418562,0
2026-03-06 14:32:37.519677,0
2026-03-06 14:32:37.620985,0
2026-03-06 14:32:37.721997,0
