time,PT.Fuel_Fill_Press.status
2026-03-06 14:54:16.462799,0
2026-03-06 14:54:16.563861,0
2026-03-06 14:54:16.665411,0
2026-03-06 14:54:16.765963,0
2026-03-06 14:54:16.866994,0
2026-03-06 14:54:16.968288,0
2026-03-06 14:54:17.069116,0
2026-03-06 14:54:17.170139,0
2026-03-06 14:54:17.271184,0
2026-03-06 14:54:17.372345,0
2026-03-06 14:54:17.473533,0
2026-03-06 14:54:17.574271,0
2026-03-06 14:54:17.675375,0
2026-03-06 14:54:17.776239,0
2026-03-06 14:54:17.877786,0
2026-03-06 14:54:17.97901,0
2026-03-06 14:54:18.080131,0
2026-03-06 14:54:18.181013,0
2026-03-06 14:54:18.282187,0
2026-03-06 14:54:18.383238,0
2026-03-06 14:54:18.484567,0
2026-03-06 14:54:18.585881,0
2026-03-06 14:54:18.687116,0
2026-03-06 14:54:18.787865,0
2026-03-06 14:54:18.88869,0
2026-03-06 14:54:18.990071,0
2026-03-06 14:54:19.09053,0
2026-03-06 14:54:19.191644,0
2026-03-06 14:54:19.29264,0
2026-03-06 14:54:19.393157,0
2026-03-06 14:54:19.494356,0
2026-03-06 14:54:19.595305,0
2026-03-06 14:54:19.696168,0
2026-03-06 14:54:19.797284,0
2026-03-06 14:54:19.898639,0
2026-03-06 14:54:19.99955,0
2026-03-06 14:54:20.100317,0
2026-03-06 14:54:20.201619,0
2026-03-06 14:54:20.302734,0
2026-03-06 14:54:20.40394,0
2026-03-06 14:54:20.504829,0
2026-03-06 14:54:20.605574,0
2026-03-06 14:54:20.706637,0
2026-03-06 14:54:20.80809,0
2026-03-06 14:54:20.909386,0
2026-03-06 14:54:21.009694,0
2026-03-06 14:54:21.111143,0
2026-03-06 14:54:21.212164,0
2026-03-06 14:54:21.313639,0
2026-03-06 14:54:21.414721,0
2026-03-06 14:54:21.515709,0
2026-03-06 14:54:21.617145,0
2026-03-06 14:54:21.717879,0
2026-03-06 14:54:21.818714,0
2026-03-06 14:54:21.92012,0
2026-03-06 14:54:22.021328,0
2026-03-06 14:54:22.12204,0
2026-03-06 14:54:22.22333,0
2026-03-06 14:54:22.324737,0
2026-03-06 14:54:22.425613,0
2026-03-06 14:54:22.526604,0
2026-03-06 14:54:22.627816,0
2026-03-06 14:54:22.729298,0
2026-03-06 14:54:22.830061,0
2026-03-06 14:54:22.930313,0
2026-03-06 14:54:23.031702,0
2026-03-06 14:54:23.132974,0
2026-03-06 14:54:23.234635,0
2026-03-06 14:54:23.335535,0
2026-03-06 14:54:23.436287,0
2026-03-06 14:54:23.537156,0
2026-03-06 14:54:23.638111,0
2026-03-06 14:54:23.738645,0
2026-03-06 14:54:23.839399,0
2026-03-06 14:54:23.94052,0
2026-03-06 14:54:24.041865,0
2026-03-06 14:54:24.142189,0
2026-03-06 14:54:24.243547,0
2026-03-06 14:54:24.344234,0
2026-03-06 14:54:24.445527,0
2026-03-06 14:54:24.546612,0
2026-03-06 14:54:24.648209,0
2026-03-06 14:54:24.749213,0
2026-03-06 14:54:24.850152,0
2026-03-06 14:54:24.950646,0
2026-03-06 14:54:25.052062,0
2026-03-06 14:54:25.153728,0
2026-03-06 14:54:25.254118,0
2026-03-06 14:54:25.355259,0
2026-03-06 14:54:25.456404,0
2026-03-06 14:54:25.556974,0
2026-03-06 14:54:25.658385,0
2026-03-06 14:54:25.759239,0
2026-03-06 14:54:25.860238,0
2026-03-06 14:54:25.961533,0
2026-03-06 14:54:26.062574,0
2026-03-06 14:54:26.164265,0
2026-03-06 14:54:26.264357,0
2026-03-06 14:54:26.36589,0
2026-03-06 14:54:26.467677,0
2026-03-06 14:54:26.568238,0
2026-03-06 14:54:26.669116,0
2026-03-06 14:54:26.770024,0
2026-03-06 14:54:26.870823,0
2026-03-06 14:54:26.971684,0
2026-03-06 14:54:27.073534,0
2026-03-06 14:54:27.174072,0
2026-03-06 14:54:27.275159,0
2026-03-06 14:54:27.377019,0
2026-03-06 14:54:27.477983,0
2026-03-06 14:54:27.578942,0
2026-03-06 14:54:27.680083,0
2026-03-06 14:54:27.781137,0
2026-03-06 14:54:27.881713,0
2026-03-06 14:54:27.983023,0
2026-03-06 14:54:28.083842,0
2026-03-06 14:54:28.184595,0
2026-03-06 14:54:28.28544,0
2026-03-06 14:54:28.3872,0
2026-03-06 14:54:28.487978,0
2026-03-06 14:54:28.589297,0
2026-03-06 14:54:28.690716,0
2026-03-06 14:54:28.791657,0
2026-03-06 14:54:28.892403,0
2026-03-06 14:54:28.993218,0
2026-03-06 14:54:29.094088,0
2026-03-06 14:54:29.195169,0
2026-03-06 14:54:29.296036,0
2026-03-06 14:54:29.397038,0
2026-03-06 14:54:29.498354,0
2026-03-06 14:54:29.599818,0
2026-03-06 14:54:29.700967,0
2026-03-06 14:54:29.802374,0
2026-03-06 14:54:29.903322,0
2026-03-06 14:54:30.004421,0
2026-03-06 14:54:30.105062,0
2026-03-06 14:54:30.206778,0
2026-03-06 14:54:30.307761,0
2026-03-06 14:54:30.409169,0
2026-03-06 14:54:30.510397,0
2026-03-06 14:54:30.6117,0
2026-03-06 14:54:30.713001,0
2026-03-06 14:54:30.813722,0
2026-03-06 14:54:30.914593,0
2026-03-06 14:54:31.015634,0
2026-03-06 14:54:31.116906,0
2026-03-06 14:54:31.218289,0
