time,PT.GSE_High.raw_adc_counts
2026-03-06 14:33:38.61211,2016810324
2026-03-06 14:33:38.712838,2024548142
2026-03-06 14:33:38.813382,2031577067
2026-03-06 14:33:38.914632,2037879887
2026-03-06 14:33:39.015235,2043459379
2026-03-06 14:33:39.11671,2048305558
2026-03-06 14:33:39.217466,2052400400
2026-03-06 14:33:39.318913,2055747790
2026-03-06 14:33:39.419623,2058338517
2026-03-06 14:33:39.520689,2060175057
2026-03-06 14:33:39.621933,2061256916
2026-03-06 14:33:39.722975,2061582392
2026-03-06 14:33:39.823987,2061148891
2026-03-06 14:33:39.924875,2059962690
2026-03-06 14:33:40.02578,2058021625
2026-03-06 14:33:40.126686,2055325880
2026-03-06 14:33:40.227328,2051884702
2026-03-06 14:33:40.328586,2047694146
2026-03-06 14:33:40.428976,2042764275
2026-03-06 14:33:40.529629,2037100398
2026-03-06 14:33:40.630626,2030703056
2026-03-06 14:33:40.731466,2023563843
2026-03-06 14:33:40.832691,2015720230
2026-03-06 14:33:40.933212,2007155411
2026-03-06 14:33:41.034656,1997877223
2026-03-06 14:33:41.135355,1987914145
2026-03-06 14:33:41.236121,1977260368
2026-03-06 14:33:41.337168,1965893673
2026-03-06 14:33:41.438439,1953883612
2026-03-06 14:33:41.53939,1941194008
2026-03-06 14:33:41.640406,1927888854
2026-03-06 14:33:41.741259,1913946894
2026-03-06 14:33:41.842422,1899367033
2026-03-06 14:33:41.943642,1884180114
2026-03-06 14:33:42.044657,1868368289
2026-03-06 14:33:42.145711,1852001466
2026-03-06 14:33:42.246668,1835058805
2026-03-06 14:33:42.347668,1817597196
2026-03-06 14:33:42.44865,1799613056
2026-03-06 14:33:42.549561,1781072511
2026-03-06 14:33:42.651064,1761986736
2026-03-06 14:33:42.751621,1742509280
2026-03-06 14:33:42.852542,1722550083
2026-03-06 14:33:42.953733,1702133311
2026-03-06 14:33:43.054943,1681305302
2026-03-06 14:33:43.155251,1660110859
2026-03-06 14:33:43.256261,1638484254
2026-03-06 14:33:43.35727,1616513550
2026-03-06 14:33:43.458068,1594217899
2026-03-06 14:33:43.558545,1571603577
2026-03-06 14:33:43.659361,1548668699
2026-03-06 14:33:43.760378,1525405098
2026-03-06 14:33:43.861278,1501930454
2026-03-06 14:33:43.962262,1478097122
2026-03-06 14:33:44.063017,1454142788
2026-03-06 14:33:44.163688,1430013926
2026-03-06 14:33:44.264504,1405678413
2026-03-06 14:33:44.365974,1381133503
2026-03-06 14:33:44.46655,1356507832
2026-03-06 14:33:44.567504,1331759853
2026-03-06 14:33:44.668389,1306914634
2026-03-06 14:33:44.769479,1282014002
2026-03-06 14:33:44.870473,1257014244
2026-03-06 14:33:44.97172,1232014499
2026-03-06 14:33:45.072509,1207054412
2026-03-06 14:33:45.172992,1182151299
2026-03-06 14:33:45.274247,1157222906
2026-03-06 14:33:45.375636,1132423927
2026-03-06 14:33:45.476095,1107716353
2026-03-06 14:33:45.57666,1083148179
2026-03-06 14:33:45.677749,1058719563
2026-03-06 14:33:45.778772,1034457393
2026-03-06 14:33:45.879193,1010382269
2026-03-06 14:33:45.980274,986460052
2026-03-06 14:33:46.081057,962781842
2026-03-06 14:33:46.182738,939299346
2026-03-06 14:33:46.283542,916168994
2026-03-06 14:33:46.384869,893297784
2026-03-06 14:33:46.485682,870734445
2026-03-06 14:33:46.586448,848540589
2026-03-06 14:33:46.687516,826681827
2026-03-06 14:33:46.788492,805227353
2026-03-06 14:33:46.889158,784160797
2026-03-06 14:33:46.990199,763516338
2026-03-06 14:33:47.090762,743305691
2026-03-06 14:33:47.191778,723535222
2026-03-06 14:33:47.292661,704244521
2026-03-06 14:33:47.393956,685406387
2026-03-06 14:33:47.495617,666948791
2026-03-06 14:33:47.596561,649141510
2026-03-06 14:33:47.697376,631898406
2026-03-06 14:33:47.798577,615206434
2026-03-06 14:33:47.899382,599104815
2026-03-06 14:33:48.000091,583615736
2026-03-06 14:33:48.100363,568729032
2026-03-06 14:33:48.201414,554445157
2026-03-06 14:33:48.3021,540780856
2026-03-06 14:33:48.403087,527716287
2026-03-06 14:33:48.503891,515313791
2026-03-06 14:33:48.604526,503573048
2026-03-06 14:33:48.705189,492507735
2026-03-06 14:33:48.805993,482121358
2026-03-06 14:33:48.907424,472401175
2026-03-06 14:33:49.008212,463405731
2026-03-06 14:33:49.109387,455103520
2026-03-06 14:33:49.210241,447513851
2026-03-06 14:33:49.31117,440666696
2026-03-06 14:33:49.412136,434545528
2026-03-06 14:33:49.512574,429156527
2026-03-06 14:33:49.613554,424506906
2026-03-06 14:33:49.715127,420592925
2026-03-06 14:33:49.815798,417442530
2026-03-06 14:33:49.916848,415039393
2026-03-06 14:33:50.017843,413387533
2026-03-06 14:33:50.11845,412493610
2026-03-06 14:33:50.219341,412354329
2026-03-06 14:33:50.320431,412968346
2026-03-06 14:33:50.421029,414338891
2026-03-06 14:33:50.522123,416470243
2026-03-06 14:33:50.62372,419363203
2026-03-06 14:33:50.724341,422995358
2026-03-06 14:33:50.825717,427380588
2026-03-06 14:33:50.926353,432498091
2026-03-06 14:33:51.027443,438348961
2026-03-06 14:33:51.127962,444931633
2026-03-06 14:33:51.228997,452240093
2026-03-06 14:33:51.329736,460269353
2026-03-06 14:33:51.43079,469020101
2026-03-06 14:33:51.53208,478472352
2026-03-06 14:33:51.632786,488616304
2026-03-06 14:33:51.73353,499437077
2026-03-06 14:33:51.834531,510945138
2026-03-06 14:33:51.935833,523121489
2026-03-06 14:33:52.036427,535959507
2026-03-06 14:33:52.137232,549430475
2026-03-06 14:33:52.23809,563505998
2026-03-06 14:33:52.339195,578237104
2026-03-06 14:33:52.440354,593615987
2026-03-06 14:33:52.541419,609547514
2026-03-06 14:33:52.642574,626046145
2026-03-06 14:33:52.743851,643100114
2026-03-06 14:33:52.844662,660740276
2026-03-06 14:33:52.945901,678866657
2026-03-06 14:33:53.04721,697497459
2026-03-06 14:33:53.147293,716597216
2026-03-06 14:33:53.248192,736189797
2026-03-06 14:33:53.34893,756261120
2026-03-06 14:33:53.450115,776743304
2026-03-06 14:33:53.550957,797659452
2026-03-06 14:33:53.651957,819046850
2026-03-06 14:33:53.752733,840713166
2026-03-06 14:33:53.853968,862789127
2026-03-06 14:33:53.954816,885214766
2026-03-06 14:33:54.055952,907957459
2026-03-06 14:33:54.156595,931033462
2026-03-06 14:33:54.258116,954410841
2026-03-06 14:33:54.358872,978005996
2026-03-06 14:33:54.460302,1001890403
2026-03-06 14:33:54.56104,1025922115
2026-03-06 14:33:54.662022,1050114979
2026-03-06 14:33:54.762438,1074516612
2026-03-06 14:33:54.86346,1099061631
2026-03-06 14:33:54.96446,1123722631
2026-03-06 14:33:55.065853,1148573210
2026-03-06 14:33:55.167034,1173486986
2026-03-06 14:33:55.267836,1198371250
2026-03-06 14:33:55.368787,1223344740
2026-03-06 14:33:55.469487,1248360210
2026-03-06 14:33:55.570385,1273296385
2026-03-06 14:33:55.671691,1298239393
2026-03-06 14:33:55.772556,1323097876
2026-03-06 14:33:55.87324,1347870139
2026-03-06 14:33:55.974102,1372503475
2026-03-06 14:33:56.075158,1397071432
2026-03-06 14:33:56.176146,1421472665
2026-03-06 14:33:56.276596,1445691497
2026-03-06 14:33:56.377398,1469702824
2026-03-06 14:33:56.478278,1493497048
2026-03-06 14:33:56.578925,1517101580
2026-03-06 14:33:56.680046,1540428353
2026-03-06 14:33:56.780644,1563508165
2026-03-06 14:33:56.88159,1586281644
2026-03-06 14:33:56.982665,1608746272
2026-03-06 14:33:57.083606,1630883778
2026-03-06 14:33:57.184656,1652635581
2026-03-06 14:33:57.285614,1674034610
2026-03-06 14:33:57.386939,1695067801
2026-03-06 14:33:57.487722,1715567971
2026-03-06 14:33:57.588297,1735648947
2026-03-06 14:33:57.688817,1755261603
2026-03-06 14:33:57.78958,1774406381
2026-03-06 14:33:57.890444,1793051637
2026-03-06 14:33:57.9914,1811242228
2026-03-06 14:33:58.09236,1828889363
2026-03-06 14:33:58.193569,1845987957
2026-03-06 14:33:58.294682,1862596969
2026-03-06 14:33:58.395513,1878556690
2026-03-06 14:33:58.496335,1893928691
2026-03-06 14:33:58.597215,1908694902
2026-03-06 14:33:58.698515,1922942374
2026-03-06 14:33:58.799021,1936467309
2026-03-06 14:33:58.900281,1949372612
