time,RTD_Cal.CH1.cal_status
2026-03-06 12:33:19.853951,0
2026-03-06 12:33:19.955436,0
2026-03-06 12:33:20.056281,0
2026-03-06 12:33:20.157987,0
2026-03-06 12:33:20.258619,0
2026-03-06 12:33:20.35948,0
2026-03-06 12:33:20.460074,0
2026-03-06 12:33:20.561129,0
2026-03-06 12:33:20.66228,0
2026-03-06 12:33:20.762658,0
2026-03-06 12:33:20.863674,0
2026-03-06 12:33:20.964363,0
2026-03-06 12:33:21.065124,0
2026-03-06 12:33:21.166145,0
2026-03-06 12:33:21.266763,0
2026-03-06 12:33:21.367429,0
2026-03-06 12:33:21.468737,0
2026-03-06 12:33:21.569486,0
2026-03-06 12:33:21.669986,0
2026-03-06 12:33:21.770743,0
2026-03-06 12:33:21.872257,0
2026-03-06 12:33:21.97269,0
2026-03-06 12:33:22.073397,0
2026-03-06 12:33:22.17456,0
2026-03-06 12:33:22.275542,0
2026-03-06 12:33:22.376265,0
2026-03-06 12:33:22.477042,0
2026-03-06 12:33:22.578157,0
2026-03-06 12:33:22.679096,0
2026-03-06 12:33:22.779896,0
2026-03-06 12:33:22.881042,0
2026-03-06 12:33:22.981767,0
2026-03-06 12:33:23.082634,0
2026-03-06 12:33:23.183628,0
2026-03-06 12:33:23.284266,0
2026-03-06 12:33:23.385684,0
2026-03-06 12:33:23.486647,0
2026-03-06 12:33:23.587425,0
2026-03-06 12:33:23.688621,0
2026-03-06 12:33:23.788907,0
2026-03-06 12:33:23.889428,0
2026-03-06 12:33:23.990577,0
2026-03-06 12:33:24.091344,0
2026-03-06 12:33:24.192243,0
2026-03-06 12:33:24.292936,0
2026-03-06 12:33:24.393979,0
2026-03-06 12:33:24.494781,0
2026-03-06 12:33:24.595404,0
2026-03-06 12:33:24.696793,0
2026-03-06 12:33:24.797875,0
2026-03-06 12:33:24.898639,0
2026-03-06 12:33:24.99992,0
2026-03-06 12:33:25.100998,0
2026-03-06 12:33:25.201743,0
2026-03-06 12:33:25.302197,0
2026-03-06 12:33:25.402856,0
2026-03-06 12:33:25.503992,0
2026-03-06 12:33:25.604477,0
2026-03-06 12:33:25.705951,0
2026-03-06 12:33:25.806573,0
2026-03-06 12:33:25.907151,0
2026-03-06 12:33:26.008006,0
2026-03-06 12:33:26.109344,0
2026-03-06 12:33:26.210428,0
2026-03-06 12:33:26.312007,0
2026-03-06 12:33:26.413304,0
2026-03-06 12:33:26.514672,0
2026-03-06 12:33:26.615595,0
2026-03-06 12:33:26.716805,0
2026-03-06 12:33:26.817796,0
2026-03-06 12:33:26.919321,0
2026-03-06 12:33:27.020466,0
2026-03-06 12:33:27.120959,0
2026-03-06 12:33:27.222364,0
2026-03-06 12:33:27.322832,0
2026-03-06 12:33:27.423639,0
2026-03-06 12:33:27.524688,0
2026-03-06 12:33:27.626113,0
2026-03-06 12:33:27.726772,0
2026-03-06 12:33:27.828028,0
2026-03-06 12:33:27.929385,0
2026-03-06 12:33:28.030635,0
2026-03-06 12:33:28.131068,0
2026-03-06 12:33:28.231553,0
2026-03-06 12:33:28.33271,0
2026-03-06 12:33:28.433284,0
2026-03-06 12:33:28.53408,0
2026-03-06 12:33:28.634909,0
2026-03-06 12:33:28.736289,0
2026-03-06 12:33:28.836883,0
2026-03-06 12:33:28.938371,0
2026-03-06 12:33:29.038876,0
2026-03-06 12:33:29.139456,0
2026-03-06 12:33:29.240922,0
2026-03-06 12:33:29.341493,0
2026-03-06 12:33:29.442927,0
2026-03-06 12:33:29.544193,0
2026-03-06 12:33:29.64513,0
2026-03-06 12:33:29.745721,0
2026-03-06 12:33:29.847149,0
2026-03-06 12:33:29.947603,0
2026-03-06 12:33:30.048799,0
2026-03-06 12:33:30.149532,0
2026-03-06 12:33:30.250588,0
2026-03-06 12:33:30.351167,0
2026-03-06 12:33:30.45216,0
2026-03-06 12:33:30.553243,0
2026-03-06 12:33:30.653968,0
2026-03-06 12:33:30.754868,0
2026-03-06 12:33:30.855431,0
2026-03-06 12:33:30.956767,0
2026-03-06 12:33:31.057452,0
2026-03-06 12:33:31.158393,0
2026-03-06 12:33:31.258682,0
2026-03-06 12:33:31.36019,0
2026-03-06 12:33:31.462123,0
2026-03-06 12:33:31.562971,0
2026-03-06 12:33:31.664846,0
2026-03-06 12:33:31.766513,0
2026-03-06 12:33:31.869001,0
2026-03-06 12:33:31.970093,0
2026-03-06 12:33:32.071246,0
2026-03-06 12:33:32.171839,0
2026-03-06 12:33:32.272453,0
2026-03-06 12:33:32.373907,0
2026-03-06 12:33:32.474318,0
2026-03-06 12:33:32.575397,0
2026-03-06 12:33:32.67596,0
2026-03-06 12:33:32.777116,0
2026-03-06 12:33:32.877478,0
2026-03-06 12:33:32.978833,0
2026-03-06 12:33:33.079522,0
2026-03-06 12:33:33.181355,0
2026-03-06 12:33:33.282257,0
2026-03-06 12:33:33.382805,0
2026-03-06 12:33:33.484602,0
2026-03-06 12:33:33.585685,0
2026-03-06 12:33:33.686262,0
2026-03-06 12:33:33.787204,0
2026-03-06 12:33:33.888711,0
2026-03-06 12:33:33.989948,0
2026-03-06 12:33:34.091132,0
2026-03-06 12:33:34.192366,0
2026-03-06 12:33:34.293198,0
2026-03-06 12:33:34.394116,0
2026-03-06 12:33:34.495558,0
2026-03-06 12:33:34.59689,0
2026-03-06 12:33:34.697138,0
2026-03-06 12:33:34.79824,0
2026-03-06 12:33:34.899298,0
2026-03-06 12:33:35.000232,0
2026-03-06 12:33:35.101258,0
2026-03-06 12:33:35.202918,0
2026-03-06 12:33:35.304387,0
2026-03-06 12:33:35.405406,0
2026-03-06 12:33:35.506322,0
2026-03-06 12:33:35.607269,0
2026-03-06 12:33:35.708431,0
2026-03-06 12:33:35.809108,0
2026-03-06 12:33:35.91058,0
2026-03-06 12:33:36.011054,0
2026-03-06 12:33:36.112263,0
2026-03-06 12:33:36.213741,0
2026-03-06 12:33:36.314885,0
2026-03-06 12:33:36.41625,0
2026-03-06 12:33:36.516773,0
2026-03-06 12:33:36.617859,0
2026-03-06 12:33:36.718069,0
2026-03-06 12:33:36.819614,0
2026-03-06 12:33:36.920934,0
2026-03-06 12:33:37.021944,0
2026-03-06 12:33:37.123048,0
2026-03-06 12:33:37.223826,0
2026-03-06 12:33:37.324738,0
2026-03-06 12:33:37.426244,0
2026-03-06 12:33:37.52696,0
2026-03-06 12:33:37.628223,0
2026-03-06 12:33:37.729285,0
2026-03-06 12:33:37.830707,0
2026-03-06 12:33:37.931925,0
2026-03-06 12:33:38.032645,0
2026-03-06 12:33:38.133773,0
2026-03-06 12:33:38.234999,0
2026-03-06 12:33:38.336123,0
2026-03-06 12:33:38.437176,0
2026-03-06 12:33:38.53858,0
2026-03-06 12:33:38.639362,0
2026-03-06 12:33:38.740986,0
2026-03-06 12:33:38.842095,0
2026-03-06 12:33:38.942612,0
2026-03-06 12:33:39.043669,0
2026-03-06 12:33:39.144342,0
2026-03-06 12:33:39.2449,0
2026-03-06 12:33:39.346555,0
2026-03-06 12:33:39.447514,0
2026-03-06 12:33:39.548282,0
2026-03-06 12:33:39.649436,0
2026-03-06 12:33:39.750587,0
2026-03-06 12:33:39.851002,0
2026-03-06 12:33:39.951906,0
2026-03-06 12:33:40.052832,0
2026-03-06 12:33:40.153685,0
2026-03-06 12:33:40.254511,0
2026-03-06 12:33:40.355527,0
2026-03-06 12:33:40.456853,0
2026-03-06 12:33:40.557516,0
2026-03-06 12:33:40.658546,0
2026-03-06 12:33:40.760168,0
2026-03-06 12:33:40.861366,0
2026-03-06 12:33:40.962359,0
2026-03-06 12:33:41.063012,0
2026-03-06 12:33:41.163956,0
2026-03-06 12:33:41.265417,0
2026-03-06 12:33:41.366091,0
2026-03-06 12:33:41.467247,0
2026-03-06 12:33:41.568388,0
2026-03-06 12:33:41.669162,0
2026-03-06 12:33:41.76995,0
2026-03-06 12:33:41.870349,0
2026-03-06 12:33:41.970864,0
2026-03-06 12:33:42.071833,0
2026-03-06 12:33:42.172692,0
2026-03-06 12:33:42.274392,0
2026-03-06 12:33:42.375228,0
2026-03-06 12:33:42.47646,0
2026-03-06 12:33:42.577296,0
2026-03-06 12:33:42.679378,0
2026-03-06 12:33:42.77997,0
2026-03-06 12:33:42.881347,0
2026-03-06 12:33:42.983051,0
2026-03-06 12:33:43.083225,0
2026-03-06 12:33:43.184232,0
2026-03-06 12:33:43.285255,0
2026-03-06 12:33:43.386361,0
2026-03-06 12:33:43.486745,0
2026-03-06 12:33:43.587639,0
2026-03-06 12:33:43.688791,0
2026-03-06 12:33:43.789942,0
2026-03-06 12:33:43.890811,0
2026-03-06 12:33:43.99176,0
2026-03-06 12:33:44.092662,0
2026-03-06 12:33:44.193757,0
2026-03-06 12:33:44.29475,0
2026-03-06 12:33:44.395187,0
2026-03-06 12:33:44.496272,0
2026-03-06 12:33:44.596961,0
2026-03-06 12:33:44.697265,0
2026-03-06 12:33:44.798051,0
2026-03-06 12:33:44.898867,0
2026-03-06 12:33:44.999835,0
2026-03-06 12:33:45.100907,0
2026-03-06 12:33:45.201541,0
2026-03-06 12:33:45.301811,0
2026-03-06 12:33:45.403059,0
2026-03-06 12:33:45.503335,0
2026-03-06 12:33:45.605229,0
2026-03-06 12:33:45.706008,0
2026-03-06 12:33:45.806909,0
2026-03-06 12:33:45.90754,0
2026-03-06 12:33:46.0082,0
2026-03-06 12:33:46.109101,0
2026-03-06 12:33:46.209393,0
2026-03-06 12:33:46.310168,0
2026-03-06 12:33:46.412046,0
2026-03-06 12:33:46.512684,0
2026-03-06 12:33:46.613963,0
2026-03-06 12:33:46.714606,0
2026-03-06 12:33:46.815366,0
2026-03-06 12:33:46.915912,0
2026-03-06 12:33:47.017324,0
2026-03-06 12:33:47.118258,0
2026-03-06 12:33:47.219156,0
2026-03-06 12:33:47.32026,0
2026-03-06 12:33:47.421475,0
2026-03-06 12:33:47.522486,0
2026-03-06 12:33:47.623263,0
2026-03-06 12:33:47.724589,0
2026-03-06 12:33:47.825654,0
2026-03-06 12:33:47.926972,0
2026-03-06 12:33:48.02884,0
2026-03-06 12:33:48.130137,0
2026-03-06 12:33:48.23186,0
2026-03-06 12:33:48.33302,0
2026-03-06 12:33:48.434133,0
2026-03-06 12:33:48.53494,0
2026-03-06 12:33:48.636689,0
2026-03-06 12:33:48.738097,0
2026-03-06 12:33:48.838959,0
2026-03-06 12:33:48.940626,0
2026-03-06 12:33:49.041589,0
2026-03-06 12:33:49.143136,0
2026-03-06 12:33:49.244248,0
2026-03-06 12:33:49.344938,0
2026-03-06 12:33:49.445907,0
2026-03-06 12:33:49.54683,0
2026-03-06 12:33:49.647077,0
2026-03-06 12:33:49.748266,0
2026-03-06 12:33:49.849276,0
2026-03-06 12:33:49.950034,0
2026-03-06 12:33:50.051265,0
