time,LC.CH2.sample_ts_ms
2026-03-06 13:49:39.606655,3278453653
2026-03-06 13:49:39.707345,3278453755
2026-03-06 13:49:39.808667,3278453856
2026-03-06 13:49:39.90924,3278453957
2026-03-06 13:49:40.010253,3278454057
2026-03-06 13:49:40.111114,3278454158
2026-03-06 13:49:40.212498,3278454259
2026-03-06 13:49:40.313447,3278454360
2026-03-06 13:49:40.414615,3278454461
2026-03-06 13:49:40.515358,3278454562
2026-03-06 13:49:40.615866,3278454663
2026-03-06 13:49:40.716842,3278454764
2026-03-06 13:49:40.817993,3278454865
2026-03-06 13:49:40.919165,3278454966
2026-03-06 13:49:41.019951,3278455067
2026-03-06 13:49:41.120782,3278455168
2026-03-06 13:49:41.22151,3278455268
2026-03-06 13:49:41.321973,3278455369
2026-03-06 13:49:41.422836,3278455470
2026-03-06 13:49:41.52325,3278455571
2026-03-06 13:49:41.624326,3278455672
2026-03-06 13:49:41.725617,3278455773
2026-03-06 13:49:41.826521,3278455873
2026-03-06 13:49:41.926966,3278455974
2026-03-06 13:49:42.027812,3278456075
2026-03-06 13:49:42.128645,3278456176
2026-03-06 13:49:42.229507,3278456277
2026-03-06 13:49:42.330453,3278456377
2026-03-06 13:49:42.43117,3278456478
2026-03-06 13:49:42.531634,3278456579
2026-03-06 13:49:42.632522,3278456680
2026-03-06 13:49:42.733314,3278456781
2026-03-06 13:49:42.834608,3278456881
2026-03-06 13:49:42.935156,3278456982
2026-03-06 13:49:43.035903,3278457083
2026-03-06 13:49:43.136659,3278457184
2026-03-06 13:49:43.237449,3278457285
2026-03-06 13:49:43.338161,3278457385
2026-03-06 13:49:43.439278,3278457486
2026-03-06 13:49:43.539951,3278457587
2026-03-06 13:49:43.640956,3278457688
2026-03-06 13:49:43.741444,3278457788
2026-03-06 13:49:43.842121,3278457889
2026-03-06 13:49:43.943466,3278457990
2026-03-06 13:49:44.043936,3278458091
2026-03-06 13:49:44.146165,3278458192
2026-03-06 13:49:44.246351,3278458293
2026-03-06 13:49:44.347247,3278458394
2026-03-06 13:49:44.447774,3278458495
2026-03-06 13:49:44.549065,3278458596
2026-03-06 13:49:44.649953,3278458697
2026-03-06 13:49:44.750753,3278458798
2026-03-06 13:49:44.851527,3278458898
2026-03-06 13:49:44.952562,3278458999
2026-03-06 13:49:45.053562,3278459100
2026-03-06 13:49:45.154547,3278459201
2026-03-06 13:49:45.255323,3278459303
