time,LC_Cal.CH1.raw_adc
2026-03-06 21:16:07.450267,696109
2026-03-06 21:16:07.450307,710938
2026-03-06 21:16:07.450344,755423
2026-03-06 21:16:07.450524,648927
2026-03-06 21:16:07.550228,534342
2026-03-06 21:16:07.550283,516817
2026-03-06 21:16:07.550328,519512
2026-03-06 21:16:07.550516,579502
2026-03-06 21:16:07.550516,579502
2026-03-06 21:16:07.650357,592308
2026-03-06 21:16:07.650476,696109
2026-03-06 21:16:07.650498,608485
2026-03-06 21:16:07.650514,369203
2026-03-06 21:16:07.650577,724418
2026-03-06 21:16:07.650851,592308
2026-03-06 21:16:07.749888,677910
2026-03-06 21:16:07.749949,648927
2026-03-06 21:16:07.74998,601744
2026-03-06 21:16:07.750011,765534
2026-03-06 21:16:07.750982,601744
2026-03-06 21:16:07.84994,500640
2026-03-06 21:16:07.850001,539733
2026-03-06 21:16:07.850044,570740
2026-03-06 21:16:07.850079,789125
2026-03-06 21:16:07.850123,708242
2026-03-06 21:16:07.949895,642860
2026-03-06 21:16:07.949933,642860
2026-03-06 21:16:07.94997,557258
2026-03-06 21:16:07.949993,682629
2026-03-06 21:16:07.950033,592308
2026-03-06 21:16:07.950065,688020
2026-03-06 21:16:07.950098,638143
2026-03-06 21:16:07.950139,662408
2026-03-06 21:16:07.950171,613877
2026-03-06 21:16:08.050257,758794
2026-03-06 21:16:08.050258,758794
2026-03-06 21:16:08.050378,725093
2026-03-06 21:16:08.05039,785081
2026-03-06 21:16:08.050409,572087
2026-03-06 21:16:08.05042,533667
2026-03-06 21:16:08.050443,607810
2026-03-06 21:16:08.050467,768230
2026-03-06 21:16:08.050486,548496
2026-03-06 21:16:08.050518,672518
2026-03-06 21:16:08.150185,804629
2026-03-06 21:16:08.150224,660385
2026-03-06 21:16:08.150253,559281
2026-03-06 21:16:08.150336,598374
2026-03-06 21:16:08.150398,855855
2026-03-06 21:16:08.150468,545126
2026-03-06 21:16:08.150531,696109
2026-03-06 21:16:08.1506,546473
2026-03-06 21:16:08.150619,804629
2026-03-06 21:16:08.150668,504684
2026-03-06 21:16:08.25329,696109
2026-03-06 21:16:08.253347,659037
2026-03-06 21:16:08.253385,584893
2026-03-06 21:16:08.253435,696109
2026-03-06 21:16:08.253451,522882
2026-03-06 21:16:08.253502,619944
2026-03-06 21:16:08.253589,774297
2026-03-06 21:16:08.352896,666452
2026-03-06 21:16:08.352961,620618
2026-03-06 21:16:08.352993,514794
2026-03-06 21:16:08.353046,569391
2026-03-06 21:16:08.353111,687347
2026-03-06 21:16:08.353312,569391
2026-03-06 21:16:08.35337,557258
2026-03-06 21:16:08.353429,572760
2026-03-06 21:16:08.353478,638143
2026-03-06 21:16:08.353714,687347
2026-03-06 21:16:08.453076,757446
2026-03-06 21:16:08.453118,641512
2026-03-06 21:16:08.453142,659712
2026-03-06 21:16:08.453187,663755
2026-03-06 21:16:08.453245,650949
2026-03-06 21:16:08.453283,582197
2026-03-06 21:16:08.453324,555910
2026-03-06 21:16:08.453368,803280
2026-03-06 21:16:08.453404,638816
