time,ACT.GN2_Vent.status
2026-03-06 21:25:24.790398,0
2026-03-06 21:25:24.831672,0
2026-03-06 21:25:24.892375,0
2026-03-06 21:25:24.934075,0
2026-03-06 21:25:24.994169,0
2026-03-06 21:25:25.035782,0
2026-03-06 21:25:25.095675,0
2026-03-06 21:25:25.137921,0
2026-03-06 21:25:25.197848,0
2026-03-06 21:25:25.23974,0
2026-03-06 21:25:25.300285,0
2026-03-06 21:25:25.342051,0
2026-03-06 21:25:25.402069,0
2026-03-06 21:25:25.443901,0
2026-03-06 21:25:25.50412,0
2026-03-06 21:25:25.546087,0
2026-03-06 21:25:25.60581,0
2026-03-06 21:25:25.647974,0
2026-03-06 21:25:25.708303,0
2026-03-06 21:25:25.749539,0
2026-03-06 21:25:25.810097,0
2026-03-06 21:25:25.852009,0
2026-03-06 21:25:25.91199,0
2026-03-06 21:25:25.954056,0
2026-03-06 21:25:26.014251,0
2026-03-06 21:25:26.055641,0
2026-03-06 21:25:26.115789,0
2026-03-06 21:25:26.157954,0
2026-03-06 21:25:26.217792,0
2026-03-06 21:25:26.259807,0
2026-03-06 21:25:26.320018,0
2026-03-06 21:25:26.361944,0
2026-03-06 21:25:26.422178,0
2026-03-06 21:25:26.463637,0
2026-03-06 21:25:26.52387,0
2026-03-06 21:25:26.565712,0
2026-03-06 21:25:26.625749,0
2026-03-06 21:25:26.667772,0
2026-03-06 21:25:26.727918,0
2026-03-06 21:25:26.769811,0
2026-03-06 21:25:26.830014,0
2026-03-06 21:25:26.871906,0
2026-03-06 21:25:26.931772,0
2026-03-06 21:25:26.973663,0
2026-03-06 21:25:27.033733,0
2026-03-06 21:25:27.076167,0
2026-03-06 21:25:27.136232,0
2026-03-06 21:25:27.177941,0
2026-03-06 21:25:27.237994,0
2026-03-06 21:25:27.28041,0
2026-03-06 21:25:27.340472,0
2026-03-06 21:25:27.382976,0
2026-03-06 21:25:27.442081,0
2026-03-06 21:25:27.484012,0
2026-03-06 21:25:27.544096,0
2026-03-06 21:25:27.586202,0
2026-03-06 21:25:27.646305,0
2026-03-06 21:25:27.687619,0
2026-03-06 21:25:27.748188,0
2026-03-06 21:25:27.790082,0
2026-03-06 21:25:27.850176,0
2026-03-06 21:25:27.891918,0
2026-03-06 21:25:27.951817,0
2026-03-06 21:25:27.993796,0
2026-03-06 21:25:28.054259,0
2026-03-06 21:25:28.095583,0
2026-03-06 21:25:28.156397,0
2026-03-06 21:25:28.197947,0
2026-03-06 21:25:28.258335,0
2026-03-06 21:25:28.299724,0
2026-03-06 21:25:28.360137,0
2026-03-06 21:25:28.401607,0
2026-03-06 21:25:28.461739,0
2026-03-06 21:25:28.503887,0
2026-03-06 21:25:28.563787,0
2026-03-06 21:25:28.605687,0
2026-03-06 21:25:28.666185,0
2026-03-06 21:25:28.707902,0
2026-03-06 21:25:28.767854,0
2026-03-06 21:25:28.809573,0
2026-03-06 21:25:28.870375,0
2026-03-06 21:25:28.911571,0
2026-03-06 21:25:28.971927,0
2026-03-06 21:25:29.013999,0
2026-03-06 21:25:29.074095,0
2026-03-06 21:25:29.115956,0
2026-03-06 21:25:29.176155,0
2026-03-06 21:25:29.217486,0
2026-03-06 21:25:29.277937,0
2026-03-06 21:25:29.31957,0
2026-03-06 21:25:29.380388,0
2026-03-06 21:25:29.421967,0
2026-03-06 21:25:29.482005,0
2026-03-06 21:25:29.523779,0
2026-03-06 21:25:29.584202,0
2026-03-06 21:25:29.625687,0
2026-03-06 21:25:29.685812,0
2026-03-06 21:25:29.72793,0
2026-03-06 21:25:29.788187,0
2026-03-06 21:25:29.830108,0
2026-03-06 21:25:29.889999,0
2026-03-06 21:25:29.931916,0
2026-03-06 21:25:29.992046,0
2026-03-06 21:25:30.033558,0
2026-03-06 21:25:30.093895,0
2026-03-06 21:25:30.136042,0
2026-03-06 21:25:30.195971,0
