time,ACT.GSE_LOX_Fill_Vent.actuator_state
2026-03-06 21:18:43.518776,1
2026-03-06 21:18:43.562342,0
2026-03-06 21:18:43.62054,1
2026-03-06 21:18:43.66435,0
2026-03-06 21:18:43.722871,1
2026-03-06 21:18:43.76653,0
2026-03-06 21:18:43.824892,1
2026-03-06 21:18:43.86846,0
2026-03-06 21:18:43.926824,1
2026-03-06 21:18:43.970626,0
2026-03-06 21:18:44.028613,1
2026-03-06 21:18:44.072175,0
2026-03-06 21:18:44.130551,1
2026-03-06 21:18:44.174323,0
2026-03-06 21:18:44.232793,1
2026-03-06 21:18:44.276489,0
2026-03-06 21:18:44.334554,1
2026-03-06 21:18:44.377994,0
2026-03-06 21:18:44.43693,1
2026-03-06 21:18:44.480305,0
2026-03-06 21:18:44.538359,1
2026-03-06 21:18:44.582047,0
2026-03-06 21:18:44.640707,1
2026-03-06 21:18:44.683891,0
2026-03-06 21:18:44.742542,1
2026-03-06 21:18:44.786058,0
2026-03-06 21:18:44.844858,1
2026-03-06 21:18:44.888365,0
2026-03-06 21:18:44.946983,1
2026-03-06 21:18:44.990274,0
2026-03-06 21:18:45.048695,1
2026-03-06 21:18:45.093108,0
2026-03-06 21:18:45.150697,1
2026-03-06 21:18:45.194272,0
2026-03-06 21:18:45.252993,1
2026-03-06 21:18:45.297293,0
2026-03-06 21:18:45.354937,1
2026-03-06 21:18:45.398303,0
2026-03-06 21:18:45.457346,1
2026-03-06 21:18:45.500072,0
2026-03-06 21:18:45.558988,1
2026-03-06 21:18:45.602288,0
2026-03-06 21:18:45.660852,1
2026-03-06 21:18:45.704152,0
2026-03-06 21:18:45.762951,1
2026-03-06 21:18:45.806194,0
2026-03-06 21:18:45.864704,1
2026-03-06 21:18:45.908554,0
2026-03-06 21:18:45.966429,1
2026-03-06 21:18:46.010572,0
2026-03-06 21:18:46.068798,1
2026-03-06 21:18:46.112675,0
2026-03-06 21:18:46.170812,1
2026-03-06 21:18:46.214376,0
2026-03-06 21:18:46.272547,1
2026-03-06 21:18:46.316323,0
2026-03-06 21:18:46.374626,1
2026-03-06 21:18:46.418459,0
2026-03-06 21:18:46.476814,1
2026-03-06 21:18:46.520645,0
2026-03-06 21:18:46.578794,1
2026-03-06 21:18:46.622318,0
2026-03-06 21:18:46.680846,1
2026-03-06 21:18:46.724934,0
2026-03-06 21:18:46.782908,1
2026-03-06 21:18:46.826468,0
2026-03-06 21:18:46.884603,1
2026-03-06 21:18:46.92869,0
2026-03-06 21:18:46.986665,1
2026-03-06 21:18:47.030011,0
2026-03-06 21:18:47.088682,1
2026-03-06 21:18:47.132031,0
2026-03-06 21:18:47.19126,1
2026-03-06 21:18:47.234403,0
2026-03-06 21:18:47.292788,1
2026-03-06 21:18:47.336429,0
2026-03-06 21:18:47.39458,1
2026-03-06 21:18:47.43854,0
2026-03-06 21:18:47.496861,1
2026-03-06 21:18:47.540478,0
2026-03-06 21:18:47.598544,1
2026-03-06 21:18:47.642272,0
