time,ACT.Fuel_Fill_Vent.raw_adc_counts
2026-03-06 21:24:10.1675,0
2026-03-06 21:24:10.226957,1049083618
2026-03-06 21:24:10.269252,978534504
2026-03-06 21:24:10.329189,1049164739
2026-03-06 21:24:10.371408,0
2026-03-06 21:24:10.431033,1049110659
2026-03-06 21:24:10.473657,978534504
2026-03-06 21:24:10.533519,1049137699
2026-03-06 21:24:10.575447,0
2026-03-06 21:24:10.635397,1049083618
2026-03-06 21:24:10.677704,0
2026-03-06 21:24:10.737615,1049029538
2026-03-06 21:24:10.779408,978534504
2026-03-06 21:24:10.839139,1049056578
2026-03-06 21:24:10.881333,0
2026-03-06 21:24:10.941663,1049056578
2026-03-06 21:24:10.983742,0
2026-03-06 21:24:11.043529,1049110659
2026-03-06 21:24:11.085683,978534504
2026-03-06 21:24:11.145235,1049110659
2026-03-06 21:24:11.187219,0
2026-03-06 21:24:11.247358,1049137699
2026-03-06 21:24:11.28945,0
2026-03-06 21:24:11.349372,1049083618
2026-03-06 21:24:11.391569,0
2026-03-06 21:24:11.451247,1049354020
2026-03-06 21:24:11.493353,0
2026-03-06 21:24:11.553422,1049218819
2026-03-06 21:24:11.595769,978534504
2026-03-06 21:24:11.655121,1049381061
2026-03-06 21:24:11.697886,0
2026-03-06 21:24:11.757267,1049245860
2026-03-06 21:24:11.799354,0
2026-03-06 21:24:11.85951,1049191779
2026-03-06 21:24:11.90168,0
2026-03-06 21:24:11.961476,1049191779
2026-03-06 21:24:12.003412,986923112
2026-03-06 21:24:12.063331,1049137699
2026-03-06 21:24:12.105648,978534504
2026-03-06 21:24:12.165419,1049137699
2026-03-06 21:24:12.207215,978534504
2026-03-06 21:24:12.267421,1049164739
2026-03-06 21:24:12.309257,0
2026-03-06 21:24:12.369485,1049110659
2026-03-06 21:24:12.411784,0
2026-03-06 21:24:12.471282,1049083618
2026-03-06 21:24:12.513285,0
2026-03-06 21:24:12.573783,1049110659
2026-03-06 21:24:12.615793,0
2026-03-06 21:24:12.675421,1049083618
2026-03-06 21:24:12.718124,0
2026-03-06 21:24:12.777389,1049137699
2026-03-06 21:24:12.819348,0
2026-03-06 21:24:12.879276,1049137699
2026-03-06 21:24:12.921612,978534504
2026-03-06 21:24:12.981727,1049137699
2026-03-06 21:24:13.023398,978534504
2026-03-06 21:24:13.083287,1049137699
2026-03-06 21:24:13.125778,0
2026-03-06 21:24:13.18526,1049083618
2026-03-06 21:24:13.227265,0
2026-03-06 21:24:13.287564,1049083618
2026-03-06 21:24:13.329376,978534504
2026-03-06 21:24:13.389056,1049083618
2026-03-06 21:24:13.431295,0
2026-03-06 21:24:13.491241,1049083618
2026-03-06 21:24:13.533489,0
2026-03-06 21:24:13.593223,1049083618
2026-03-06 21:24:13.635379,978534504
2026-03-06 21:24:13.695214,1049137699
2026-03-06 21:24:13.737304,0
2026-03-06 21:24:13.797126,1049137699
2026-03-06 21:24:13.839557,0
2026-03-06 21:24:13.899286,1049110659
2026-03-06 21:24:13.941534,0
2026-03-06 21:24:14.001472,1049137699
2026-03-06 21:24:14.043736,0
2026-03-06 21:24:14.103335,1049110659
2026-03-06 21:24:14.145711,0
2026-03-06 21:24:14.205474,1049056578
2026-03-06 21:24:14.247524,978534504
2026-03-06 21:24:14.307369,1049083618
2026-03-06 21:24:14.349771,0
2026-03-06 21:24:14.409329,1049137699
