time,PT_Cal.GN2_Regulated.raw_adc
2026-03-06 21:18:12.7947,575948675
2026-03-06 21:18:12.794789,577023411
2026-03-06 21:18:12.794872,577092857
2026-03-06 21:18:12.902654,577596515
2026-03-06 21:18:12.902944,577210850
2026-03-06 21:18:12.903248,576527845
2026-03-06 21:18:12.90328,577596515
2026-03-06 21:18:12.90352,576495482
2026-03-06 21:18:12.903813,577293781
2026-03-06 21:18:13.012257,576699102
2026-03-06 21:18:13.012533,576791473
2026-03-06 21:18:13.012846,577245236
2026-03-06 21:18:13.012976,576699102
2026-03-06 21:18:13.013149,576645838
2026-03-06 21:18:13.120849,576412551
2026-03-06 21:18:13.121107,577637643
2026-03-06 21:18:13.121395,576947222
2026-03-06 21:18:13.121646,576674155
2026-03-06 21:18:13.121675,576412551
2026-03-06 21:18:13.121897,576747648
2026-03-06 21:18:13.229156,577193320
2026-03-06 21:18:13.229332,576506270
2026-03-06 21:18:13.22953,576765852
2026-03-06 21:18:13.229652,577193320
2026-03-06 21:18:13.339429,576647187
2026-03-06 21:18:13.339519,577789347
2026-03-06 21:18:13.339605,577149494
2026-03-06 21:18:13.339713,577132638
2026-03-06 21:18:13.339823,577137358
2026-03-06 21:18:13.340138,576647187
2026-03-06 21:18:13.447741,577140729
2026-03-06 21:18:13.447917,577035548
2026-03-06 21:18:13.448115,576684269
2026-03-06 21:18:13.448253,577140729
2026-03-06 21:18:13.448337,577245910
2026-03-06 21:18:13.448534,574772803
2026-03-06 21:18:13.556474,576982957
2026-03-06 21:18:13.556523,577632248
2026-03-06 21:18:13.55654,577525719
2026-03-06 21:18:13.556566,577233099
2026-03-06 21:18:13.556585,577230402
2026-03-06 21:18:13.556926,577600560
2026-03-06 21:18:13.556954,576982957
2026-03-06 21:18:13.665861,577772490
2026-03-06 21:18:13.666086,577073305
2026-03-06 21:18:13.666312,577167698
2026-03-06 21:18:13.666445,577772490
2026-03-06 21:18:13.666503,577140729
2026-03-06 21:18:13.774446,577300523
2026-03-06 21:18:13.774625,576380862
2026-03-06 21:18:13.774853,577679446
2026-03-06 21:18:13.77508,576686292
2026-03-06 21:18:13.775166,577300523
2026-03-06 21:18:13.775334,575992501
2026-03-06 21:18:13.88344,577197365
2026-03-06 21:18:13.88366,576690337
2026-03-06 21:18:13.883971,576079477
