time,PT_Cal.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:25.08953,1772831665088100743
2026-03-06 21:14:25.197985,1772831665197313339
2026-03-06 21:14:25.198228,1772831665197313339
2026-03-06 21:14:25.198427,1772831665197313339
2026-03-06 21:14:25.198655,1772831665198636633
2026-03-06 21:14:25.19866,1772831665197313339
2026-03-06 21:14:25.199111,1772831665197313339
2026-03-06 21:14:25.30725,1772831665306492574
2026-03-06 21:14:25.307718,1772831665307688577
2026-03-06 21:14:25.307896,1772831665306492574
2026-03-06 21:14:25.30799,1772831665306492574
2026-03-06 21:14:25.308078,1772831665306492574
2026-03-06 21:14:25.416315,1772831665415449438
2026-03-06 21:14:25.416464,1772831665415449438
2026-03-06 21:14:25.416609,1772831665415449438
2026-03-06 21:14:25.416673,1772831665416649963
2026-03-06 21:14:25.416766,1772831665415449438
2026-03-06 21:14:25.416925,1772831665415449438
2026-03-06 21:14:25.417119,1772831665415449438
2026-03-06 21:14:25.52543,1772831665524523419
2026-03-06 21:14:25.525734,1772831665524523419
2026-03-06 21:14:25.526318,1772831665524523419
2026-03-06 21:14:25.526574,1772831665524523419
2026-03-06 21:14:25.526723,1772831665524523419
2026-03-06 21:14:25.526795,1772831665526763112
2026-03-06 21:14:25.526931,1772831665524523419
2026-03-06 21:14:25.527091,1772831665524523419
2026-03-06 21:14:25.634583,1772831665633372664
2026-03-06 21:14:25.634834,1772831665633372664
2026-03-06 21:14:25.635063,1772831665633372664
2026-03-06 21:14:25.635329,1772831665633372664
2026-03-06 21:14:25.635557,1772831665635457718
2026-03-06 21:14:25.743588,1772831665742190016
2026-03-06 21:14:25.743833,1772831665742190016
2026-03-06 21:14:25.744068,1772831665742190016
2026-03-06 21:14:25.744313,1772831665742190016
2026-03-06 21:14:25.744546,1772831665742190016
2026-03-06 21:14:25.744604,1772831665744573275
2026-03-06 21:14:25.851714,1772831665850983303
2026-03-06 21:14:25.851895,1772831665851871723
2026-03-06 21:14:25.851907,1772831665850983303
2026-03-06 21:14:25.85211,1772831665850983303
2026-03-06 21:14:25.852306,1772831665850983303
2026-03-06 21:14:25.852539,1772831665850983303
2026-03-06 21:14:25.96085,1772831665960203474
2026-03-06 21:14:25.960931,1772831665960203474
2026-03-06 21:14:25.960969,1772831665960203474
2026-03-06 21:14:25.961017,1772831665960203474
