time,PT.GSE_High.status
2026-03-06 21:14:23.823807,0
2026-03-06 21:14:23.823841,0
2026-03-06 21:14:23.927584,0
2026-03-06 21:14:23.927695,0
2026-03-06 21:14:23.927735,0
2026-03-06 21:14:23.927779,0
2026-03-06 21:14:23.927808,0
2026-03-06 21:14:23.927853,0
2026-03-06 21:14:23.927899,0
2026-03-06 21:14:23.927942,0
2026-03-06 21:14:23.927975,0
2026-03-06 21:14:24.027419,0
2026-03-06 21:14:24.027546,0
2026-03-06 21:14:24.027627,0
2026-03-06 21:14:24.027707,0
2026-03-06 21:14:24.027795,0
2026-03-06 21:14:24.028004,0
2026-03-06 21:14:24.028092,0
2026-03-06 21:14:24.028127,0
2026-03-06 21:14:24.028155,0
2026-03-06 21:14:24.12742,0
2026-03-06 21:14:24.127575,0
2026-03-06 21:14:24.127619,0
2026-03-06 21:14:24.127651,0
2026-03-06 21:14:24.127677,0
2026-03-06 21:14:24.127713,0
2026-03-06 21:14:24.127754,0
2026-03-06 21:14:24.127784,0
2026-03-06 21:14:24.127816,0
2026-03-06 21:14:24.227489,0
2026-03-06 21:14:24.227576,0
2026-03-06 21:14:24.22761,0
2026-03-06 21:14:24.227655,0
2026-03-06 21:14:24.227686,0
2026-03-06 21:14:24.227708,0
2026-03-06 21:14:24.227742,0
2026-03-06 21:14:24.227784,0
2026-03-06 21:14:24.227816,0
2026-03-06 21:14:24.327336,0
2026-03-06 21:14:24.327452,0
2026-03-06 21:14:24.32749,0
2026-03-06 21:14:24.327525,0
2026-03-06 21:14:24.327545,0
2026-03-06 21:14:24.327579,0
2026-03-06 21:14:24.327604,0
2026-03-06 21:14:24.327631,0
2026-03-06 21:14:24.327663,0
2026-03-06 21:14:24.427322,0
2026-03-06 21:14:24.427471,0
2026-03-06 21:14:24.427527,0
2026-03-06 21:14:24.427576,0
2026-03-06 21:14:24.427623,0
2026-03-06 21:14:24.427669,0
2026-03-06 21:14:24.427716,0
2026-03-06 21:14:24.427762,0
2026-03-06 21:14:24.427788,0
2026-03-06 21:14:24.527364,0
2026-03-06 21:14:24.527606,0
2026-03-06 21:14:24.527717,0
2026-03-06 21:14:24.527816,0
2026-03-06 21:14:24.527916,0
2026-03-06 21:14:24.528006,0
2026-03-06 21:14:24.528106,0
2026-03-06 21:14:24.528243,0
2026-03-06 21:14:24.528345,0
2026-03-06 21:14:24.628219,0
2026-03-06 21:14:24.628387,0
2026-03-06 21:14:24.628481,0
2026-03-06 21:14:24.62856,0
2026-03-06 21:14:24.628636,0
2026-03-06 21:14:24.628705,0
2026-03-06 21:14:24.628762,0
2026-03-06 21:14:24.628832,0
2026-03-06 21:14:24.628881,0
2026-03-06 21:14:24.72863,0
2026-03-06 21:14:24.728797,0
2026-03-06 21:14:24.728896,0
2026-03-06 21:14:24.728991,0
2026-03-06 21:14:24.729086,0
2026-03-06 21:14:24.729194,0
2026-03-06 21:14:24.729269,0
2026-03-06 21:14:24.729341,0
2026-03-06 21:14:24.729417,0
2026-03-06 21:14:24.828658,0
2026-03-06 21:14:24.828855,0
2026-03-06 21:14:24.828959,0
2026-03-06 21:14:24.829061,0
2026-03-06 21:14:24.829155,0
2026-03-06 21:14:24.829256,0
2026-03-06 21:14:24.829347,0
2026-03-06 21:14:24.829413,0
2026-03-06 21:14:24.82951,0
2026-03-06 21:14:24.932458,0
2026-03-06 21:14:24.932557,0
2026-03-06 21:14:24.932605,0
2026-03-06 21:14:24.932651,0
2026-03-06 21:14:24.932698,0
2026-03-06 21:14:24.932743,0
2026-03-06 21:14:24.932788,0
2026-03-06 21:14:24.932832,0
2026-03-06 21:14:24.932882,0
2026-03-06 21:14:25.03232,0
2026-03-06 21:14:25.032451,0
2026-03-06 21:14:25.032493,0
2026-03-06 21:14:25.032532,0
2026-03-06 21:14:25.032572,0
2026-03-06 21:14:25.03261,0
2026-03-06 21:14:25.032651,0
2026-03-06 21:14:25.032692,0
2026-03-06 21:14:25.032731,0
2026-03-06 21:14:25.132071,0
2026-03-06 21:14:25.132237,0
2026-03-06 21:14:25.132317,0
2026-03-06 21:14:25.132391,0
2026-03-06 21:14:25.132474,0
2026-03-06 21:14:25.132548,0
2026-03-06 21:14:25.132615,0
2026-03-06 21:14:25.132681,0
2026-03-06 21:14:25.132744,0
2026-03-06 21:14:25.23209,0
2026-03-06 21:14:25.232162,0
2026-03-06 21:14:25.232181,0
2026-03-06 21:14:25.232198,0
2026-03-06 21:14:25.23221,0
2026-03-06 21:14:25.232225,0
2026-03-06 21:14:25.232242,0
2026-03-06 21:14:25.232264,0
2026-03-06 21:14:25.232299,0
2026-03-06 21:14:25.332447,0
2026-03-06 21:14:25.332579,0
