time,ACT.GSE_LOX_Fill_Vent.sample_ts_ms
2026-03-06 21:16:58.559636,11040002
2026-03-06 21:16:58.6034,11040084
2026-03-06 21:16:58.661676,11040104
2026-03-06 21:16:58.705813,11040186
2026-03-06 21:16:58.763446,11040206
2026-03-06 21:16:58.807202,11040288
2026-03-06 21:16:58.865559,11040308
2026-03-06 21:16:58.909739,11040390
2026-03-06 21:16:58.967364,11040410
2026-03-06 21:16:59.011352,11040492
2026-03-06 21:16:59.069644,11040512
2026-03-06 21:16:59.113589,11040594
2026-03-06 21:16:59.171664,11040614
2026-03-06 21:16:59.215511,11040696
2026-03-06 21:16:59.273428,11040716
2026-03-06 21:16:59.317687,11040798
2026-03-06 21:16:59.375419,11040818
2026-03-06 21:16:59.419588,11040900
2026-03-06 21:16:59.477785,11040920
2026-03-06 21:16:59.521568,11041002
2026-03-06 21:16:59.579681,11041022
2026-03-06 21:16:59.623985,11041104
2026-03-06 21:16:59.681758,11041124
2026-03-06 21:16:59.725613,11041206
2026-03-06 21:16:59.78337,11041226
2026-03-06 21:16:59.827522,11041308
2026-03-06 21:16:59.885294,11041328
2026-03-06 21:16:59.929563,11041410
2026-03-06 21:16:59.987522,11041430
2026-03-06 21:17:00.031777,11041512
2026-03-06 21:17:00.089501,11041532
2026-03-06 21:17:00.133458,11041614
2026-03-06 21:17:00.191529,11041634
2026-03-06 21:17:00.235641,11041716
2026-03-06 21:17:00.293242,11041736
2026-03-06 21:17:00.337394,11041818
2026-03-06 21:17:00.395407,11041838
2026-03-06 21:17:00.439513,11041920
2026-03-06 21:17:00.497753,11041940
2026-03-06 21:17:00.541476,11042022
2026-03-06 21:17:00.599506,11042042
2026-03-06 21:17:00.643499,11042124
2026-03-06 21:17:00.701635,11042144
2026-03-06 21:17:00.745657,11042226
2026-03-06 21:17:00.803246,11042246
2026-03-06 21:17:00.847677,11042328
2026-03-06 21:17:00.905467,11042348
2026-03-06 21:17:00.949647,11042430
2026-03-06 21:17:01.007625,11042450
2026-03-06 21:17:01.051609,11042532
2026-03-06 21:17:01.110376,11042552
2026-03-06 21:17:01.153502,11042634
2026-03-06 21:17:01.211312,11042654
2026-03-06 21:17:01.255702,11042736
2026-03-06 21:17:01.313327,11042756
2026-03-06 21:17:01.357412,11042838
2026-03-06 21:17:01.415276,11042858
2026-03-06 21:17:01.459448,11042940
2026-03-06 21:17:01.517207,11042960
2026-03-06 21:17:01.561302,11043042
2026-03-06 21:17:01.619591,11043062
2026-03-06 21:17:01.663542,11043144
2026-03-06 21:17:01.721244,11043164
2026-03-06 21:17:01.765441,11043246
2026-03-06 21:17:01.823472,11043266
2026-03-06 21:17:01.867879,11043348
2026-03-06 21:17:01.925781,11043368
2026-03-06 21:17:01.969825,11043450
2026-03-06 21:17:02.027687,11043470
2026-03-06 21:17:02.071875,11043552
2026-03-06 21:17:02.129393,11043572
2026-03-06 21:17:02.173768,11043654
2026-03-06 21:17:02.231374,11043674
2026-03-06 21:17:02.275646,11043756
2026-03-06 21:17:02.33333,11043776
2026-03-06 21:17:02.377728,11043858
2026-03-06 21:17:02.435806,11043878
2026-03-06 21:17:02.479467,11043960
2026-03-06 21:17:02.537421,11043980
2026-03-06 21:17:02.581622,11044062
2026-03-06 21:17:02.639662,11044082
2026-03-06 21:17:02.683787,11044164
2026-03-06 21:17:02.741301,11044184
2026-03-06 21:17:02.785868,11044266
2026-03-06 21:17:02.843318,11044286
2026-03-06 21:17:02.887603,11044368
2026-03-06 21:17:02.945275,11044388
2026-03-06 21:17:02.989565,11044470
2026-03-06 21:17:03.047354,11044490
2026-03-06 21:17:03.091761,11044572
2026-03-06 21:17:03.149747,11044592
2026-03-06 21:17:03.193888,11044674
2026-03-06 21:17:03.251288,11044694
2026-03-06 21:17:03.295759,11044776
2026-03-06 21:17:03.353974,11044796
2026-03-06 21:17:03.397508,11044878
2026-03-06 21:17:03.455665,11044898
