time,RTD.CH1.sample_ts_ms
2026-03-06 21:17:43.11324,11084431
2026-03-06 21:17:43.113288,11084446
2026-03-06 21:17:43.113318,11084461
2026-03-06 21:17:43.248032,11084476
2026-03-06 21:17:43.24814,11084491
2026-03-06 21:17:43.248226,11084506
2026-03-06 21:17:43.248298,11084521
2026-03-06 21:17:43.248373,11084536
2026-03-06 21:17:43.248439,11084551
2026-03-06 21:17:43.248513,11084566
2026-03-06 21:17:43.248581,11084581
2026-03-06 21:17:43.248607,11084596
2026-03-06 21:17:43.382822,11084611
2026-03-06 21:17:43.382903,11084626
2026-03-06 21:17:43.382947,11084641
2026-03-06 21:17:43.382988,11084656
2026-03-06 21:17:43.383034,11084671
2026-03-06 21:17:43.383055,11084686
2026-03-06 21:17:43.383067,11084701
2026-03-06 21:17:43.383103,11084716
2026-03-06 21:17:43.383121,11084731
2026-03-06 21:17:43.51799,11084746
2026-03-06 21:17:43.518077,11084761
2026-03-06 21:17:43.518128,11084776
2026-03-06 21:17:43.518184,11084791
2026-03-06 21:17:43.518233,11084806
2026-03-06 21:17:43.518278,11084821
2026-03-06 21:17:43.518301,11084836
2026-03-06 21:17:43.518334,11084851
2026-03-06 21:17:43.518359,11084866
2026-03-06 21:17:43.653476,11084881
2026-03-06 21:17:43.653547,11084896
2026-03-06 21:17:43.653573,11084911
2026-03-06 21:17:43.653611,11084926
2026-03-06 21:17:43.653629,11084941
2026-03-06 21:17:43.653657,11084956
2026-03-06 21:17:43.653694,11084971
2026-03-06 21:17:43.653724,11084986
2026-03-06 21:17:43.653763,11085001
2026-03-06 21:17:43.788087,11085016
2026-03-06 21:17:43.788294,11085031
2026-03-06 21:17:43.78838,11085046
2026-03-06 21:17:43.788461,11085061
2026-03-06 21:17:43.788543,11085076
2026-03-06 21:17:43.788632,11085091
2026-03-06 21:17:43.78871,11085106
2026-03-06 21:17:43.788785,11085121
2026-03-06 21:17:43.788862,11085136
2026-03-06 21:17:43.927224,11085155
2026-03-06 21:17:43.927329,11085170
2026-03-06 21:17:43.927395,11085185
2026-03-06 21:17:43.927456,11085200
2026-03-06 21:17:43.927517,11085215
2026-03-06 21:17:43.927586,11085230
2026-03-06 21:17:43.927644,11085245
2026-03-06 21:17:43.927705,11085260
2026-03-06 21:17:43.927767,11085275
2026-03-06 21:17:44.061959,11085290
2026-03-06 21:17:44.062064,11085305
2026-03-06 21:17:44.062087,11085320
2026-03-06 21:17:44.062108,11085335
2026-03-06 21:17:44.062138,11085350
2026-03-06 21:17:44.062172,11085365
