time,TC.CH5.sample_ts_ms
2026-03-06 21:15:10.297008,10931612
2026-03-06 21:15:10.297044,10931626
2026-03-06 21:15:10.297076,10931640
2026-03-06 21:15:10.297104,10931654
2026-03-06 21:15:10.29713,10931668
2026-03-06 21:15:10.423818,10931683
2026-03-06 21:15:10.42384,10931697
2026-03-06 21:15:10.423857,10931711
2026-03-06 21:15:10.423873,10931725
2026-03-06 21:15:10.423889,10931739
2026-03-06 21:15:10.423904,10931753
2026-03-06 21:15:10.42392,10931767
2026-03-06 21:15:10.42394,10931781
2026-03-06 21:15:10.423951,10931795
2026-03-06 21:15:10.550879,10931810
2026-03-06 21:15:10.550911,10931824
2026-03-06 21:15:10.550931,10931838
2026-03-06 21:15:10.550942,10931852
2026-03-06 21:15:10.550963,10931866
2026-03-06 21:15:10.550985,10931880
2026-03-06 21:15:10.551002,10931894
2026-03-06 21:15:10.55103,10931908
2026-03-06 21:15:10.551043,10931922
2026-03-06 21:15:10.677813,10931937
2026-03-06 21:15:10.677833,10931951
2026-03-06 21:15:10.677863,10931965
2026-03-06 21:15:10.677882,10931979
2026-03-06 21:15:10.677897,10931993
2026-03-06 21:15:10.677916,10932007
2026-03-06 21:15:10.677932,10932021
2026-03-06 21:15:10.677946,10932035
2026-03-06 21:15:10.677969,10932049
2026-03-06 21:15:10.804581,10932064
2026-03-06 21:15:10.804622,10932078
2026-03-06 21:15:10.804656,10932092
2026-03-06 21:15:10.804674,10932106
2026-03-06 21:15:10.804704,10932120
2026-03-06 21:15:10.804736,10932134
2026-03-06 21:15:10.804754,10932148
2026-03-06 21:15:10.804785,10932162
2026-03-06 21:15:10.804819,10932176
2026-03-06 21:15:10.931585,10932191
2026-03-06 21:15:10.931638,10932205
2026-03-06 21:15:10.931659,10932219
2026-03-06 21:15:10.931697,10932233
2026-03-06 21:15:10.931723,10932247
2026-03-06 21:15:10.931757,10932261
2026-03-06 21:15:10.931791,10932275
2026-03-06 21:15:10.931818,10932289
2026-03-06 21:15:10.931844,10932303
2026-03-06 21:15:11.063053,10932322
2026-03-06 21:15:11.063137,10932336
2026-03-06 21:15:11.063217,10932350
2026-03-06 21:15:11.063292,10932364
2026-03-06 21:15:11.06337,10932378
2026-03-06 21:15:11.063433,10932392
2026-03-06 21:15:11.063468,10932406
2026-03-06 21:15:11.063517,10932420
2026-03-06 21:15:11.063548,10932434
2026-03-06 21:15:11.190578,10932449
2026-03-06 21:15:11.190642,10932463
2026-03-06 21:15:11.190704,10932477
2026-03-06 21:15:11.190759,10932492
2026-03-06 21:15:11.190812,10932506
2026-03-06 21:15:11.190859,10932520
2026-03-06 21:15:11.190876,10932534
2026-03-06 21:15:11.190902,10932548
2026-03-06 21:15:11.190942,10932562
2026-03-06 21:15:11.317728,10932577
2026-03-06 21:15:11.317801,10932591
2026-03-06 21:15:11.317868,10932605
2026-03-06 21:15:11.317957,10932619
2026-03-06 21:15:11.317985,10932633
2026-03-06 21:15:11.317998,10932647
2026-03-06 21:15:11.318009,10932661
2026-03-06 21:15:11.318027,10932675
2026-03-06 21:15:11.318037,10932689
2026-03-06 21:15:11.44473,10932704
2026-03-06 21:15:11.444802,10932718
2026-03-06 21:15:11.444868,10932732
2026-03-06 21:15:11.444947,10932746
2026-03-06 21:15:11.445018,10932760
2026-03-06 21:15:11.445143,10932774
