time,ACT.Fuel_Fill_Vent.actuator_state
2026-03-06 21:21:10.953054,1
2026-03-06 21:21:11.011636,1
2026-03-06 21:21:11.054643,0
2026-03-06 21:21:11.114003,1
2026-03-06 21:21:11.157076,0
2026-03-06 21:21:11.216203,1
2026-03-06 21:21:11.258877,0
2026-03-06 21:21:11.317649,1
2026-03-06 21:21:11.361089,0
2026-03-06 21:21:11.419944,1
2026-03-06 21:21:11.462984,0
2026-03-06 21:21:11.522148,1
2026-03-06 21:21:11.565001,1
2026-03-06 21:21:11.623758,1
2026-03-06 21:21:11.666633,0
2026-03-06 21:21:11.72622,1
2026-03-06 21:21:11.768916,1
2026-03-06 21:21:11.827791,1
2026-03-06 21:21:11.870972,1
2026-03-06 21:21:11.930076,1
2026-03-06 21:21:11.972758,0
2026-03-06 21:21:12.032297,1
2026-03-06 21:21:12.075061,0
2026-03-06 21:21:12.133826,1
2026-03-06 21:21:12.176762,1
2026-03-06 21:21:12.235993,1
2026-03-06 21:21:12.279313,0
2026-03-06 21:21:12.337791,1
2026-03-06 21:21:12.380818,0
2026-03-06 21:21:12.440143,1
2026-03-06 21:21:12.483,0
2026-03-06 21:21:12.541973,1
2026-03-06 21:21:12.584948,0
2026-03-06 21:21:12.644325,1
2026-03-06 21:21:12.686897,0
2026-03-06 21:21:12.746117,1
2026-03-06 21:21:12.789357,0
2026-03-06 21:21:12.847972,1
2026-03-06 21:21:12.890805,0
2026-03-06 21:21:12.949962,1
2026-03-06 21:21:12.99313,0
2026-03-06 21:21:13.051792,1
2026-03-06 21:21:13.095267,0
2026-03-06 21:21:13.154319,1
2026-03-06 21:21:13.196731,0
2026-03-06 21:21:13.256214,1
2026-03-06 21:21:13.298802,0
2026-03-06 21:21:13.35825,1
2026-03-06 21:21:13.400816,0
2026-03-06 21:21:13.459817,1
2026-03-06 21:21:13.502801,1
2026-03-06 21:21:13.562102,1
2026-03-06 21:21:13.6048,0
2026-03-06 21:21:13.664322,1
2026-03-06 21:21:13.707124,0
2026-03-06 21:21:13.765714,1
2026-03-06 21:21:13.808878,0
2026-03-06 21:21:13.868104,1
2026-03-06 21:21:13.910909,0
2026-03-06 21:21:13.969712,1
2026-03-06 21:21:14.012693,1
2026-03-06 21:21:14.071991,1
2026-03-06 21:21:14.114978,0
2026-03-06 21:21:14.174272,1
2026-03-06 21:21:14.216855,1
2026-03-06 21:21:14.276142,1
2026-03-06 21:21:14.319222,0
2026-03-06 21:21:14.377813,1
2026-03-06 21:21:14.420927,0
2026-03-06 21:21:14.480064,1
2026-03-06 21:21:14.523021,0
2026-03-06 21:21:14.58219,1
2026-03-06 21:21:14.624599,0
2026-03-06 21:21:14.684318,1
2026-03-06 21:21:14.727026,0
2026-03-06 21:21:14.786013,1
2026-03-06 21:21:14.829033,0
2026-03-06 21:21:14.888073,1
2026-03-06 21:21:14.930876,1
2026-03-06 21:21:14.989982,1
