time,ACT.LOX_Dump.actuator_state
2026-03-06 21:21:03.609477,0
2026-03-06 21:21:03.668105,0
2026-03-06 21:21:03.711091,0
2026-03-06 21:21:03.77012,0
2026-03-06 21:21:03.813025,0
2026-03-06 21:21:03.872056,0
2026-03-06 21:21:03.915018,0
2026-03-06 21:21:03.974041,0
2026-03-06 21:21:04.017282,0
2026-03-06 21:21:04.0763,0
2026-03-06 21:21:04.11906,0
2026-03-06 21:21:04.17776,0
2026-03-06 21:21:04.22071,0
2026-03-06 21:21:04.280244,0
2026-03-06 21:21:04.323318,0
2026-03-06 21:21:04.381841,0
2026-03-06 21:21:04.425288,0
2026-03-06 21:21:04.484041,0
2026-03-06 21:21:04.527227,0
2026-03-06 21:21:04.586412,0
2026-03-06 21:21:04.628705,0
2026-03-06 21:21:04.688092,0
2026-03-06 21:21:04.730817,0
2026-03-06 21:21:04.789988,0
2026-03-06 21:21:04.832749,0
2026-03-06 21:21:04.892265,0
2026-03-06 21:21:04.934711,0
2026-03-06 21:21:04.994381,0
2026-03-06 21:21:05.037041,0
2026-03-06 21:21:05.096138,0
2026-03-06 21:21:05.138823,0
2026-03-06 21:21:05.198162,0
2026-03-06 21:21:05.241199,0
2026-03-06 21:21:05.300174,0
2026-03-06 21:21:05.342905,0
2026-03-06 21:21:05.402125,0
2026-03-06 21:21:05.445114,0
2026-03-06 21:21:05.504133,0
2026-03-06 21:21:05.547021,0
2026-03-06 21:21:05.606437,0
2026-03-06 21:21:05.648889,0
2026-03-06 21:21:05.707841,0
2026-03-06 21:21:05.75082,0
2026-03-06 21:21:05.810525,0
2026-03-06 21:21:05.85304,0
2026-03-06 21:21:05.911805,0
2026-03-06 21:21:05.954732,0
2026-03-06 21:21:06.014063,0
2026-03-06 21:21:06.057251,0
2026-03-06 21:21:06.116051,0
2026-03-06 21:21:06.15899,0
2026-03-06 21:21:06.218103,0
2026-03-06 21:21:06.260723,0
2026-03-06 21:21:06.320251,0
2026-03-06 21:21:06.363168,0
2026-03-06 21:21:06.421863,0
2026-03-06 21:21:06.464792,0
2026-03-06 21:21:06.524218,0
2026-03-06 21:21:06.566893,0
2026-03-06 21:21:06.625951,0
2026-03-06 21:21:06.66887,0
2026-03-06 21:21:06.728107,0
2026-03-06 21:21:06.770765,0
2026-03-06 21:21:06.83019,0
2026-03-06 21:21:06.872831,0
2026-03-06 21:21:06.932072,0
2026-03-06 21:21:06.975108,0
2026-03-06 21:21:07.034315,0
2026-03-06 21:21:07.077304,0
2026-03-06 21:21:07.13652,0
2026-03-06 21:21:07.179074,0
2026-03-06 21:21:07.238149,0
2026-03-06 21:21:07.2812,0
2026-03-06 21:21:07.340216,0
2026-03-06 21:21:07.382923,0
2026-03-06 21:21:07.442248,0
2026-03-06 21:21:07.48474,0
2026-03-06 21:21:07.544354,0
2026-03-06 21:21:07.586525,0
2026-03-06 21:21:07.646166,0
2026-03-06 21:21:07.689331,0
2026-03-06 21:21:07.747918,0
2026-03-06 21:21:07.791008,0
2026-03-06 21:21:07.850039,0
2026-03-06 21:21:07.893048,0
2026-03-06 21:21:07.951942,0
2026-03-06 21:21:07.994766,0
2026-03-06 21:21:08.054037,0
2026-03-06 21:21:08.096958,0
2026-03-06 21:21:08.155935,0
2026-03-06 21:21:08.198959,0
2026-03-06 21:21:08.258259,0
2026-03-06 21:21:08.301086,0
2026-03-06 21:21:08.360309,0
2026-03-06 21:21:08.403045,0
2026-03-06 21:21:08.462103,0
2026-03-06 21:21:08.505118,0
2026-03-06 21:21:08.564008,0
2026-03-06 21:21:08.60682,0
2026-03-06 21:21:08.666107,0
2026-03-06 21:21:08.708971,0
2026-03-06 21:21:08.768237,0
2026-03-06 21:21:08.810962,0
2026-03-06 21:21:08.86985,0
2026-03-06 21:21:08.91349,0
2026-03-06 21:21:08.971764,0
2026-03-06 21:21:09.015367,0
2026-03-06 21:21:09.074085,0
2026-03-06 21:21:09.117406,0
2026-03-06 21:21:09.176618,0
2026-03-06 21:21:09.219187,0
2026-03-06 21:21:09.278042,0
2026-03-06 21:21:09.321049,0
2026-03-06 21:21:09.379787,0
2026-03-06 21:21:09.423464,0
2026-03-06 21:21:09.482123,0
2026-03-06 21:21:09.524974,0
2026-03-06 21:21:09.584149,0
2026-03-06 21:21:09.626932,0
2026-03-06 21:21:09.685997,0
2026-03-06 21:21:09.729136,0
2026-03-06 21:21:09.78811,0
2026-03-06 21:21:09.831169,0
2026-03-06 21:21:09.890213,0
2026-03-06 21:21:09.932948,0
2026-03-06 21:21:09.992214,0
2026-03-06 21:21:10.035094,0
2026-03-06 21:21:10.09436,0
2026-03-06 21:21:10.13727,0
2026-03-06 21:21:10.196478,0
2026-03-06 21:21:10.239215,0
2026-03-06 21:21:10.29795,0
2026-03-06 21:21:10.341316,0
2026-03-06 21:21:10.400045,0
2026-03-06 21:21:10.443525,0
