time,ACT.Fuel_Fill_Vent.sample_ts_ms
2026-03-06 21:30:52.517892,11873954
2026-03-06 21:30:52.617932,11874096
2026-03-06 21:30:52.619646,11874056
2026-03-06 21:30:52.720183,11874198
2026-03-06 21:30:52.721896,11874158
2026-03-06 21:30:52.822343,11874300
2026-03-06 21:30:52.823865,11874260
2026-03-06 21:30:52.924379,11874402
2026-03-06 21:30:52.926124,11874362
2026-03-06 21:30:53.026331,11874504
2026-03-06 21:30:53.027584,11874464
2026-03-06 21:30:53.12811,11874605
2026-03-06 21:30:53.129914,11874566
2026-03-06 21:30:53.229263,11874707
2026-03-06 21:30:53.231578,11874668
2026-03-06 21:30:53.331276,11874809
2026-03-06 21:30:53.333618,11874770
2026-03-06 21:30:53.4333,11874911
2026-03-06 21:30:53.435819,11874872
2026-03-06 21:30:53.535318,11875013
2026-03-06 21:30:53.537686,11874974
2026-03-06 21:30:53.637211,11875115
2026-03-06 21:30:53.639645,11875076
2026-03-06 21:30:53.739349,11875217
2026-03-06 21:30:53.741632,11875178
2026-03-06 21:30:53.841088,11875319
2026-03-06 21:30:53.844035,11875280
2026-03-06 21:30:53.943347,11875421
2026-03-06 21:30:53.945741,11875382
2026-03-06 21:30:54.045461,11875523
2026-03-06 21:30:54.047779,11875484
2026-03-06 21:30:54.147182,11875625
2026-03-06 21:30:54.150118,11875586
2026-03-06 21:30:54.249067,11875727
2026-03-06 21:30:54.252009,11875688
2026-03-06 21:30:54.35139,11875829
2026-03-06 21:30:54.353746,11875790
2026-03-06 21:30:54.453174,11875931
2026-03-06 21:30:54.456123,11875892
2026-03-06 21:30:54.555105,11876033
2026-03-06 21:30:54.55809,11875994
2026-03-06 21:30:54.657404,11876135
2026-03-06 21:30:54.659862,11876096
2026-03-06 21:30:54.759338,11876237
2026-03-06 21:30:54.761837,11876198
2026-03-06 21:30:54.8612,11876339
2026-03-06 21:30:54.864307,11876300
2026-03-06 21:30:54.96334,11876441
2026-03-06 21:30:54.965681,11876402
2026-03-06 21:30:55.064996,11876543
2026-03-06 21:30:55.067866,11876504
2026-03-06 21:30:55.167227,11876645
2026-03-06 21:30:55.1696,11876606
2026-03-06 21:30:55.270704,11876747
2026-03-06 21:30:55.271909,11876708
2026-03-06 21:30:55.371385,11876849
2026-03-06 21:30:55.373729,11876810
2026-03-06 21:30:55.473119,11876951
2026-03-06 21:30:55.475588,11876912
2026-03-06 21:30:55.575266,11877053
2026-03-06 21:30:55.577644,11877014
2026-03-06 21:30:55.677245,11877155
2026-03-06 21:30:55.679775,11877116
2026-03-06 21:30:55.779377,11877257
2026-03-06 21:30:55.781639,11877218
2026-03-06 21:30:55.881377,11877359
2026-03-06 21:30:55.883912,11877320
2026-03-06 21:30:55.982962,11877461
2026-03-06 21:30:55.9858,11877422
2026-03-06 21:30:56.08495,11877563
2026-03-06 21:30:56.087903,11877524
2026-03-06 21:30:56.187415,11877665
2026-03-06 21:30:56.189819,11877626
2026-03-06 21:30:56.28925,11877767
2026-03-06 21:30:56.291656,11877728
2026-03-06 21:30:56.391155,11877869
2026-03-06 21:30:56.394885,11877830
2026-03-06 21:30:56.493063,11877971
2026-03-06 21:30:56.496101,11877932
2026-03-06 21:30:56.595044,11878073
2026-03-06 21:30:56.598055,11878034
2026-03-06 21:30:56.69745,11878175
2026-03-06 21:30:56.6998,11878136
2026-03-06 21:30:56.799499,11878277
