time,PT_Cal.Fuel_Downstream.pressure_psi
2026-03-06 21:35:32.998266,0.22965294
2026-03-06 21:35:32.998602,-1.3150998
2026-03-06 21:35:33.106066,-1.7108613
2026-03-06 21:35:33.10642,-1.6998798
2026-03-06 21:35:33.106658,-1.6900339
2026-03-06 21:35:33.107039,-1.7305529
2026-03-06 21:35:33.107603,0.22961587
2026-03-06 21:35:33.215053,-1.6665541
2026-03-06 21:35:33.215615,-1.7903851
2026-03-06 21:35:33.215878,0.22969475
2026-03-06 21:35:33.215951,-1.6627673
2026-03-06 21:35:33.216353,-1.7131332
2026-03-06 21:35:33.323925,-1.6328499
2026-03-06 21:35:33.324595,-2.6733177
2026-03-06 21:35:33.324932,0.22975476
2026-03-06 21:35:33.325228,-1.7059385
2026-03-06 21:35:33.325883,-1.6544361
2026-03-06 21:35:33.326532,-1.722601
2026-03-06 21:35:33.433298,-1.9941071
2026-03-06 21:35:33.433707,-1.7165414
2026-03-06 21:35:33.433902,-1.4279642
2026-03-06 21:35:33.434148,0.22911154
2026-03-06 21:35:33.541786,-1.6741282
2026-03-06 21:35:33.542041,-1.7994736
2026-03-06 21:35:33.542364,0.22968127
2026-03-06 21:35:33.542394,-1.868771
2026-03-06 21:35:33.542921,-1.6169444
2026-03-06 21:35:33.650954,-1.6983644
2026-03-06 21:35:33.651269,-2.0467389
2026-03-06 21:35:33.651721,-1.6790512
2026-03-06 21:35:33.651868,0.22963811
2026-03-06 21:35:33.652199,-1.6290631
2026-03-06 21:35:33.760004,-1.6453471
2026-03-06 21:35:33.760416,-1.6790512
2026-03-06 21:35:33.760858,-1.7021517
2026-03-06 21:35:33.761779,0.2297325
2026-03-06 21:35:33.868899,-2.018719
2026-03-06 21:35:33.869056,-1.678672
2026-03-06 21:35:33.869293,-1.4442495
2026-03-06 21:35:33.869624,0.22906771
2026-03-06 21:35:33.869883,-1.6283054
2026-03-06 21:35:33.870817,-1.6184592
2026-03-06 21:35:33.977847,-2.0297003
2026-03-06 21:35:33.977995,-3.2581155
2026-03-06 21:35:33.978155,-1.7275239
2026-03-06 21:35:33.978542,0.22904815
2026-03-06 21:35:33.978678,-1.8199222
2026-03-06 21:35:34.086772,-1.6536784
2026-03-06 21:35:34.087066,-2.1148937
2026-03-06 21:35:34.087458,-1.9520763
2026-03-06 21:35:34.087783,-1.6532993
2026-03-06 21:35:34.087922,0.22971767
2026-03-06 21:35:34.088297,-1.686246
2026-03-06 21:35:34.088665,-1.7816758
2026-03-06 21:35:34.089156,-1.7403988
2026-03-06 21:35:34.196062,-1.6729919
2026-03-06 21:35:34.19628,-1.7676644
2026-03-06 21:35:34.196552,-1.9490471
2026-03-06 21:35:34.19739,0.22968328
2026-03-06 21:35:34.197517,-1.9710091
2026-03-06 21:35:34.304838,-2.3515284
2026-03-06 21:35:34.305048,-1.613157
2026-03-06 21:35:34.305415,-1.6570872
2026-03-06 21:35:34.306266,-1.7756168
2026-03-06 21:35:34.306379,0.22847505
2026-03-06 21:35:34.306919,-2.0278068
2026-03-06 21:35:34.413791,-1.5843754
2026-03-06 21:35:34.414135,-2.0868745
2026-03-06 21:35:34.414487,-2.011525
2026-03-06 21:35:34.414813,0.22984105
