time,ACT.GSE_High_Press_Vent.raw_adc_counts
2026-03-06 21:25:48.249942,1054707981
2026-03-06 21:25:48.291799,0
2026-03-06 21:25:48.351972,1054707981
2026-03-06 21:25:48.394036,0
2026-03-06 21:25:48.454039,1054707981
2026-03-06 21:25:48.495477,0
2026-03-06 21:25:48.556182,1054707981
2026-03-06 21:25:48.597733,0
2026-03-06 21:25:48.658216,1054707981
2026-03-06 21:25:48.700122,0
2026-03-06 21:25:48.760162,1054707981
2026-03-06 21:25:48.801982,0
2026-03-06 21:25:48.861932,1054599820
2026-03-06 21:25:48.903992,0
2026-03-06 21:25:48.963787,1054626860
2026-03-06 21:25:49.006032,0
2026-03-06 21:25:49.066143,1054653900
2026-03-06 21:25:49.107998,0
2026-03-06 21:25:49.168174,1054626860
2026-03-06 21:25:49.209789,0
2026-03-06 21:25:49.270425,1054680941
2026-03-06 21:25:49.311752,0
2026-03-06 21:25:49.371768,1054680941
2026-03-06 21:25:49.413936,0
2026-03-06 21:25:49.474603,1054653900
2026-03-06 21:25:49.516176,0
2026-03-06 21:25:49.576258,1054626860
2026-03-06 21:25:49.617905,0
2026-03-06 21:25:49.678062,1054653900
2026-03-06 21:25:49.720166,0
2026-03-06 21:25:49.780206,1054545740
2026-03-06 21:25:49.822087,0
2026-03-06 21:25:49.882418,1054653900
2026-03-06 21:25:49.923882,0
2026-03-06 21:25:49.984298,1054680941
2026-03-06 21:25:50.025805,0
2026-03-06 21:25:50.086091,1054680941
2026-03-06 21:25:50.127924,0
2026-03-06 21:25:50.188487,1054599820
2026-03-06 21:25:50.230096,0
2026-03-06 21:25:50.290268,1054653900
2026-03-06 21:25:50.331941,0
2026-03-06 21:25:50.392259,1054653900
2026-03-06 21:25:50.434223,0
2026-03-06 21:25:50.493931,1054653900
2026-03-06 21:25:50.536134,0
2026-03-06 21:25:50.596144,1054653900
2026-03-06 21:25:50.637977,0
2026-03-06 21:25:50.698076,1054707981
2026-03-06 21:25:50.739669,0
2026-03-06 21:25:50.800098,1054680941
2026-03-06 21:25:50.841927,0
2026-03-06 21:25:50.901868,1054680941
2026-03-06 21:25:50.943669,0
2026-03-06 21:25:51.003877,1054680941
2026-03-06 21:25:51.045845,0
2026-03-06 21:25:51.106259,1054653900
2026-03-06 21:25:51.147771,0
2026-03-06 21:25:51.208345,1054599820
2026-03-06 21:25:51.250136,0
2026-03-06 21:25:51.310226,1054707981
2026-03-06 21:25:51.351714,0
2026-03-06 21:25:51.412368,1054599820
2026-03-06 21:25:51.45383,0
2026-03-06 21:25:51.514372,1054707981
2026-03-06 21:25:51.555819,0
2026-03-06 21:25:51.616129,1054707981
2026-03-06 21:25:51.65795,0
2026-03-06 21:25:51.718196,1054762061
2026-03-06 21:25:51.760207,0
2026-03-06 21:25:51.820195,1054599820
2026-03-06 21:25:51.861794,0
2026-03-06 21:25:51.922519,1054653900
2026-03-06 21:25:51.964477,0
2026-03-06 21:25:52.02426,1054599820
2026-03-06 21:25:52.066309,0
2026-03-06 21:25:52.125989,1054653900
2026-03-06 21:25:52.167883,0
2026-03-06 21:25:52.228215,1054653900
2026-03-06 21:25:52.270039,0
2026-03-06 21:25:52.330175,1054707981
2026-03-06 21:25:52.371486,0
2026-03-06 21:25:52.431941,1054653900
2026-03-06 21:25:52.473674,0
2026-03-06 21:25:52.533956,1054653900
2026-03-06 21:25:52.576043,0
2026-03-06 21:25:52.635966,1054653900
2026-03-06 21:25:52.678258,0
2026-03-06 21:25:52.738524,1054707981
2026-03-06 21:25:52.779753,0
2026-03-06 21:25:52.84045,1054653900
2026-03-06 21:25:52.882148,0
2026-03-06 21:25:52.942487,1054626860
2026-03-06 21:25:52.984143,0
2026-03-06 21:25:53.044328,1054599820
2026-03-06 21:25:53.08604,0
2026-03-06 21:25:53.146106,1054599820
2026-03-06 21:25:53.188068,0
2026-03-06 21:25:53.248352,1054707981
2026-03-06 21:25:53.290067,0
2026-03-06 21:25:53.350315,1054626860
2026-03-06 21:25:53.391652,0
2026-03-06 21:25:53.452373,1054653900
2026-03-06 21:25:53.493934,0
2026-03-06 21:25:53.553928,1054572780
2026-03-06 21:25:53.596104,0
2026-03-06 21:25:53.656444,1054545740
2026-03-06 21:25:53.697805,0
2026-03-06 21:25:53.758189,1054680941
2026-03-06 21:25:53.799698,0
2026-03-06 21:25:53.860333,1054626860
2026-03-06 21:25:53.902145,0
2026-03-06 21:25:53.962574,1054653900
2026-03-06 21:25:54.003835,0
2026-03-06 21:25:54.064116,1054599820
2026-03-06 21:25:54.105758,0
2026-03-06 21:25:54.166472,1054653900
2026-03-06 21:25:54.208037,0
2026-03-06 21:25:54.267968,1054680941
2026-03-06 21:25:54.310069,0
2026-03-06 21:25:54.369886,1054653900
2026-03-06 21:25:54.411981,0
2026-03-06 21:25:54.47238,1054680941
2026-03-06 21:25:54.514,0
2026-03-06 21:25:54.574338,1054626860
2026-03-06 21:25:54.615572,0
2026-03-06 21:25:54.675926,1054653900
2026-03-06 21:25:54.717997,0
2026-03-06 21:25:54.778003,1054626860
2026-03-06 21:25:54.820101,0
2026-03-06 21:25:54.879976,1054653900
2026-03-06 21:25:54.922235,0
2026-03-06 21:25:54.982031,1054626860
2026-03-06 21:25:55.024042,0
2026-03-06 21:25:55.084215,1054653900
2026-03-06 21:25:55.125958,0
2026-03-06 21:25:55.186013,1054626860
2026-03-06 21:25:55.227883,0
2026-03-06 21:25:55.288209,1054653900
2026-03-06 21:25:55.329703,0
2026-03-06 21:25:55.39025,1054626860
2026-03-06 21:25:55.432065,0
2026-03-06 21:25:55.492395,1054653900
2026-03-06 21:25:55.533823,0
2026-03-06 21:25:55.594036,1054599820
2026-03-06 21:25:55.635691,0
2026-03-06 21:25:55.696081,1054599820
2026-03-06 21:25:55.737598,0
2026-03-06 21:25:55.798231,1054707981
2026-03-06 21:25:55.839877,0
2026-03-06 21:25:55.900296,1054707981
2026-03-06 21:25:55.941556,0
2026-03-06 21:25:56.002394,1054653900
2026-03-06 21:25:56.043679,0
2026-03-06 21:25:56.104323,1054653900
2026-03-06 21:25:56.146281,0
2026-03-06 21:25:56.20628,1054626860
2026-03-06 21:25:56.247805,0
2026-03-06 21:25:56.308074,1054680941
2026-03-06 21:25:56.350276,0
2026-03-06 21:25:56.410034,1054599820
2026-03-06 21:25:56.451796,0
2026-03-06 21:25:56.512162,1054599820
2026-03-06 21:25:56.553973,0
2026-03-06 21:25:56.614304,1054707981
2026-03-06 21:25:56.656222,0
2026-03-06 21:25:56.716207,1054707981
2026-03-06 21:25:56.757894,0
2026-03-06 21:25:56.818156,1054762061
2026-03-06 21:25:56.859693,0
2026-03-06 21:25:56.920269,1054653900
2026-03-06 21:25:56.96174,0
2026-03-06 21:25:57.022415,1054626860
