time,ACT.GSE_Med_Press_Control.sample_ts_ms
2026-03-06 21:35:05.276563,12126711
2026-03-06 21:35:05.351991,12126829
2026-03-06 21:35:05.378111,12126813
2026-03-06 21:35:05.453904,12126931
2026-03-06 21:35:05.48058,12126915
2026-03-06 21:35:05.555908,12127033
2026-03-06 21:35:05.582398,12127017
2026-03-06 21:35:05.65799,12127135
2026-03-06 21:35:05.684576,12127119
2026-03-06 21:35:05.759562,12127237
2026-03-06 21:35:05.78604,12127221
2026-03-06 21:35:05.862094,12127339
2026-03-06 21:35:05.888191,12127323
2026-03-06 21:35:05.963866,12127441
2026-03-06 21:35:05.990421,12127425
2026-03-06 21:35:06.065592,12127543
2026-03-06 21:35:06.092072,12127527
2026-03-06 21:35:06.167859,12127645
2026-03-06 21:35:06.194299,12127629
2026-03-06 21:35:06.269478,12127747
2026-03-06 21:35:06.296578,12127731
2026-03-06 21:35:06.3717,12127849
2026-03-06 21:35:06.398471,12127833
2026-03-06 21:35:06.473394,12127951
2026-03-06 21:35:06.500218,12127935
2026-03-06 21:35:06.575993,12128053
2026-03-06 21:35:06.602235,12128037
2026-03-06 21:35:06.677901,12128155
2026-03-06 21:35:06.704297,12128139
2026-03-06 21:35:06.779421,12128257
2026-03-06 21:35:06.806464,12128241
2026-03-06 21:35:06.881715,12128359
2026-03-06 21:35:06.908656,12128343
2026-03-06 21:35:06.983998,12128461
2026-03-06 21:35:07.010615,12128445
2026-03-06 21:35:07.085358,12128563
2026-03-06 21:35:07.112607,12128547
2026-03-06 21:35:07.187416,12128665
2026-03-06 21:35:07.214172,12128649
2026-03-06 21:35:07.289984,12128767
2026-03-06 21:35:07.316434,12128751
2026-03-06 21:35:07.391731,12128869
2026-03-06 21:35:07.418255,12128853
