time,ACT.LOX_Dump.sample_ts_ms
2026-03-06 21:21:06.872816,11288352
2026-03-06 21:21:06.932053,11288372
2026-03-06 21:21:06.975091,11288454
2026-03-06 21:21:07.034298,11288474
2026-03-06 21:21:07.077289,11288556
2026-03-06 21:21:07.136505,11288576
2026-03-06 21:21:07.17906,11288658
2026-03-06 21:21:07.238124,11288678
2026-03-06 21:21:07.281192,11288760
2026-03-06 21:21:07.340202,11288780
2026-03-06 21:21:07.382912,11288862
2026-03-06 21:21:07.44224,11288882
2026-03-06 21:21:07.484732,11288964
2026-03-06 21:21:07.544345,11288984
2026-03-06 21:21:07.586517,11289066
2026-03-06 21:21:07.64615,11289086
2026-03-06 21:21:07.689314,11289168
2026-03-06 21:21:07.747902,11289188
2026-03-06 21:21:07.790985,11289270
2026-03-06 21:21:07.850021,11289290
2026-03-06 21:21:07.893032,11289372
2026-03-06 21:21:07.951919,11289392
2026-03-06 21:21:07.99475,11289474
2026-03-06 21:21:08.054017,11289494
2026-03-06 21:21:08.096936,11289576
2026-03-06 21:21:08.155918,11289596
2026-03-06 21:21:08.198941,11289678
2026-03-06 21:21:08.258247,11289698
2026-03-06 21:21:08.30107,11289780
2026-03-06 21:21:08.360294,11289800
2026-03-06 21:21:08.403032,11289882
2026-03-06 21:21:08.462084,11289902
2026-03-06 21:21:08.505102,11289984
2026-03-06 21:21:08.563989,11290004
2026-03-06 21:21:08.606807,11290086
2026-03-06 21:21:08.666091,11290106
2026-03-06 21:21:08.708948,11290188
2026-03-06 21:21:08.768221,11290208
2026-03-06 21:21:08.810946,11290290
2026-03-06 21:21:08.869835,11290310
2026-03-06 21:21:08.913475,11290392
2026-03-06 21:21:08.97175,11290412
2026-03-06 21:21:09.015339,11290494
2026-03-06 21:21:09.074071,11290514
2026-03-06 21:21:09.117388,11290596
2026-03-06 21:21:09.176601,11290616
2026-03-06 21:21:09.219173,11290698
2026-03-06 21:21:09.278034,11290718
2026-03-06 21:21:09.32103,11290800
2026-03-06 21:21:09.379766,11290820
2026-03-06 21:21:09.423451,11290902
2026-03-06 21:21:09.482107,11290922
2026-03-06 21:21:09.524944,11291004
