time,ACT.GSE_High_Press_Control.sample_ts_ms
2026-03-06 21:25:42.987817,11564466
2026-03-06 21:25:43.048139,11564486
2026-03-06 21:25:43.089962,11564568
2026-03-06 21:25:43.150242,11564588
2026-03-06 21:25:43.191716,11564670
2026-03-06 21:25:43.251887,11564690
2026-03-06 21:25:43.293841,11564772
2026-03-06 21:25:43.354178,11564792
2026-03-06 21:25:43.395817,11564874
2026-03-06 21:25:43.4559,11564894
2026-03-06 21:25:43.497604,11564976
2026-03-06 21:25:43.557946,11564996
2026-03-06 21:25:43.599552,11565078
2026-03-06 21:25:43.660001,11565098
2026-03-06 21:25:43.701535,11565180
2026-03-06 21:25:43.761976,11565200
2026-03-06 21:25:43.803797,11565282
2026-03-06 21:25:43.8638,11565302
2026-03-06 21:25:43.905757,11565384
2026-03-06 21:25:43.966298,11565404
2026-03-06 21:25:44.007488,11565486
2026-03-06 21:25:44.067815,11565506
2026-03-06 21:25:44.109902,11565588
2026-03-06 21:25:44.170041,11565608
2026-03-06 21:25:44.211701,11565690
2026-03-06 21:25:44.271895,11565710
2026-03-06 21:25:44.314082,11565792
2026-03-06 21:25:44.373707,11565812
2026-03-06 21:25:44.416002,11565894
2026-03-06 21:25:44.475881,11565914
2026-03-06 21:25:44.517665,11565996
2026-03-06 21:25:44.578148,11566016
2026-03-06 21:25:44.620172,11566098
2026-03-06 21:25:44.679993,11566118
2026-03-06 21:25:44.721822,11566200
2026-03-06 21:25:44.782174,11566220
2026-03-06 21:25:44.823399,11566302
2026-03-06 21:25:44.883868,11566322
2026-03-06 21:25:44.925956,11566404
2026-03-06 21:25:44.986313,11566424
2026-03-06 21:25:45.027935,11566506
2026-03-06 21:25:45.087722,11566526
2026-03-06 21:25:45.129617,11566608
2026-03-06 21:25:45.18998,11566628
2026-03-06 21:25:45.232116,11566710
2026-03-06 21:25:45.291955,11566730
2026-03-06 21:25:45.333857,11566812
2026-03-06 21:25:45.394164,11566832
2026-03-06 21:25:45.435884,11566914
2026-03-06 21:25:45.496043,11566934
2026-03-06 21:25:45.538063,11567016
2026-03-06 21:25:45.597793,11567036
2026-03-06 21:25:45.63997,11567118
2026-03-06 21:25:45.699923,11567138
2026-03-06 21:25:45.741879,11567220
2026-03-06 21:25:45.802569,11567240
2026-03-06 21:25:45.844096,11567322
2026-03-06 21:25:45.904062,11567342
2026-03-06 21:25:45.945913,11567424
2026-03-06 21:25:46.006101,11567444
2026-03-06 21:25:46.047692,11567526
2026-03-06 21:25:46.108347,11567546
2026-03-06 21:25:46.149965,11567628
2026-03-06 21:25:46.210117,11567648
2026-03-06 21:25:46.252135,11567730
2026-03-06 21:25:46.312407,11567750
2026-03-06 21:25:46.353594,11567832
2026-03-06 21:25:46.414031,11567852
2026-03-06 21:25:46.45577,11567934
2026-03-06 21:25:46.516176,11567954
2026-03-06 21:25:46.557813,11568036
2026-03-06 21:25:46.618122,11568056
2026-03-06 21:25:46.659656,11568138
2026-03-06 21:25:46.720201,11568158
2026-03-06 21:25:46.761912,11568240
2026-03-06 21:25:46.821733,11568260
