time,ACT.LOX_Fill.sample_ts_ms
2026-03-06 21:34:43.448115,12104883
2026-03-06 21:34:43.523339,12105001
2026-03-06 21:34:43.550243,12104985
2026-03-06 21:34:43.625449,12105103
2026-03-06 21:34:43.652196,12105087
2026-03-06 21:34:43.727846,12105205
2026-03-06 21:34:43.754567,12105189
2026-03-06 21:34:43.83004,12105307
2026-03-06 21:34:43.856322,12105291
2026-03-06 21:34:43.931535,12105409
2026-03-06 21:34:43.958536,12105393
2026-03-06 21:34:44.033996,12105511
2026-03-06 21:34:44.060288,12105495
2026-03-06 21:34:44.136061,12105613
2026-03-06 21:34:44.162114,12105597
2026-03-06 21:34:44.237784,12105715
2026-03-06 21:34:44.264454,12105699
2026-03-06 21:34:44.339415,12105817
2026-03-06 21:34:44.366096,12105801
2026-03-06 21:34:44.441821,12105919
2026-03-06 21:34:44.468866,12105903
2026-03-06 21:34:44.544085,12106021
2026-03-06 21:34:44.570402,12106005
2026-03-06 21:34:44.6456,12106123
2026-03-06 21:34:44.672415,12106107
2026-03-06 21:34:44.747704,12106225
2026-03-06 21:34:44.774118,12106209
2026-03-06 21:34:44.84996,12106327
2026-03-06 21:34:44.876184,12106311
2026-03-06 21:34:44.951819,12106429
2026-03-06 21:34:44.978338,12106413
2026-03-06 21:34:45.053613,12106531
2026-03-06 21:34:45.080544,12106515
2026-03-06 21:34:45.155575,12106633
2026-03-06 21:34:45.182424,12106617
2026-03-06 21:34:45.257946,12106735
2026-03-06 21:34:45.284538,12106719
2026-03-06 21:34:45.359648,12106837
2026-03-06 21:34:45.386461,12106821
2026-03-06 21:34:45.46236,12106939
2026-03-06 21:34:45.488396,12106923
2026-03-06 21:34:45.563887,12107041
2026-03-06 21:34:45.590569,12107025
2026-03-06 21:34:45.665928,12107143
2026-03-06 21:34:45.692764,12107127
2026-03-06 21:34:45.767658,12107245
2026-03-06 21:34:45.79435,12107229
2026-03-06 21:34:45.869893,12107347
2026-03-06 21:34:45.89676,12107331
