time,ACT.GSE_Med_Press_Control.actuator_state
2026-03-06 21:34:54.641749,0
2026-03-06 21:34:54.66858,0
2026-03-06 21:34:54.743671,0
2026-03-06 21:34:54.770071,0
2026-03-06 21:34:54.845945,0
2026-03-06 21:34:54.872198,0
2026-03-06 21:34:54.948004,0
2026-03-06 21:34:54.974341,0
2026-03-06 21:34:55.049513,0
2026-03-06 21:34:55.076469,0
2026-03-06 21:34:55.152,0
2026-03-06 21:34:55.178251,0
2026-03-06 21:34:55.253811,0
2026-03-06 21:34:55.280487,0
2026-03-06 21:34:55.355644,0
2026-03-06 21:34:55.382448,0
2026-03-06 21:34:55.457863,0
2026-03-06 21:34:55.484657,0
2026-03-06 21:34:55.559593,0
2026-03-06 21:34:55.586581,0
2026-03-06 21:34:55.661664,0
2026-03-06 21:34:55.688702,0
2026-03-06 21:34:55.763897,0
2026-03-06 21:34:55.790551,0
2026-03-06 21:34:55.865819,0
2026-03-06 21:34:55.892403,0
2026-03-06 21:34:55.96763,0
2026-03-06 21:34:55.994296,0
2026-03-06 21:34:56.069671,0
2026-03-06 21:34:56.096299,0
2026-03-06 21:34:56.171586,0
2026-03-06 21:34:56.198523,0
2026-03-06 21:34:56.273789,0
2026-03-06 21:34:56.300408,0
2026-03-06 21:34:56.37583,0
2026-03-06 21:34:56.402329,0
2026-03-06 21:34:56.477906,0
2026-03-06 21:34:56.504361,0
2026-03-06 21:34:56.579775,0
2026-03-06 21:34:56.60606,0
2026-03-06 21:34:56.681444,0
2026-03-06 21:34:56.708671,0
2026-03-06 21:34:56.783705,0
2026-03-06 21:34:56.810453,0
2026-03-06 21:34:56.885794,0
2026-03-06 21:34:56.912205,0
2026-03-06 21:34:56.987801,0
2026-03-06 21:34:57.014132,0
2026-03-06 21:34:57.08992,0
2026-03-06 21:34:57.116412,0
2026-03-06 21:34:57.191928,0
2026-03-06 21:34:57.218199,0
2026-03-06 21:34:57.293965,0
2026-03-06 21:34:57.320526,0
2026-03-06 21:34:57.395691,0
2026-03-06 21:34:57.422299,0
2026-03-06 21:34:57.498054,0
