time,ACT.GSE_High_Press_Vent.status
2026-03-06 21:36:37.382873,0
2026-03-06 21:36:37.457762,0
2026-03-06 21:36:37.485043,0
2026-03-06 21:36:37.560694,0
2026-03-06 21:36:37.58704,0
2026-03-06 21:36:37.662141,0
2026-03-06 21:36:37.689197,0
2026-03-06 21:36:37.76358,0
2026-03-06 21:36:37.790796,0
2026-03-06 21:36:37.865989,0
2026-03-06 21:36:37.89324,0
2026-03-06 21:36:37.968295,0
2026-03-06 21:36:37.994875,0
2026-03-06 21:36:38.069898,0
2026-03-06 21:36:38.096988,0
2026-03-06 21:36:38.171956,0
2026-03-06 21:36:38.19925,0
2026-03-06 21:36:38.273729,0
2026-03-06 21:36:38.300976,0
2026-03-06 21:36:38.375581,0
2026-03-06 21:36:38.403145,0
2026-03-06 21:36:38.477799,0
2026-03-06 21:36:38.505109,0
2026-03-06 21:36:38.579835,0
2026-03-06 21:36:38.606679,0
2026-03-06 21:36:38.681978,0
2026-03-06 21:36:38.70919,0
2026-03-06 21:36:38.787298,0
2026-03-06 21:36:38.811088,0
2026-03-06 21:36:38.885862,0
2026-03-06 21:36:38.912789,0
2026-03-06 21:36:38.987651,0
2026-03-06 21:36:39.015125,0
2026-03-06 21:36:39.090055,0
2026-03-06 21:36:39.116917,0
2026-03-06 21:36:39.191761,0
2026-03-06 21:36:39.219122,0
2026-03-06 21:36:39.293655,0
2026-03-06 21:36:39.323137,0
2026-03-06 21:36:39.395718,0
2026-03-06 21:36:39.422762,0
2026-03-06 21:36:39.497639,0
2026-03-06 21:36:39.526261,0
2026-03-06 21:36:39.599711,0
2026-03-06 21:36:39.627071,0
2026-03-06 21:36:39.702006,0
2026-03-06 21:36:39.728775,0
2026-03-06 21:36:39.803865,0
2026-03-06 21:36:39.830929,0
2026-03-06 21:36:39.906157,0
2026-03-06 21:36:39.932916,0
2026-03-06 21:36:40.008062,0
2026-03-06 21:36:40.034957,0
2026-03-06 21:36:40.109952,0
2026-03-06 21:36:40.137106,0
2026-03-06 21:36:40.212036,0
2026-03-06 21:36:40.239116,0
2026-03-06 21:36:40.314144,0
2026-03-06 21:36:40.340848,0
2026-03-06 21:36:40.415841,0
2026-03-06 21:36:40.442938,0
2026-03-06 21:36:40.517948,0
2026-03-06 21:36:40.544876,0
2026-03-06 21:36:40.619787,0
2026-03-06 21:36:40.647288,0
2026-03-06 21:36:40.721959,0
2026-03-06 21:36:40.748916,0
2026-03-06 21:36:40.823791,0
2026-03-06 21:36:40.850818,0
2026-03-06 21:36:40.929472,0
2026-03-06 21:36:40.953135,0
2026-03-06 21:36:41.028021,0
2026-03-06 21:36:41.054793,0
2026-03-06 21:36:41.131316,0
2026-03-06 21:36:41.157056,0
2026-03-06 21:36:41.234166,0
2026-03-06 21:36:41.259941,0
2026-03-06 21:36:41.336084,0
2026-03-06 21:36:41.361295,0
2026-03-06 21:36:41.435671,0
2026-03-06 21:36:41.462729,0
2026-03-06 21:36:41.537929,0
2026-03-06 21:36:41.56497,0
2026-03-06 21:36:41.63956,0
2026-03-06 21:36:41.66768,0
2026-03-06 21:36:41.742065,0
2026-03-06 21:36:41.769062,0
2026-03-06 21:36:41.844021,0
2026-03-06 21:36:41.871142,0
2026-03-06 21:36:41.945781,0
2026-03-06 21:36:41.972959,0
2026-03-06 21:36:42.047638,0
2026-03-06 21:36:42.075234,0
2026-03-06 21:36:42.149956,0
2026-03-06 21:36:42.176746,0
2026-03-06 21:36:42.251833,0
2026-03-06 21:36:42.279225,0
2026-03-06 21:36:42.353747,0
2026-03-06 21:36:42.381041,0
2026-03-06 21:36:42.456091,0
2026-03-06 21:36:42.48277,0
2026-03-06 21:36:42.557592,0
2026-03-06 21:36:42.585163,0
2026-03-06 21:36:42.66004,0
2026-03-06 21:36:42.687052,0
2026-03-06 21:36:42.763698,0
2026-03-06 21:36:42.788922,0
2026-03-06 21:36:42.863832,0
2026-03-06 21:36:42.89099,0
2026-03-06 21:36:42.965837,0
2026-03-06 21:36:42.993315,0
2026-03-06 21:36:43.068008,0
2026-03-06 21:36:43.095224,0
2026-03-06 21:36:43.171556,0
2026-03-06 21:36:43.196859,0
2026-03-06 21:36:43.271819,0
2026-03-06 21:36:43.298987,0
2026-03-06 21:36:43.373896,0
2026-03-06 21:36:43.400773,0
2026-03-06 21:36:43.475765,0
2026-03-06 21:36:43.502899,0
2026-03-06 21:36:43.578382,0
2026-03-06 21:36:43.605251,0
2026-03-06 21:36:43.679858,0
2026-03-06 21:36:43.707204,0
2026-03-06 21:36:43.781955,0
2026-03-06 21:36:43.809299,0
2026-03-06 21:36:43.883618,0
2026-03-06 21:36:43.910866,0
2026-03-06 21:36:43.98597,0
2026-03-06 21:36:44.013334,0
2026-03-06 21:36:44.087836,0
2026-03-06 21:36:44.11482,0
2026-03-06 21:36:44.189882,0
2026-03-06 21:36:44.217084,0
2026-03-06 21:36:44.291707,0
2026-03-06 21:36:44.3189,0
2026-03-06 21:36:44.393527,0
2026-03-06 21:36:44.420876,0
