time,TC_Cal.CH19.cal_status
2026-03-06 21:15:33.012234,0
2026-03-06 21:15:33.139018,0
2026-03-06 21:15:33.268041,0
2026-03-06 21:15:33.393056,0
2026-03-06 21:15:33.525709,0
2026-03-06 21:15:33.651535,0
2026-03-06 21:15:33.779142,0
2026-03-06 21:15:33.907117,0
2026-03-06 21:15:34.034799,0
2026-03-06 21:15:34.159467,0
2026-03-06 21:15:34.287807,0
2026-03-06 21:15:34.41534,0
2026-03-06 21:15:34.54713,0
2026-03-06 21:15:34.677086,0
2026-03-06 21:15:34.801133,0
2026-03-06 21:15:34.927104,0
2026-03-06 21:15:35.055131,0
2026-03-06 21:15:35.182713,0
2026-03-06 21:15:35.309977,0
2026-03-06 21:15:35.435956,0
2026-03-06 21:15:35.568291,0
2026-03-06 21:15:35.695352,0
2026-03-06 21:15:35.820321,0
2026-03-06 21:15:35.94821,0
2026-03-06 21:15:36.074428,0
2026-03-06 21:15:36.202175,0
2026-03-06 21:15:36.32948,0
2026-03-06 21:15:36.457221,0
2026-03-06 21:15:36.58788,0
2026-03-06 21:15:36.714873,0
2026-03-06 21:15:36.842572,0
2026-03-06 21:15:36.968532,0
2026-03-06 21:15:37.095085,0
2026-03-06 21:15:37.222618,0
2026-03-06 21:15:37.35126,0
2026-03-06 21:15:37.480052,0
2026-03-06 21:15:37.609027,0
2026-03-06 21:15:37.736448,0
2026-03-06 21:15:37.86692,0
2026-03-06 21:15:37.988742,0
2026-03-06 21:15:38.116707,0
2026-03-06 21:15:38.243248,0
2026-03-06 21:15:38.373027,0
2026-03-06 21:15:38.499091,0
2026-03-06 21:15:38.629392,0
2026-03-06 21:15:38.757828,0
2026-03-06 21:15:38.883987,0
2026-03-06 21:15:39.010799,0
2026-03-06 21:15:39.138243,0
2026-03-06 21:15:39.264036,0
2026-03-06 21:15:39.394348,0
2026-03-06 21:15:39.519516,0
2026-03-06 21:15:39.650822,0
2026-03-06 21:15:39.777799,0
2026-03-06 21:15:39.905468,0
2026-03-06 21:15:40.03246,0
2026-03-06 21:15:40.159864,0
2026-03-06 21:15:40.28718,0
2026-03-06 21:15:40.413919,0
2026-03-06 21:15:40.541131,0
2026-03-06 21:15:40.671038,0
2026-03-06 21:15:40.799105,0
2026-03-06 21:15:40.928762,0
2026-03-06 21:15:41.052837,0
2026-03-06 21:15:41.178947,0
2026-03-06 21:15:41.30797,0
2026-03-06 21:15:41.435133,0
2026-03-06 21:15:41.56155,0
2026-03-06 21:15:41.693868,0
2026-03-06 21:15:41.819016,0
2026-03-06 21:15:41.946016,0
2026-03-06 21:15:42.073447,0
2026-03-06 21:15:42.202294,0
2026-03-06 21:15:42.328525,0
2026-03-06 21:15:42.456689,0
2026-03-06 21:15:42.582253,0
2026-03-06 21:15:42.712404,0
2026-03-06 21:15:42.840244,0
2026-03-06 21:15:42.967734,0
2026-03-06 21:15:43.094386,0
2026-03-06 21:15:43.221263,0
2026-03-06 21:15:43.348726,0
2026-03-06 21:15:43.475241,0
2026-03-06 21:15:43.603469,0
2026-03-06 21:15:43.734016,0
2026-03-06 21:15:43.862345,0
2026-03-06 21:15:43.987992,0
2026-03-06 21:15:44.116649,0
2026-03-06 21:15:44.243304,0
2026-03-06 21:15:44.370432,0
2026-03-06 21:15:44.498153,0
2026-03-06 21:15:44.623384,0
2026-03-06 21:15:44.753994,0
2026-03-06 21:15:44.881297,0
2026-03-06 21:15:45.008386,0
2026-03-06 21:15:45.13639,0
2026-03-06 21:15:45.262435,0
2026-03-06 21:15:45.39121,0
2026-03-06 21:15:45.519306,0
2026-03-06 21:15:45.644494,0
2026-03-06 21:15:45.776188,0
2026-03-06 21:15:45.903137,0
2026-03-06 21:15:46.030626,0
2026-03-06 21:15:46.15818,0
2026-03-06 21:15:46.283695,0
2026-03-06 21:15:46.4121,0
2026-03-06 21:15:46.539727,0
2026-03-06 21:15:46.666406,0
2026-03-06 21:15:46.796694,0
2026-03-06 21:15:46.923932,0
2026-03-06 21:15:47.050597,0
2026-03-06 21:15:47.177332,0
2026-03-06 21:15:47.306484,0
2026-03-06 21:15:47.433111,0
2026-03-06 21:15:47.56056,0
2026-03-06 21:15:47.687138,0
2026-03-06 21:15:47.817336,0
2026-03-06 21:15:47.944306,0
2026-03-06 21:15:48.071813,0
2026-03-06 21:15:48.198972,0
2026-03-06 21:15:48.324814,0
2026-03-06 21:15:48.453657,0
2026-03-06 21:15:48.581488,0
2026-03-06 21:15:48.707986,0
2026-03-06 21:15:48.840592,0
2026-03-06 21:15:48.966318,0
2026-03-06 21:15:49.092608,0
2026-03-06 21:15:49.220966,0
2026-03-06 21:15:49.346616,0
2026-03-06 21:15:49.475501,0
2026-03-06 21:15:49.601934,0
2026-03-06 21:15:49.729719,0
2026-03-06 21:15:49.859762,0
