time,PT_Cal.Fuel_Upstream.raw_adc
2026-03-06 21:35:44.878648,259168417
2026-03-06 21:35:44.879277,258537330
2026-03-06 21:35:44.986911,258769943
2026-03-06 21:35:44.987219,258684315
2026-03-06 21:35:44.98743,258769943
2026-03-06 21:35:44.988173,259287757
2026-03-06 21:35:45.095789,258671503
2026-03-06 21:35:45.09636,258654648
2026-03-06 21:35:45.096463,258671503
2026-03-06 21:35:45.097274,258604079
2026-03-06 21:35:45.204708,258544747
2026-03-06 21:35:45.205187,258618239
2026-03-06 21:35:45.205409,258544747
2026-03-06 21:35:45.205911,258641163
2026-03-06 21:35:45.206849,259173811
2026-03-06 21:35:45.313736,258701845
2026-03-06 21:35:45.314363,259215614
2026-03-06 21:35:45.314509,258701845
2026-03-06 21:35:45.31499,258382930
2026-03-06 21:35:45.315594,259161675
2026-03-06 21:35:45.316249,259260788
2026-03-06 21:35:45.423269,258589921
2026-03-06 21:35:45.423939,258560254
2026-03-06 21:35:45.424103,258589921
2026-03-06 21:35:45.424849,258610148
2026-03-06 21:35:45.425656,258663413
2026-03-06 21:35:45.532056,258600034
2026-03-06 21:35:45.532583,258740951
2026-03-06 21:35:45.532845,259133357
2026-03-06 21:35:45.532863,258600034
2026-03-06 21:35:45.533126,259246630
2026-03-06 21:35:45.640989,259316076
2026-03-06 21:35:45.641323,259244607
2026-03-06 21:35:45.64167,259214266
2026-03-06 21:35:45.641729,259316076
2026-03-06 21:35:45.642278,258727465
2026-03-06 21:35:45.749547,258757132
2026-03-06 21:35:45.750213,259235167
2026-03-06 21:35:45.750299,258757132
2026-03-06 21:35:45.751492,258918949
2026-03-06 21:35:45.752281,258680268
2026-03-06 21:35:45.859015,259171789
2026-03-06 21:35:45.859089,259171789
2026-03-06 21:35:45.859273,259296522
2026-03-06 21:35:45.859505,259074698
2026-03-06 21:35:45.967388,259166395
2026-03-06 21:35:45.967526,259121220
2026-03-06 21:35:45.967715,259364621
2026-03-06 21:35:45.967895,259166395
2026-03-06 21:35:46.077097,259100320
2026-03-06 21:35:46.077457,258761851
2026-03-06 21:35:46.077779,259100320
2026-03-06 21:35:46.078012,259065933
2026-03-06 21:35:46.078788,258685663
2026-03-06 21:35:46.185701,258559580
2026-03-06 21:35:46.186016,259077395
2026-03-06 21:35:46.186203,258559580
2026-03-06 21:35:46.186282,258606102
2026-03-06 21:35:46.186601,258687012
2026-03-06 21:35:46.295107,258658019
2026-03-06 21:35:46.295641,258658019
2026-03-06 21:35:46.296331,258697799
2026-03-06 21:35:46.297475,259119872
