time,PT.GN2_Regulated.status
2026-03-06 21:29:41.571446,0
2026-03-06 21:29:41.5715,0
2026-03-06 21:29:41.571553,0
2026-03-06 21:29:41.571603,0
2026-03-06 21:29:41.571668,0
2026-03-06 21:29:41.571703,0
2026-03-06 21:29:41.571716,0
2026-03-06 21:29:41.680333,0
2026-03-06 21:29:41.680853,0
2026-03-06 21:29:41.681043,0
2026-03-06 21:29:41.681098,0
2026-03-06 21:29:41.68112,0
2026-03-06 21:29:41.681166,0
2026-03-06 21:29:41.681198,0
2026-03-06 21:29:41.681239,0
2026-03-06 21:29:41.681275,0
2026-03-06 21:29:41.789071,0
2026-03-06 21:29:41.789144,0
2026-03-06 21:29:41.789209,0
2026-03-06 21:29:41.789272,0
2026-03-06 21:29:41.789332,0
2026-03-06 21:29:41.789385,0
2026-03-06 21:29:41.78942,0
2026-03-06 21:29:41.789451,0
2026-03-06 21:29:41.789474,0
2026-03-06 21:29:41.89837,0
2026-03-06 21:29:41.898506,0
2026-03-06 21:29:41.898575,0
2026-03-06 21:29:41.898641,0
2026-03-06 21:29:41.898659,0
2026-03-06 21:29:41.898684,0
2026-03-06 21:29:41.898712,0
2026-03-06 21:29:41.898754,0
2026-03-06 21:29:41.898777,0
2026-03-06 21:29:42.007055,0
2026-03-06 21:29:42.007116,0
2026-03-06 21:29:42.007136,0
2026-03-06 21:29:42.007167,0
2026-03-06 21:29:42.007199,0
2026-03-06 21:29:42.007223,0
2026-03-06 21:29:42.007247,0
2026-03-06 21:29:42.007265,0
2026-03-06 21:29:42.007289,0
2026-03-06 21:29:42.115903,0
2026-03-06 21:29:42.115969,0
2026-03-06 21:29:42.116022,0
2026-03-06 21:29:42.116076,0
2026-03-06 21:29:42.116129,0
2026-03-06 21:29:42.116186,0
2026-03-06 21:29:42.116236,0
2026-03-06 21:29:42.116256,0
2026-03-06 21:29:42.116282,0
2026-03-06 21:29:42.225365,0
2026-03-06 21:29:42.225401,0
2026-03-06 21:29:42.225419,0
2026-03-06 21:29:42.22544,0
2026-03-06 21:29:42.225452,0
2026-03-06 21:29:42.22547,0
2026-03-06 21:29:42.225489,0
2026-03-06 21:29:42.225502,0
2026-03-06 21:29:42.225525,0
2026-03-06 21:29:42.334505,0
2026-03-06 21:29:42.334561,0
2026-03-06 21:29:42.334591,0
2026-03-06 21:29:42.334621,0
2026-03-06 21:29:42.334647,0
2026-03-06 21:29:42.334676,0
2026-03-06 21:29:42.334695,0
2026-03-06 21:29:42.334724,0
2026-03-06 21:29:42.334744,0
2026-03-06 21:29:42.443257,0
2026-03-06 21:29:42.443325,0
2026-03-06 21:29:42.443383,0
2026-03-06 21:29:42.443418,0
2026-03-06 21:29:42.443456,0
2026-03-06 21:29:42.443494,0
2026-03-06 21:29:42.443537,0
2026-03-06 21:29:42.443564,0
2026-03-06 21:29:42.443581,0
2026-03-06 21:29:42.552397,0
2026-03-06 21:29:42.552463,0
2026-03-06 21:29:42.552519,0
2026-03-06 21:29:42.552581,0
2026-03-06 21:29:42.552608,0
2026-03-06 21:29:42.552631,0
2026-03-06 21:29:42.552661,0
2026-03-06 21:29:42.552686,0
2026-03-06 21:29:42.552717,0
2026-03-06 21:29:42.661103,0
2026-03-06 21:29:42.661174,0
2026-03-06 21:29:42.661201,0
2026-03-06 21:29:42.661242,0
2026-03-06 21:29:42.661266,0
2026-03-06 21:29:42.661307,0
2026-03-06 21:29:42.661338,0
2026-03-06 21:29:42.661389,0
2026-03-06 21:29:42.66141,0
2026-03-06 21:29:42.770543,0
2026-03-06 21:29:42.770657,0
2026-03-06 21:29:42.77071,0
2026-03-06 21:29:42.770744,0
2026-03-06 21:29:42.770785,0
2026-03-06 21:29:42.770814,0
2026-03-06 21:29:42.770871,0
2026-03-06 21:29:42.770907,0
2026-03-06 21:29:42.770947,0
2026-03-06 21:29:42.879082,0
2026-03-06 21:29:42.879133,0
2026-03-06 21:29:42.879179,0
2026-03-06 21:29:42.879195,0
2026-03-06 21:29:42.879235,0
2026-03-06 21:29:42.879275,0
2026-03-06 21:29:42.879296,0
2026-03-06 21:29:42.879336,0
2026-03-06 21:29:42.879378,0
2026-03-06 21:29:42.98783,0
2026-03-06 21:29:42.987899,0
2026-03-06 21:29:42.987949,0
2026-03-06 21:29:42.987976,0
2026-03-06 21:29:42.987999,0
2026-03-06 21:29:42.988024,0
2026-03-06 21:29:42.988041,0
2026-03-06 21:29:42.988073,0
2026-03-06 21:29:42.988095,0
2026-03-06 21:29:43.097088,0
2026-03-06 21:29:43.097163,0
2026-03-06 21:29:43.097216,0
2026-03-06 21:29:43.097399,0
2026-03-06 21:29:43.097431,0
2026-03-06 21:29:43.097445,0
2026-03-06 21:29:43.097452,0
2026-03-06 21:29:43.09746,0
2026-03-06 21:29:43.097467,0
2026-03-06 21:29:43.206419,0
2026-03-06 21:29:43.206485,0
