time,ACT.GSE_LOX_Fill_Vent.status
2026-03-06 21:29:22.261035,0
2026-03-06 21:29:22.349175,0
2026-03-06 21:29:22.363443,0
2026-03-06 21:29:22.451619,0
2026-03-06 21:29:22.465126,0
2026-03-06 21:29:22.553384,0
2026-03-06 21:29:22.567403,0
2026-03-06 21:29:22.655701,0
2026-03-06 21:29:22.669197,0
2026-03-06 21:29:22.757202,0
2026-03-06 21:29:22.771502,0
2026-03-06 21:29:22.859374,0
2026-03-06 21:29:22.872509,0
2026-03-06 21:29:22.961597,0
2026-03-06 21:29:22.973943,0
2026-03-06 21:29:23.063407,0
2026-03-06 21:29:23.076093,0
2026-03-06 21:29:23.165583,0
2026-03-06 21:29:23.178276,0
2026-03-06 21:29:23.267512,0
2026-03-06 21:29:23.27984,0
2026-03-06 21:29:23.369226,0
2026-03-06 21:29:23.382384,0
2026-03-06 21:29:23.471484,0
2026-03-06 21:29:23.484308,0
2026-03-06 21:29:23.573445,0
2026-03-06 21:29:23.586289,0
2026-03-06 21:29:23.675246,0
2026-03-06 21:29:23.688356,0
2026-03-06 21:29:23.777508,0
2026-03-06 21:29:23.790347,0
2026-03-06 21:29:23.879562,0
2026-03-06 21:29:23.892423,0
2026-03-06 21:29:23.981222,0
2026-03-06 21:29:23.994043,0
2026-03-06 21:29:24.083407,0
2026-03-06 21:29:24.09624,0
2026-03-06 21:29:24.185392,0
2026-03-06 21:29:24.197912,0
2026-03-06 21:29:24.287845,0
2026-03-06 21:29:24.299828,0
2026-03-06 21:29:24.389225,0
2026-03-06 21:29:24.402096,0
2026-03-06 21:29:24.491549,0
2026-03-06 21:29:24.504099,0
2026-03-06 21:29:24.593324,0
2026-03-06 21:29:24.606329,0
2026-03-06 21:29:24.695629,0
2026-03-06 21:29:24.707936,0
2026-03-06 21:29:24.797335,0
2026-03-06 21:29:24.810273,0
2026-03-06 21:29:24.898997,0
2026-03-06 21:29:24.912122,0
2026-03-06 21:29:25.001614,0
2026-03-06 21:29:25.014025,0
2026-03-06 21:29:25.103677,0
2026-03-06 21:29:25.116298,0
2026-03-06 21:29:25.205465,0
2026-03-06 21:29:25.218146,0
2026-03-06 21:29:25.307229,0
2026-03-06 21:29:25.320388,0
2026-03-06 21:29:25.409494,0
2026-03-06 21:29:25.421807,0
2026-03-06 21:29:25.511117,0
2026-03-06 21:29:25.524551,0
2026-03-06 21:29:25.613129,0
2026-03-06 21:29:25.626141,0
2026-03-06 21:29:25.715262,0
2026-03-06 21:29:25.728127,0
2026-03-06 21:29:25.817474,0
2026-03-06 21:29:25.830205,0
2026-03-06 21:29:25.919509,0
2026-03-06 21:29:25.932326,0
2026-03-06 21:29:26.021432,0
2026-03-06 21:29:26.03406,0
2026-03-06 21:29:26.12359,0
2026-03-06 21:29:26.136367,0
2026-03-06 21:29:26.225508,0
2026-03-06 21:29:26.238254,0
2026-03-06 21:29:26.327393,0
2026-03-06 21:29:26.340371,0
2026-03-06 21:29:26.429382,0
2026-03-06 21:29:26.442302,0
2026-03-06 21:29:26.531577,0
2026-03-06 21:29:26.544303,0
2026-03-06 21:29:26.633627,0
2026-03-06 21:29:26.646067,0
2026-03-06 21:29:26.735671,0
2026-03-06 21:29:26.748086,0
2026-03-06 21:29:26.837375,0
2026-03-06 21:29:26.850037,0
2026-03-06 21:29:26.939253,0
2026-03-06 21:29:26.952416,0
2026-03-06 21:29:27.04185,0
2026-03-06 21:29:27.053884,0
2026-03-06 21:29:27.14378,0
2026-03-06 21:29:27.155942,0
2026-03-06 21:29:27.245693,0
2026-03-06 21:29:27.258273,0
2026-03-06 21:29:27.347392,0
2026-03-06 21:29:27.360504,0
2026-03-06 21:29:27.449705,0
2026-03-06 21:29:27.462061,0
2026-03-06 21:29:27.55134,0
2026-03-06 21:29:27.563867,0
2026-03-06 21:29:27.653336,0
2026-03-06 21:29:27.66607,0
2026-03-06 21:29:27.755341,0
2026-03-06 21:29:27.768011,0
2026-03-06 21:29:27.857213,0
2026-03-06 21:29:27.870338,0
2026-03-06 21:29:27.95938,0
2026-03-06 21:29:27.971901,0
2026-03-06 21:29:28.061634,0
2026-03-06 21:29:28.074304,0
2026-03-06 21:29:28.16351,0
2026-03-06 21:29:28.176417,0
2026-03-06 21:29:28.265246,0
2026-03-06 21:29:28.277959,0
2026-03-06 21:29:28.367398,0
2026-03-06 21:29:28.380236,0
2026-03-06 21:29:28.469705,0
2026-03-06 21:29:28.482285,0
2026-03-06 21:29:28.571646,0
2026-03-06 21:29:28.584168,0
2026-03-06 21:29:28.673454,0
2026-03-06 21:29:28.685872,0
2026-03-06 21:29:28.775446,0
2026-03-06 21:29:28.78802,0
2026-03-06 21:29:28.877123,0
2026-03-06 21:29:28.890087,0
2026-03-06 21:29:28.979668,0
2026-03-06 21:29:28.992191,0
2026-03-06 21:29:29.081424,0
2026-03-06 21:29:29.094026,0
2026-03-06 21:29:29.183604,0
2026-03-06 21:29:29.195996,0
2026-03-06 21:29:29.285216,0
2026-03-06 21:29:29.298384,0
2026-03-06 21:29:29.387537,0
2026-03-06 21:29:29.400187,0
2026-03-06 21:29:29.489349,0
