time,ACT.Fuel_Fill_Press.raw_adc_counts
2026-03-06 21:27:14.747121,1036822116
2026-03-06 21:27:14.782486,0
2026-03-06 21:27:14.84873,1036822116
2026-03-06 21:27:14.884188,0
2026-03-06 21:27:14.950618,1036930277
2026-03-06 21:27:14.986049,0
2026-03-06 21:27:15.052656,1036930277
2026-03-06 21:27:15.088439,0
2026-03-06 21:27:15.154682,1036930277
2026-03-06 21:27:15.190324,0
2026-03-06 21:27:15.256775,1037579242
2026-03-06 21:27:15.292209,0
2026-03-06 21:27:15.358607,1036713955
2026-03-06 21:27:15.394135,0
2026-03-06 21:27:15.460773,1036930277
2026-03-06 21:27:15.496194,0
2026-03-06 21:27:15.562644,1036930277
2026-03-06 21:27:15.597754,0
2026-03-06 21:27:15.664436,1036930277
2026-03-06 21:27:15.700181,0
2026-03-06 21:27:15.766912,1036930277
2026-03-06 21:27:15.802264,0
2026-03-06 21:27:15.869261,1036930277
2026-03-06 21:27:15.903956,0
2026-03-06 21:27:15.970795,1037146598
2026-03-06 21:27:16.006396,0
2026-03-06 21:27:16.072584,1036930277
2026-03-06 21:27:16.108494,0
2026-03-06 21:27:16.174785,1036930277
2026-03-06 21:27:16.21064,0
2026-03-06 21:27:16.277184,1037795564
2026-03-06 21:27:16.312575,0
2026-03-06 21:27:16.378648,1036930277
2026-03-06 21:27:16.413965,0
2026-03-06 21:27:16.480579,1036930277
2026-03-06 21:27:16.516148,0
2026-03-06 21:27:16.582793,1036930277
2026-03-06 21:27:16.618038,0
2026-03-06 21:27:16.685086,1036822116
2026-03-06 21:27:16.720205,0
2026-03-06 21:27:16.786774,1036930277
2026-03-06 21:27:16.822093,0
2026-03-06 21:27:16.889128,1036930277
2026-03-06 21:27:16.924192,0
2026-03-06 21:27:16.990901,1036822116
2026-03-06 21:27:17.025897,0
2026-03-06 21:27:17.092996,1037038437
2026-03-06 21:27:17.128187,0
2026-03-06 21:27:17.194602,1036713955
2026-03-06 21:27:17.230067,0
2026-03-06 21:27:17.296806,1036930277
2026-03-06 21:27:17.332177,0
2026-03-06 21:27:17.398595,1036713955
2026-03-06 21:27:17.434066,0
2026-03-06 21:27:17.50096,1036930277
2026-03-06 21:27:17.536142,0
2026-03-06 21:27:17.602957,1036605794
2026-03-06 21:27:17.638148,0
2026-03-06 21:27:17.704973,1036713955
2026-03-06 21:27:17.740376,0
2026-03-06 21:27:17.80714,1036930277
2026-03-06 21:27:17.841992,0
2026-03-06 21:27:17.90901,1036822116
2026-03-06 21:27:17.944236,0
2026-03-06 21:27:18.011035,1036713955
2026-03-06 21:27:18.046031,0
2026-03-06 21:27:18.113069,1037038437
2026-03-06 21:27:18.148376,0
2026-03-06 21:27:18.21499,1036930277
2026-03-06 21:27:18.250383,0
2026-03-06 21:27:18.317097,1037146598
2026-03-06 21:27:18.351013,0
2026-03-06 21:27:18.418663,1036930277
2026-03-06 21:27:18.453194,0
2026-03-06 21:27:18.520921,1036930277
2026-03-06 21:27:18.555197,0
2026-03-06 21:27:18.622789,1036930277
2026-03-06 21:27:18.657136,0
2026-03-06 21:27:18.724866,1036930277
2026-03-06 21:27:18.758995,0
2026-03-06 21:27:18.826595,1036930277
2026-03-06 21:27:18.860864,0
2026-03-06 21:27:18.928848,1037038437
2026-03-06 21:27:18.962893,0
2026-03-06 21:27:19.030719,1036930277
2026-03-06 21:27:19.065138,0
2026-03-06 21:27:19.132757,1036930277
2026-03-06 21:27:19.166797,0
2026-03-06 21:27:19.234619,1037038437
2026-03-06 21:27:19.269306,0
2026-03-06 21:27:19.337327,1037146598
2026-03-06 21:27:19.371126,0
2026-03-06 21:27:19.438854,1036822116
2026-03-06 21:27:19.473371,0
2026-03-06 21:27:19.540636,1036930277
2026-03-06 21:27:19.575392,0
2026-03-06 21:27:19.64295,1036930277
2026-03-06 21:27:19.677441,0
2026-03-06 21:27:19.744636,1037038437
2026-03-06 21:27:19.77919,0
2026-03-06 21:27:19.846944,1036930277
2026-03-06 21:27:19.88147,0
2026-03-06 21:27:19.949018,1036822116
2026-03-06 21:27:19.98296,0
2026-03-06 21:27:20.051009,1036930277
2026-03-06 21:27:20.085488,0
2026-03-06 21:27:20.152886,1036930277
2026-03-06 21:27:20.187503,0
2026-03-06 21:27:20.255302,1037146598
2026-03-06 21:27:20.289249,0
2026-03-06 21:27:20.356796,1036930277
2026-03-06 21:27:20.391305,0
2026-03-06 21:27:20.458677,1037038437
2026-03-06 21:27:20.493108,0
2026-03-06 21:27:20.560912,1036930277
2026-03-06 21:27:20.596365,0
2026-03-06 21:27:20.66337,1036930277
2026-03-06 21:27:20.697547,0
2026-03-06 21:27:20.764672,1036713955
2026-03-06 21:27:20.798964,0
2026-03-06 21:27:20.866653,1036930277
2026-03-06 21:27:20.900907,0
2026-03-06 21:27:20.968578,1036930277
2026-03-06 21:27:21.002934,0
