time,PT_Cal.Fuel_Upstream.pressure_psi
2026-03-06 21:35:00.187921,7.485829
2026-03-06 21:35:00.296535,7.5150733
2026-03-06 21:35:00.296819,7.397337
2026-03-06 21:35:00.297081,0.2592945
2026-03-06 21:35:00.297378,7.398856
2026-03-06 21:35:00.297848,7.469498
2026-03-06 21:35:00.405357,7.328973
2026-03-06 21:35:00.405625,0.25896412
2026-03-06 21:35:00.405722,7.4262023
2026-03-06 21:35:00.406002,7.4265814
2026-03-06 21:35:00.514251,7.5435576
2026-03-06 21:35:00.514513,0.25934505
2026-03-06 21:35:00.514552,7.4786134
2026-03-06 21:35:00.515084,7.562547
2026-03-06 21:35:00.62361,7.709903
2026-03-06 21:35:00.623935,7.499122
2026-03-06 21:35:00.624245,7.459244
2026-03-06 21:35:00.624293,0.2596404
2026-03-06 21:35:00.732372,7.448989
2026-03-06 21:35:00.732602,7.3399878
2026-03-06 21:35:00.732827,7.820796
2026-03-06 21:35:00.732948,0.25917718
2026-03-06 21:35:00.733058,7.416327
2026-03-06 21:35:00.841968,7.5082374
2026-03-06 21:35:00.842352,7.759653
2026-03-06 21:35:00.842785,7.481272
2026-03-06 21:35:00.844219,0.25928235
2026-03-06 21:35:00.950448,7.7364874
2026-03-06 21:35:00.950591,0.25968757
2026-03-06 21:35:00.950739,7.472537
2026-03-06 21:35:00.951029,7.4831715
2026-03-06 21:35:00.951299,7.5393796
2026-03-06 21:35:01.059595,7.4676
2026-03-06 21:35:01.05974,0.25921023
2026-03-06 21:35:01.059937,7.4360766
2026-03-06 21:35:01.060571,7.459624
2026-03-06 21:35:01.060964,7.401135
2026-03-06 21:35:01.168663,7.4311395
2026-03-06 21:35:01.168783,0.2591455
2026-03-06 21:35:01.168929,7.4824114
2026-03-06 21:35:01.169058,7.4729166
2026-03-06 21:35:01.169564,7.5200105
2026-03-06 21:35:01.27763,7.5124145
2026-03-06 21:35:01.277682,0.25928977
2026-03-06 21:35:01.277883,7.4364557
2026-03-06 21:35:01.278344,7.498362
2026-03-06 21:35:01.386667,7.8299108
2026-03-06 21:35:01.387146,0.25985345
2026-03-06 21:35:01.387248,7.543178
2026-03-06 21:35:01.387741,7.496844
2026-03-06 21:35:01.388296,7.305045
2026-03-06 21:35:01.49543,7.469498
2026-03-06 21:35:01.49572,7.897509
2026-03-06 21:35:01.496218,0.2592136
2026-03-06 21:35:01.496245,7.7421837
2026-03-06 21:35:01.496853,7.4364557
2026-03-06 21:35:01.497176,7.4474707
2026-03-06 21:35:01.604657,6.084596
2026-03-06 21:35:01.605333,0.25675532
2026-03-06 21:35:01.605364,7.501781
2026-03-06 21:35:01.606115,7.7573743
2026-03-06 21:35:01.606869,7.515453
2026-03-06 21:35:01.607921,7.524948
2026-03-06 21:35:01.713526,7.437216
2026-03-06 21:35:01.71412,7.406832
2026-03-06 21:35:01.714249,0.2591563
2026-03-06 21:35:01.714567,7.4584846
2026-03-06 21:35:01.715268,7.4197454
2026-03-06 21:35:01.715943,7.5169725
2026-03-06 21:35:01.82263,7.5697627
2026-03-06 21:35:01.822889,7.4998813
2026-03-06 21:35:01.823087,7.4657
2026-03-06 21:35:01.823199,0.25939158
2026-03-06 21:35:01.823371,7.0194244
2026-03-06 21:35:01.931269,7.530265
2026-03-06 21:35:01.931623,7.7725654
2026-03-06 21:35:01.931944,0.25932148
2026-03-06 21:35:01.932271,7.7380056
2026-03-06 21:35:02.040605,7.4729166
2026-03-06 21:35:02.040893,7.4808917
2026-03-06 21:35:02.04117,7.518871
2026-03-06 21:35:02.041288,0.25921965
2026-03-06 21:35:02.041481,7.486969
2026-03-06 21:35:02.149767,7.556471
2026-03-06 21:35:02.149971,7.5116553
2026-03-06 21:35:02.150174,7.440254
2026-03-06 21:35:02.150399,7.491906
2026-03-06 21:35:02.150587,0.259368
2026-03-06 21:35:02.15065,7.5135546
2026-03-06 21:35:02.258539,7.44823
2026-03-06 21:35:02.258833,7.457725
2026-03-06 21:35:02.259124,7.440634
2026-03-06 21:35:02.25919,0.25917584
2026-03-06 21:35:02.259446,7.327074
2026-03-06 21:35:02.367716,7.4729166
2026-03-06 21:35:02.367961,7.5082374
2026-03-06 21:35:02.368298,7.460383
2026-03-06 21:35:02.368412,0.25921965
2026-03-06 21:35:02.368806,7.791174
2026-03-06 21:35:02.476551,7.909662
2026-03-06 21:35:02.476715,0.25999504
2026-03-06 21:35:02.476799,7.841684
2026-03-06 21:35:02.477052,7.4987426
2026-03-06 21:35:02.585619,7.4877286
2026-03-06 21:35:02.586353,0.25924596
2026-03-06 21:35:02.586367,7.7611723
2026-03-06 21:35:02.586695,7.493425
2026-03-06 21:35:02.587048,7.5200105
2026-03-06 21:35:02.58747,7.5454564
2026-03-06 21:35:02.694152,7.4520273
2026-03-06 21:35:02.694315,7.388602
2026-03-06 21:35:02.694366,7.4121494
2026-03-06 21:35:02.69457,7.578498
2026-03-06 21:35:02.694651,0.25918257
2026-03-06 21:35:02.69489,7.1379285
2026-03-06 21:35:02.803165,7.4740562
