time,ACT.GSE_High_Press_Vent.timestamp_ns
2026-03-06 21:17:23.651978,1772831843651733277
2026-03-06 21:17:23.651991,1772831843651733277
2026-03-06 21:17:23.69593,1772831843695722074
2026-03-06 21:17:23.695945,1772831843695722074
2026-03-06 21:17:23.754078,1772831843753672057
2026-03-06 21:17:23.754118,1772831843753672057
2026-03-06 21:17:23.797599,1772831843797419028
2026-03-06 21:17:23.797612,1772831843797419028
2026-03-06 21:17:23.856154,1772831843855896821
2026-03-06 21:17:23.856182,1772831843855896821
2026-03-06 21:17:23.899633,1772831843899348143
2026-03-06 21:17:23.899654,1772831843899348143
2026-03-06 21:17:23.957903,1772831843957644302
2026-03-06 21:17:23.957922,1772831843957644302
2026-03-06 21:17:24.002308,1772831844001813104
2026-03-06 21:17:24.002323,1772831844001813104
2026-03-06 21:17:24.059774,1772831844059365205
2026-03-06 21:17:24.059799,1772831844059365205
2026-03-06 21:17:24.104024,1772831844103765140
2026-03-06 21:17:24.104051,1772831844103765140
2026-03-06 21:17:24.161775,1772831844161530471
2026-03-06 21:17:24.161798,1772831844161530471
2026-03-06 21:17:24.205902,1772831844205594431
2026-03-06 21:17:24.205931,1772831844205594431
2026-03-06 21:17:24.263794,1772831844263445866
2026-03-06 21:17:24.263831,1772831844263445866
2026-03-06 21:17:24.307723,1772831844307523247
2026-03-06 21:17:24.307742,1772831844307523247
2026-03-06 21:17:24.366223,1772831844365793724
2026-03-06 21:17:24.36626,1772831844365793724
2026-03-06 21:17:24.410172,1772831844409811487
2026-03-06 21:17:24.410197,1772831844409811487
2026-03-06 21:17:24.468543,1772831844468046410
2026-03-06 21:17:24.468572,1772831844468046410
2026-03-06 21:17:24.511724,1772831844511456596
2026-03-06 21:17:24.511749,1772831844511456596
2026-03-06 21:17:24.569763,1772831844569399543
2026-03-06 21:17:24.569795,1772831844569399543
2026-03-06 21:17:24.613842,1772831844613557049
2026-03-06 21:17:24.613856,1772831844613557049
2026-03-06 21:17:24.671781,1772831844671553159
2026-03-06 21:17:24.671795,1772831844671553159
2026-03-06 21:17:24.71594,1772831844715674937
2026-03-06 21:17:24.715954,1772831844715674937
2026-03-06 21:17:24.774121,1772831844773866056
2026-03-06 21:17:24.774139,1772831844773866056
2026-03-06 21:17:24.819086,1772831844817938250
2026-03-06 21:17:24.819106,1772831844817938250
2026-03-06 21:17:24.875648,1772831844875426738
2026-03-06 21:17:24.875668,1772831844875426738
2026-03-06 21:17:24.919942,1772831844919566272
2026-03-06 21:17:24.919982,1772831844919566272
2026-03-06 21:17:24.978009,1772831844977695366
2026-03-06 21:17:24.978035,1772831844977695366
2026-03-06 21:17:25.021964,1772831845021777505
2026-03-06 21:17:25.021981,1772831845021777505
2026-03-06 21:17:25.079765,1772831845079537634
2026-03-06 21:17:25.079779,1772831845079537634
2026-03-06 21:17:25.124079,1772831845123798488
2026-03-06 21:17:25.124096,1772831845123798488
2026-03-06 21:17:25.182046,1772831845181788932
2026-03-06 21:17:25.182064,1772831845181788932
2026-03-06 21:17:25.226008,1772831845225703492
2026-03-06 21:17:25.22603,1772831845225703492
2026-03-06 21:17:25.284126,1772831845283688413
2026-03-06 21:17:25.284155,1772831845283688413
2026-03-06 21:17:25.327512,1772831845327360028
2026-03-06 21:17:25.327524,1772831845327360028
2026-03-06 21:17:25.385554,1772831845385364429
2026-03-06 21:17:25.385567,1772831845385364429
2026-03-06 21:17:25.430117,1772831845429668253
2026-03-06 21:17:25.430151,1772831845429668253
2026-03-06 21:17:25.487816,1772831845487448123
2026-03-06 21:17:25.487849,1772831845487448123
2026-03-06 21:17:25.531885,1772831845531595989
2026-03-06 21:17:25.531911,1772831845531595989
2026-03-06 21:17:25.5903,1772831845589821268
2026-03-06 21:17:25.590343,1772831845589821268
2026-03-06 21:17:25.634355,1772831845633546188
2026-03-06 21:17:25.634392,1772831845633546188
2026-03-06 21:17:25.692084,1772831845691725612
2026-03-06 21:17:25.692116,1772831845691725612
2026-03-06 21:17:25.736299,1772831845735845186
2026-03-06 21:17:25.736331,1772831845735845186
2026-03-06 21:17:25.794055,1772831845793774426
2026-03-06 21:17:25.794079,1772831845793774426
2026-03-06 21:17:25.8383,1772831845837839244
2026-03-06 21:17:25.838333,1772831845837839244
2026-03-06 21:17:25.895772,1772831845895387771
2026-03-06 21:17:25.895802,1772831845895387771
2026-03-06 21:17:25.939906,1772831845939582122
2026-03-06 21:17:25.939935,1772831845939582122
2026-03-06 21:17:25.997805,1772831845997544092
2026-03-06 21:17:25.997828,1772831845997544092
2026-03-06 21:17:26.042038,1772831846041803281
2026-03-06 21:17:26.042063,1772831846041803281
2026-03-06 21:17:26.100125,1772831846099761513
2026-03-06 21:17:26.100166,1772831846099761513
2026-03-06 21:17:26.14391,1772831846143730316
2026-03-06 21:17:26.143929,1772831846143730316
2026-03-06 21:17:26.202054,1772831846201683449
2026-03-06 21:17:26.202073,1772831846201683449
2026-03-06 21:17:26.24563,1772831846245429293
2026-03-06 21:17:26.245646,1772831846245429293
2026-03-06 21:17:26.304035,1772831846303702984
2026-03-06 21:17:26.304063,1772831846303702984
2026-03-06 21:17:26.348127,1772831846347723242
2026-03-06 21:17:26.348177,1772831846347723242
2026-03-06 21:17:26.406437,1772831846405937291
2026-03-06 21:17:26.406471,1772831846405937291
2026-03-06 21:17:26.44977,1772831846449578888
2026-03-06 21:17:26.449791,1772831846449578888
2026-03-06 21:17:26.507817,1772831846507466776
2026-03-06 21:17:26.507851,1772831846507466776
2026-03-06 21:17:26.551798,1772831846551549128
2026-03-06 21:17:26.551826,1772831846551549128
2026-03-06 21:17:26.610509,1772831846610070660
2026-03-06 21:17:26.610538,1772831846610070660
2026-03-06 21:17:26.653756,1772831846653502644
2026-03-06 21:17:26.653777,1772831846653502644
2026-03-06 21:17:26.711966,1772831846711734816
2026-03-06 21:17:26.711998,1772831846711734816
2026-03-06 21:17:26.755969,1772831846755626263
2026-03-06 21:17:26.755998,1772831846755626263
2026-03-06 21:17:26.813909,1772831846813584186
2026-03-06 21:17:26.813935,1772831846813584186
2026-03-06 21:17:26.857799,1772831846857547244
2026-03-06 21:17:26.857812,1772831846857547244
2026-03-06 21:17:26.915805,1772831846915602157
2026-03-06 21:17:26.915823,1772831846915602157
2026-03-06 21:17:26.959878,1772831846959682821
2026-03-06 21:17:26.959898,1772831846959682821
2026-03-06 21:17:27.017741,1772831847017598699
2026-03-06 21:17:27.017752,1772831847017598699
2026-03-06 21:17:27.061794,1772831847061651750
2026-03-06 21:17:27.061809,1772831847061651750
2026-03-06 21:17:27.119585,1772831847119399789
2026-03-06 21:17:27.1196,1772831847119399789
2026-03-06 21:17:27.164277,1772831847163967906
2026-03-06 21:17:27.164296,1772831847163967906
2026-03-06 21:17:27.222344,1772831847222117178
2026-03-06 21:17:27.222359,1772831847222117178
2026-03-06 21:17:27.265927,1772831847265636976
2026-03-06 21:17:27.265948,1772831847265636976
2026-03-06 21:17:27.323719,1772831847323559388
2026-03-06 21:17:27.32373,1772831847323559388
2026-03-06 21:17:27.368134,1772831847367875186
2026-03-06 21:17:27.368149,1772831847367875186
2026-03-06 21:17:27.425941,1772831847425701909
2026-03-06 21:17:27.425956,1772831847425701909
2026-03-06 21:17:27.469835,1772831847469596592
2026-03-06 21:17:27.469854,1772831847469596592
2026-03-06 21:17:27.527758,1772831847527542313
2026-03-06 21:17:27.527782,1772831847527542313
2026-03-06 21:17:27.571959,1772831847571705650
2026-03-06 21:17:27.57198,1772831847571705650
2026-03-06 21:17:27.629924,1772831847629543961
2026-03-06 21:17:27.62996,1772831847629543961
2026-03-06 21:17:27.674099,1772831847673654525
2026-03-06 21:17:27.674124,1772831847673654525
2026-03-06 21:17:27.731845,1772831847731616810
2026-03-06 21:17:27.731873,1772831847731616810
2026-03-06 21:17:27.776751,1772831847775461994
2026-03-06 21:17:27.776778,1772831847775461994
2026-03-06 21:17:27.834071,1772831847833697140
2026-03-06 21:17:27.834104,1772831847833697140
2026-03-06 21:17:27.87783,1772831847877465492
2026-03-06 21:17:27.877856,1772831847877465492
2026-03-06 21:17:27.936352,1772831847935755887
2026-03-06 21:17:27.936368,1772831847935755887
2026-03-06 21:17:27.980286,1772831847979917216
2026-03-06 21:17:27.98032,1772831847979917216
2026-03-06 21:17:28.038088,1772831848037660907
2026-03-06 21:17:28.038121,1772831848037660907
2026-03-06 21:17:28.081982,1772831848081751825
2026-03-06 21:17:28.081999,1772831848081751825
2026-03-06 21:17:28.140429,1772831848139961614
2026-03-06 21:17:28.140457,1772831848139961614
2026-03-06 21:17:28.183736,1772831848183458274
2026-03-06 21:17:28.18376,1772831848183458274
2026-03-06 21:17:28.242226,1772831848241913390
2026-03-06 21:17:28.242242,1772831848241913390
2026-03-06 21:17:28.285832,1772831848285497985
2026-03-06 21:17:28.285858,1772831848285497985
2026-03-06 21:17:28.344266,1772831848343901165
2026-03-06 21:17:28.34429,1772831848343901165
2026-03-06 21:17:28.387908,1772831848387559986
2026-03-06 21:17:28.387929,1772831848387559986
2026-03-06 21:17:28.445656,1772831848445466589
2026-03-06 21:17:28.445673,1772831848445466589
2026-03-06 21:17:28.490014,1772831848489751402
2026-03-06 21:17:28.490033,1772831848489751402
2026-03-06 21:17:28.54785,1772831848547656560
2026-03-06 21:17:28.547865,1772831848547656560
2026-03-06 21:17:28.592255,1772831848591930046
2026-03-06 21:17:28.592282,1772831848591930046
2026-03-06 21:17:28.650072,1772831848649814484
2026-03-06 21:17:28.650088,1772831848649814484
