time,ACT.Fuel_Fill_Vent.status
2026-03-06 21:16:44.584517,0
2026-03-06 21:16:44.62987,0
2026-03-06 21:16:44.686318,0
2026-03-06 21:16:44.731076,0
2026-03-06 21:16:44.788188,0
2026-03-06 21:16:44.833325,0
2026-03-06 21:16:44.891338,0
2026-03-06 21:16:44.935185,0
2026-03-06 21:16:44.993322,0
2026-03-06 21:16:45.037678,0
2026-03-06 21:16:45.095523,0
2026-03-06 21:16:45.139378,0
2026-03-06 21:16:45.197446,0
2026-03-06 21:16:45.241855,0
2026-03-06 21:16:45.300138,0
2026-03-06 21:16:45.343475,0
2026-03-06 21:16:45.401705,0
2026-03-06 21:16:45.445552,0
2026-03-06 21:16:45.503499,0
2026-03-06 21:16:45.547445,0
2026-03-06 21:16:45.605101,0
2026-03-06 21:16:45.649319,0
2026-03-06 21:16:45.707237,0
2026-03-06 21:16:45.751154,0
2026-03-06 21:16:45.809218,0
2026-03-06 21:16:45.853575,0
2026-03-06 21:16:45.911041,0
2026-03-06 21:16:45.955673,0
2026-03-06 21:16:46.013102,0
2026-03-06 21:16:46.058486,0
2026-03-06 21:16:46.115106,0
2026-03-06 21:16:46.159362,0
2026-03-06 21:16:46.21708,0
2026-03-06 21:16:46.261603,0
2026-03-06 21:16:46.319412,0
2026-03-06 21:16:46.363685,0
2026-03-06 21:16:46.421409,0
2026-03-06 21:16:46.465741,0
2026-03-06 21:16:46.523312,0
2026-03-06 21:16:46.567672,0
2026-03-06 21:16:46.625004,0
2026-03-06 21:16:46.669718,0
2026-03-06 21:16:46.727232,0
2026-03-06 21:16:46.771575,0
2026-03-06 21:16:46.829348,0
2026-03-06 21:16:46.873264,0
2026-03-06 21:16:46.9315,0
2026-03-06 21:16:46.975359,0
2026-03-06 21:16:47.033181,0
2026-03-06 21:16:47.077527,0
2026-03-06 21:16:47.135377,0
2026-03-06 21:16:47.179357,0
2026-03-06 21:16:47.237208,0
2026-03-06 21:16:47.281842,0
2026-03-06 21:16:47.339462,0
2026-03-06 21:16:47.383486,0
2026-03-06 21:16:47.441512,0
2026-03-06 21:16:47.485407,0
2026-03-06 21:16:47.543491,0
2026-03-06 21:16:47.587251,0
2026-03-06 21:16:47.645548,0
2026-03-06 21:16:47.68945,0
