time,PT_Cal.GN2_Regulated.cal_status
2026-03-06 21:23:59.090821,1
2026-03-06 21:23:59.090881,1
2026-03-06 21:23:59.090934,1
2026-03-06 21:23:59.090995,1
2026-03-06 21:23:59.091055,1
2026-03-06 21:23:59.091111,1
2026-03-06 21:23:59.091169,1
2026-03-06 21:23:59.091231,0
2026-03-06 21:23:59.091236,1
2026-03-06 21:23:59.199766,1
2026-03-06 21:23:59.199841,1
2026-03-06 21:23:59.199871,1
2026-03-06 21:23:59.200512,0
2026-03-06 21:23:59.308926,1
2026-03-06 21:23:59.309,1
2026-03-06 21:23:59.309086,1
2026-03-06 21:23:59.309259,1
2026-03-06 21:23:59.309405,1
2026-03-06 21:23:59.309473,0
2026-03-06 21:23:59.309504,1
2026-03-06 21:23:59.309581,1
2026-03-06 21:23:59.309689,1
2026-03-06 21:23:59.417235,1
2026-03-06 21:23:59.417303,1
2026-03-06 21:23:59.417347,1
2026-03-06 21:23:59.417455,1
2026-03-06 21:23:59.417744,0
2026-03-06 21:23:59.526397,1
2026-03-06 21:23:59.526456,1
2026-03-06 21:23:59.526512,1
2026-03-06 21:23:59.526594,1
2026-03-06 21:23:59.526681,1
2026-03-06 21:23:59.526765,0
2026-03-06 21:23:59.635134,1
2026-03-06 21:23:59.635217,1
2026-03-06 21:23:59.635269,1
2026-03-06 21:23:59.635368,1
2026-03-06 21:23:59.635492,1
2026-03-06 21:23:59.635621,0
2026-03-06 21:23:59.744745,1
2026-03-06 21:23:59.744818,1
2026-03-06 21:23:59.744879,1
2026-03-06 21:23:59.744939,1
2026-03-06 21:23:59.745023,1
2026-03-06 21:23:59.745061,0
2026-03-06 21:23:59.745079,1
2026-03-06 21:23:59.8548,1
2026-03-06 21:23:59.854889,1
2026-03-06 21:23:59.854911,1
2026-03-06 21:23:59.855179,1
2026-03-06 21:23:59.85524,0
2026-03-06 21:23:59.855256,1
2026-03-06 21:23:59.855493,1
2026-03-06 21:23:59.855543,1
2026-03-06 21:23:59.855614,1
2026-03-06 21:23:59.855994,1
2026-03-06 21:23:59.962509,1
2026-03-06 21:23:59.962583,1
2026-03-06 21:23:59.962647,1
2026-03-06 21:23:59.962706,1
2026-03-06 21:23:59.962741,1
2026-03-06 21:23:59.962794,1
2026-03-06 21:23:59.96285,1
2026-03-06 21:23:59.962894,0
2026-03-06 21:24:00.071425,1
2026-03-06 21:24:00.071694,1
2026-03-06 21:24:00.071829,1
2026-03-06 21:24:00.071946,0
2026-03-06 21:24:00.072128,1
2026-03-06 21:24:00.180373,1
2026-03-06 21:24:00.180431,1
2026-03-06 21:24:00.180513,1
2026-03-06 21:24:00.180624,1
2026-03-06 21:24:00.180759,1
2026-03-06 21:24:00.180794,0
2026-03-06 21:24:00.28954,1
2026-03-06 21:24:00.289602,1
2026-03-06 21:24:00.289659,1
2026-03-06 21:24:00.289749,1
2026-03-06 21:24:00.28989,0
2026-03-06 21:24:00.398494,1
2026-03-06 21:24:00.39869,0
2026-03-06 21:24:00.398707,1
2026-03-06 21:24:00.398917,1
2026-03-06 21:24:00.399012,1
2026-03-06 21:24:00.507135,1
2026-03-06 21:24:00.507229,1
2026-03-06 21:24:00.50726,1
2026-03-06 21:24:00.507289,1
2026-03-06 21:24:00.507317,1
2026-03-06 21:24:00.507357,1
2026-03-06 21:24:00.507497,1
2026-03-06 21:24:00.507749,0
2026-03-06 21:24:00.616703,1
2026-03-06 21:24:00.616829,1
2026-03-06 21:24:00.616972,1
2026-03-06 21:24:00.617093,1
2026-03-06 21:24:00.617197,1
2026-03-06 21:24:00.617386,0
2026-03-06 21:24:00.725384,1
2026-03-06 21:24:00.725471,1
2026-03-06 21:24:00.725512,1
2026-03-06 21:24:00.725565,1
2026-03-06 21:24:00.725633,1
2026-03-06 21:24:00.726079,0
2026-03-06 21:24:00.834426,1
2026-03-06 21:24:00.834491,1
2026-03-06 21:24:00.834551,1
2026-03-06 21:24:00.834613,1
2026-03-06 21:24:00.834671,1
2026-03-06 21:24:00.834735,1
2026-03-06 21:24:00.835384,0
2026-03-06 21:24:00.943329,1
2026-03-06 21:24:00.943387,1
2026-03-06 21:24:00.943419,1
2026-03-06 21:24:00.943482,1
2026-03-06 21:24:00.94356,1
2026-03-06 21:24:00.943658,1
2026-03-06 21:24:00.943988,0
2026-03-06 21:24:01.052254,1
2026-03-06 21:24:01.052325,1
2026-03-06 21:24:01.052354,1
2026-03-06 21:24:01.052416,1
2026-03-06 21:24:01.052477,1
2026-03-06 21:24:01.052629,0
2026-03-06 21:24:01.161109,1
2026-03-06 21:24:01.161413,1
2026-03-06 21:24:01.161558,1
2026-03-06 21:24:01.161571,0
2026-03-06 21:24:01.161765,1
2026-03-06 21:24:01.270641,1
2026-03-06 21:24:01.270722,1
2026-03-06 21:24:01.270783,1
2026-03-06 21:24:01.270811,1
2026-03-06 21:24:01.270871,1
2026-03-06 21:24:01.271118,0
2026-03-06 21:24:01.379244,1
2026-03-06 21:24:01.379513,1
2026-03-06 21:24:01.379594,1
2026-03-06 21:24:01.379679,1
2026-03-06 21:24:01.379807,0
2026-03-06 21:24:01.379834,1
2026-03-06 21:24:01.380016,1
2026-03-06 21:24:01.380265,1
2026-03-06 21:24:01.488568,1
2026-03-06 21:24:01.488618,1
2026-03-06 21:24:01.48869,1
2026-03-06 21:24:01.488759,1
2026-03-06 21:24:01.488797,0
2026-03-06 21:24:01.488851,1
2026-03-06 21:24:01.489004,1
2026-03-06 21:24:01.597929,1
2026-03-06 21:24:01.598003,1
2026-03-06 21:24:01.598093,1
2026-03-06 21:24:01.598291,1
2026-03-06 21:24:01.598604,0
2026-03-06 21:24:01.598906,1
2026-03-06 21:24:01.598986,1
2026-03-06 21:24:01.706616,1
2026-03-06 21:24:01.706971,0
2026-03-06 21:24:01.706996,1
2026-03-06 21:24:01.707235,1
2026-03-06 21:24:01.707599,1
2026-03-06 21:24:01.70812,1
2026-03-06 21:24:01.815603,1
2026-03-06 21:24:01.815697,1
2026-03-06 21:24:01.815749,1
2026-03-06 21:24:01.81581,1
2026-03-06 21:24:01.815845,1
2026-03-06 21:24:01.815915,1
2026-03-06 21:24:01.815981,1
2026-03-06 21:24:01.816038,0
2026-03-06 21:24:01.924635,1
2026-03-06 21:24:01.924735,1
2026-03-06 21:24:01.924789,1
2026-03-06 21:24:01.92484,1
2026-03-06 21:24:01.924894,1
2026-03-06 21:24:01.925068,0
2026-03-06 21:24:02.033596,1
2026-03-06 21:24:02.033836,1
2026-03-06 21:24:02.033945,1
2026-03-06 21:24:02.034116,1
2026-03-06 21:24:02.034363,1
2026-03-06 21:24:02.034628,1
2026-03-06 21:24:02.03467,0
2026-03-06 21:24:02.142236,1
2026-03-06 21:24:02.142319,1
2026-03-06 21:24:02.142467,1
2026-03-06 21:24:02.142572,0
2026-03-06 21:24:02.142787,1
2026-03-06 21:24:02.142865,1
2026-03-06 21:24:02.142975,1
2026-03-06 21:24:02.14313,1
2026-03-06 21:24:02.251254,1
2026-03-06 21:24:02.251338,1
2026-03-06 21:24:02.251409,1
2026-03-06 21:24:02.251489,1
2026-03-06 21:24:02.251565,1
2026-03-06 21:24:02.25165,1
2026-03-06 21:24:02.25167,0
2026-03-06 21:24:02.360601,1
2026-03-06 21:24:02.360646,1
2026-03-06 21:24:02.360726,1
2026-03-06 21:24:02.360802,1
2026-03-06 21:24:02.360881,1
2026-03-06 21:24:02.360956,1
2026-03-06 21:24:02.361041,1
2026-03-06 21:24:02.361628,0
2026-03-06 21:24:02.469362,1
2026-03-06 21:24:02.469425,1
2026-03-06 21:24:02.469465,1
2026-03-06 21:24:02.469774,1
2026-03-06 21:24:02.469847,1
2026-03-06 21:24:02.470154,0
2026-03-06 21:24:02.578232,1
2026-03-06 21:24:02.57831,1
2026-03-06 21:24:02.57838,1
2026-03-06 21:24:02.578692,0
2026-03-06 21:24:02.579082,1
2026-03-06 21:24:02.579161,1
2026-03-06 21:24:02.579236,1
2026-03-06 21:24:02.579309,1
2026-03-06 21:24:02.579387,1
2026-03-06 21:24:02.579469,1
2026-03-06 21:24:02.687296,1
2026-03-06 21:24:02.687357,1
2026-03-06 21:24:02.687395,1
2026-03-06 21:24:02.687464,1
2026-03-06 21:24:02.68752,1
2026-03-06 21:24:02.68765,0
2026-03-06 21:24:02.79682,1
2026-03-06 21:24:02.796883,1
2026-03-06 21:24:02.797251,0
2026-03-06 21:24:02.905534,1
2026-03-06 21:24:02.905667,1
2026-03-06 21:24:02.905819,1
2026-03-06 21:24:02.906002,1
2026-03-06 21:24:02.906131,1
2026-03-06 21:24:02.906209,0
2026-03-06 21:24:02.906386,1
2026-03-06 21:24:02.906588,1
2026-03-06 21:24:03.014299,1
2026-03-06 21:24:03.014337,1
2026-03-06 21:24:03.014401,1
2026-03-06 21:24:03.014474,1
2026-03-06 21:24:03.014555,1
2026-03-06 21:24:03.014649,0
2026-03-06 21:24:03.123737,1
2026-03-06 21:24:03.123819,1
2026-03-06 21:24:03.123977,1
2026-03-06 21:24:03.124056,1
2026-03-06 21:24:03.124161,1
2026-03-06 21:24:03.124323,1
2026-03-06 21:24:03.124344,0
2026-03-06 21:24:03.1245,1
2026-03-06 21:24:03.124661,1
2026-03-06 21:24:03.232213,1
2026-03-06 21:24:03.232293,1
2026-03-06 21:24:03.232344,1
2026-03-06 21:24:03.232481,1
2026-03-06 21:24:03.232588,0
2026-03-06 21:24:03.341084,1
2026-03-06 21:24:03.341142,1
2026-03-06 21:24:03.341194,1
2026-03-06 21:24:03.341264,1
2026-03-06 21:24:03.341326,1
2026-03-06 21:24:03.341439,1
2026-03-06 21:24:03.341577,0
2026-03-06 21:24:03.450415,1
2026-03-06 21:24:03.450585,1
2026-03-06 21:24:03.45063,1
2026-03-06 21:24:03.450847,1
2026-03-06 21:24:03.450955,1
2026-03-06 21:24:03.451026,0
2026-03-06 21:24:03.451256,1
2026-03-06 21:24:03.451423,1
2026-03-06 21:24:03.451766,1
2026-03-06 21:24:03.559439,1
2026-03-06 21:24:03.55957,1
2026-03-06 21:24:03.55964,1
2026-03-06 21:24:03.559811,1
2026-03-06 21:24:03.559851,0
2026-03-06 21:24:03.56007,1
2026-03-06 21:24:03.560375,1
2026-03-06 21:24:03.560432,1
2026-03-06 21:24:03.668246,1
2026-03-06 21:24:03.668316,1
2026-03-06 21:24:03.66838,1
2026-03-06 21:24:03.668489,1
2026-03-06 21:24:03.668536,1
2026-03-06 21:24:03.668585,1
2026-03-06 21:24:03.668825,0
2026-03-06 21:24:03.778071,1
2026-03-06 21:24:03.77817,1
2026-03-06 21:24:03.778242,1
2026-03-06 21:24:03.778394,1
2026-03-06 21:24:03.778586,1
2026-03-06 21:24:03.778749,0
2026-03-06 21:24:03.886087,1
2026-03-06 21:24:03.886189,1
2026-03-06 21:24:03.886261,1
2026-03-06 21:24:03.88643,0
2026-03-06 21:24:03.995399,1
2026-03-06 21:24:03.9955,1
2026-03-06 21:24:03.995569,1
2026-03-06 21:24:03.995638,1
2026-03-06 21:24:03.995732,0
2026-03-06 21:24:04.104534,1
2026-03-06 21:24:04.104609,1
2026-03-06 21:24:04.104669,1
2026-03-06 21:24:04.104971,0
2026-03-06 21:24:04.21307,1
2026-03-06 21:24:04.213188,1
2026-03-06 21:24:04.213427,1
2026-03-06 21:24:04.213514,0
2026-03-06 21:24:04.322533,1
2026-03-06 21:24:04.322595,1
2026-03-06 21:24:04.322653,1
2026-03-06 21:24:04.322733,1
2026-03-06 21:24:04.322815,1
2026-03-06 21:24:04.32306,0
2026-03-06 21:24:04.431206,1
2026-03-06 21:24:04.431274,1
2026-03-06 21:24:04.431353,1
2026-03-06 21:24:04.431431,1
2026-03-06 21:24:04.431507,1
2026-03-06 21:24:04.431605,1
2026-03-06 21:24:04.431628,0
2026-03-06 21:24:04.540311,1
2026-03-06 21:24:04.540432,1
2026-03-06 21:24:04.540542,0
2026-03-06 21:24:04.540543,1
2026-03-06 21:24:04.540669,1
2026-03-06 21:24:04.540763,1
2026-03-06 21:24:04.540928,1
2026-03-06 21:24:04.541176,1
2026-03-06 21:24:04.649016,1
2026-03-06 21:24:04.649206,1
