time,ACT.GSE_LOX_Fill_Vent.timestamp_ns
2026-03-06 21:15:48.223027,1772831748222782697
2026-03-06 21:15:48.278594,1772831748278384702
2026-03-06 21:15:48.278639,1772831748278384702
2026-03-06 21:15:48.32502,1772831748324883203
2026-03-06 21:15:48.32504,1772831748324883203
2026-03-06 21:15:48.380843,1772831748380736462
2026-03-06 21:15:48.380861,1772831748380736462
2026-03-06 21:15:48.42729,1772831748427130628
2026-03-06 21:15:48.427319,1772831748427130628
2026-03-06 21:15:48.482698,1772831748482625014
2026-03-06 21:15:48.482716,1772831748482625014
2026-03-06 21:15:48.529284,1772831748529118155
2026-03-06 21:15:48.529303,1772831748529118155
2026-03-06 21:15:48.584903,1772831748584534021
2026-03-06 21:15:48.584934,1772831748584534021
2026-03-06 21:15:48.630901,1772831748630690963
2026-03-06 21:15:48.630927,1772831748630690963
2026-03-06 21:15:48.687034,1772831748686859368
2026-03-06 21:15:48.687061,1772831748686859368
2026-03-06 21:15:48.733327,1772831748733156981
2026-03-06 21:15:48.733357,1772831748733156981
2026-03-06 21:15:48.788871,1772831748788715353
2026-03-06 21:15:48.788921,1772831748788715353
2026-03-06 21:15:48.835134,1772831748834772313
2026-03-06 21:15:48.835274,1772831748834772313
2026-03-06 21:15:48.890467,1772831748890341039
2026-03-06 21:15:48.890482,1772831748890341039
2026-03-06 21:15:48.938091,1772831748937259541
2026-03-06 21:15:48.938119,1772831748937259541
2026-03-06 21:15:48.992799,1772831748992296994
2026-03-06 21:15:48.992815,1772831748992296994
2026-03-06 21:15:49.039382,1772831749039135860
2026-03-06 21:15:49.039418,1772831749039135860
2026-03-06 21:15:49.094548,1772831749094457099
2026-03-06 21:15:49.094579,1772831749094457099
2026-03-06 21:15:49.141013,1772831749140861775
2026-03-06 21:15:49.141038,1772831749140861775
2026-03-06 21:15:49.196984,1772831749196782119
2026-03-06 21:15:49.197021,1772831749196782119
2026-03-06 21:15:49.242937,1772831749242736236
2026-03-06 21:15:49.243014,1772831749242736236
2026-03-06 21:15:49.298666,1772831749298533107
2026-03-06 21:15:49.298693,1772831749298533107
2026-03-06 21:15:49.344809,1772831749344734589
2026-03-06 21:15:49.344827,1772831749344734589
2026-03-06 21:15:49.400402,1772831749400284575
2026-03-06 21:15:49.400426,1772831749400284575
2026-03-06 21:15:49.447166,1772831749446985038
2026-03-06 21:15:49.447223,1772831749446985038
2026-03-06 21:15:49.502503,1772831749502315211
2026-03-06 21:15:49.502524,1772831749502315211
2026-03-06 21:15:49.548968,1772831749548888547
2026-03-06 21:15:49.548982,1772831749548888547
2026-03-06 21:15:49.604752,1772831749604647079
2026-03-06 21:15:49.604767,1772831749604647079
2026-03-06 21:15:49.650855,1772831749650747903
2026-03-06 21:15:49.650872,1772831749650747903
2026-03-06 21:15:49.706911,1772831749706813025
