time,ACT.GSE_High_Press_Vent.actuator_state
2026-03-06 21:21:37.940564,1
2026-03-06 21:21:37.983537,0
2026-03-06 21:21:38.042433,1
2026-03-06 21:21:38.085052,0
2026-03-06 21:21:38.144146,1
2026-03-06 21:21:38.187246,0
2026-03-06 21:21:38.246246,1
2026-03-06 21:21:38.289227,0
2026-03-06 21:21:38.34817,1
2026-03-06 21:21:38.391255,0
2026-03-06 21:21:38.450384,1
2026-03-06 21:21:38.493247,0
2026-03-06 21:21:38.552215,1
2026-03-06 21:21:38.595307,0
2026-03-06 21:21:38.654268,1
2026-03-06 21:21:38.696765,0
2026-03-06 21:21:38.756076,1
2026-03-06 21:21:38.799151,0
2026-03-06 21:21:38.858461,1
2026-03-06 21:21:38.901125,0
2026-03-06 21:21:38.960544,1
2026-03-06 21:21:39.003186,0
2026-03-06 21:21:39.062151,1
2026-03-06 21:21:39.105332,0
2026-03-06 21:21:39.16407,1
2026-03-06 21:21:39.207516,0
2026-03-06 21:21:39.266618,1
2026-03-06 21:21:39.308927,0
2026-03-06 21:21:39.368311,1
2026-03-06 21:21:39.411469,0
2026-03-06 21:21:39.470163,1
2026-03-06 21:21:39.512962,0
2026-03-06 21:21:39.572032,1
2026-03-06 21:21:39.614912,0
2026-03-06 21:21:39.674694,1
2026-03-06 21:21:39.717044,0
2026-03-06 21:21:39.776172,1
2026-03-06 21:21:39.819009,0
2026-03-06 21:21:39.878181,1
2026-03-06 21:21:39.921297,0
2026-03-06 21:21:39.980091,1
2026-03-06 21:21:40.022852,0
2026-03-06 21:21:40.0825,1
2026-03-06 21:21:40.124972,0
2026-03-06 21:21:40.184345,1
2026-03-06 21:21:40.227485,0
2026-03-06 21:21:40.28647,1
2026-03-06 21:21:40.329353,0
2026-03-06 21:21:40.388178,1
2026-03-06 21:21:40.430966,0
2026-03-06 21:21:40.490083,1
2026-03-06 21:21:40.53376,0
2026-03-06 21:21:40.592747,1
2026-03-06 21:21:40.635066,0
2026-03-06 21:21:40.694427,1
2026-03-06 21:21:40.736916,0
2026-03-06 21:21:40.79607,1
2026-03-06 21:21:40.838996,0
2026-03-06 21:21:40.898558,1
2026-03-06 21:21:40.941381,0
2026-03-06 21:21:41.000266,1
2026-03-06 21:21:41.042969,0
2026-03-06 21:21:41.102,1
2026-03-06 21:21:41.145272,0
2026-03-06 21:21:41.204352,1
2026-03-06 21:21:41.247284,0
2026-03-06 21:21:41.306291,1
2026-03-06 21:21:41.349308,0
2026-03-06 21:21:41.408601,1
2026-03-06 21:21:41.451222,0
2026-03-06 21:21:41.511268,1
2026-03-06 21:21:41.553036,0
2026-03-06 21:21:41.612419,1
2026-03-06 21:21:41.654815,0
2026-03-06 21:21:41.71411,1
2026-03-06 21:21:41.756928,0
2026-03-06 21:21:41.816143,1
2026-03-06 21:21:41.859133,0
2026-03-06 21:21:41.918561,1
2026-03-06 21:21:41.961267,0
2026-03-06 21:21:42.020164,1
2026-03-06 21:21:42.063299,0
2026-03-06 21:21:42.122379,1
2026-03-06 21:21:42.164787,0
2026-03-06 21:21:42.224188,1
2026-03-06 21:21:42.266942,0
2026-03-06 21:21:42.326249,1
2026-03-06 21:21:42.369003,0
2026-03-06 21:21:42.428273,1
2026-03-06 21:21:42.471449,0
2026-03-06 21:21:42.530529,1
2026-03-06 21:21:42.573192,0
2026-03-06 21:21:42.632359,1
2026-03-06 21:21:42.675073,0
2026-03-06 21:21:42.734384,1
2026-03-06 21:21:42.77707,0
2026-03-06 21:21:42.836361,1
2026-03-06 21:21:42.879055,0
2026-03-06 21:21:42.938313,1
2026-03-06 21:21:42.981345,0
2026-03-06 21:21:43.040516,1
2026-03-06 21:21:43.083301,0
2026-03-06 21:21:43.142553,1
2026-03-06 21:21:43.185011,0
2026-03-06 21:21:43.244665,1
2026-03-06 21:21:43.287222,0
2026-03-06 21:21:43.346448,1
2026-03-06 21:21:43.389232,0
2026-03-06 21:21:43.448001,1
