time,ACT.GSE_High_Press_Control.timestamp_ns
2026-03-06 21:17:04.621558,1772831824621236856
2026-03-06 21:17:04.621577,1772831824621236856
2026-03-06 21:17:04.679401,1772831824679228004
2026-03-06 21:17:04.679414,1772831824679228004
2026-03-06 21:17:04.723299,1772831824723132786
2026-03-06 21:17:04.72332,1772831824723132786
2026-03-06 21:17:04.781375,1772831824781196140
2026-03-06 21:17:04.78139,1772831824781196140
2026-03-06 21:17:04.825473,1772831824825274548
2026-03-06 21:17:04.8255,1772831824825274548
2026-03-06 21:17:04.883563,1772831824883195000
2026-03-06 21:17:04.883596,1772831824883195000
2026-03-06 21:17:04.927586,1772831824927422878
2026-03-06 21:17:04.927612,1772831824927422878
2026-03-06 21:17:04.985658,1772831824985294932
2026-03-06 21:17:04.985689,1772831824985294932
2026-03-06 21:17:05.029903,1772831825029663834
2026-03-06 21:17:05.02992,1772831825029663834
2026-03-06 21:17:05.08754,1772831825087282144
2026-03-06 21:17:05.087571,1772831825087282144
2026-03-06 21:17:05.131548,1772831825131220816
2026-03-06 21:17:05.131576,1772831825131220816
2026-03-06 21:17:05.18986,1772831825189615644
2026-03-06 21:17:05.189889,1772831825189615644
2026-03-06 21:17:05.233639,1772831825233330061
2026-03-06 21:17:05.233672,1772831825233330061
2026-03-06 21:17:05.291923,1772831825291542907
2026-03-06 21:17:05.291953,1772831825291542907
2026-03-06 21:17:05.335559,1772831825335265173
2026-03-06 21:17:05.335585,1772831825335265173
2026-03-06 21:17:05.393871,1772831825393563504
2026-03-06 21:17:05.393898,1772831825393563504
2026-03-06 21:17:05.43849,1772831825437104648
2026-03-06 21:17:05.438517,1772831825437104648
2026-03-06 21:17:05.495494,1772831825495241362
2026-03-06 21:17:05.495519,1772831825495241362
2026-03-06 21:17:05.539616,1772831825539362506
2026-03-06 21:17:05.539641,1772831825539362506
2026-03-06 21:17:05.597444,1772831825597228790
2026-03-06 21:17:05.597467,1772831825597228790
2026-03-06 21:17:05.6416,1772831825641377264
2026-03-06 21:17:05.641635,1772831825641377264
2026-03-06 21:17:05.699838,1772831825699487489
2026-03-06 21:17:05.699882,1772831825699487489
2026-03-06 21:17:05.743371,1772831825743192850
2026-03-06 21:17:05.743394,1772831825743192850
2026-03-06 21:17:05.801625,1772831825801299743
2026-03-06 21:17:05.801668,1772831825801299743
2026-03-06 21:17:05.845612,1772831825845359153
2026-03-06 21:17:05.845644,1772831825845359153
2026-03-06 21:17:05.903546,1772831825903303246
2026-03-06 21:17:05.903571,1772831825903303246
2026-03-06 21:17:05.947766,1772831825947563730
2026-03-06 21:17:05.947792,1772831825947563730
2026-03-06 21:17:06.005709,1772831826005388843
2026-03-06 21:17:06.005737,1772831826005388843
2026-03-06 21:17:06.049449,1772831826049294777
2026-03-06 21:17:06.049477,1772831826049294777
2026-03-06 21:17:06.107499,1772831826107248599
2026-03-06 21:17:06.107531,1772831826107248599
2026-03-06 21:17:06.151807,1772831826151491569
2026-03-06 21:17:06.151837,1772831826151491569
2026-03-06 21:17:06.209425,1772831826209198629
2026-03-06 21:17:06.209449,1772831826209198629
2026-03-06 21:17:06.25378,1772831826253509836
2026-03-06 21:17:06.253809,1772831826253509836
2026-03-06 21:17:06.311661,1772831826311386315
2026-03-06 21:17:06.311695,1772831826311386315
2026-03-06 21:17:06.355712,1772831826355430047
2026-03-06 21:17:06.355734,1772831826355430047
2026-03-06 21:17:06.414489,1772831826413941753
2026-03-06 21:17:06.414508,1772831826413941753
2026-03-06 21:17:06.457735,1772831826457363883
2026-03-06 21:17:06.457767,1772831826457363883
2026-03-06 21:17:06.515789,1772831826515591016
2026-03-06 21:17:06.515821,1772831826515591016
2026-03-06 21:17:06.559763,1772831826559370536
2026-03-06 21:17:06.559794,1772831826559370536
2026-03-06 21:17:06.617737,1772831826617559247
2026-03-06 21:17:06.617768,1772831826617559247
