time,PT_Cal.GSE_High.cal_status
2026-03-06 21:15:33.564451,1
2026-03-06 21:15:33.564473,1
2026-03-06 21:15:33.564494,1
2026-03-06 21:15:33.564517,1
2026-03-06 21:15:33.693116,1
2026-03-06 21:15:33.693232,1
2026-03-06 21:15:33.693291,0
2026-03-06 21:15:33.693381,1
2026-03-06 21:15:33.693534,1
2026-03-06 21:15:33.693685,1
2026-03-06 21:15:33.693835,1
2026-03-06 21:15:33.693982,1
2026-03-06 21:15:33.694132,1
2026-03-06 21:15:33.694303,1
2026-03-06 21:15:33.76388,1
2026-03-06 21:15:33.76397,1
2026-03-06 21:15:33.764044,1
2026-03-06 21:15:33.764076,1
2026-03-06 21:15:33.764122,1
2026-03-06 21:15:33.764176,1
2026-03-06 21:15:33.764253,1
2026-03-06 21:15:33.864173,1
2026-03-06 21:15:33.864252,1
2026-03-06 21:15:33.864301,1
2026-03-06 21:15:33.864379,1
2026-03-06 21:15:33.864463,1
2026-03-06 21:15:33.864531,1
2026-03-06 21:15:33.86462,1
2026-03-06 21:15:33.86471,1
2026-03-06 21:15:33.864799,0
2026-03-06 21:15:33.965364,1
2026-03-06 21:15:33.965483,1
2026-03-06 21:15:33.965587,1
2026-03-06 21:15:33.965672,1
2026-03-06 21:15:33.965782,1
2026-03-06 21:15:33.966254,1
2026-03-06 21:15:33.966481,0
2026-03-06 21:15:33.966556,1
2026-03-06 21:15:34.065232,1
2026-03-06 21:15:34.06529,1
2026-03-06 21:15:34.065314,1
2026-03-06 21:15:34.065342,1
2026-03-06 21:15:34.065374,1
2026-03-06 21:15:34.065408,1
2026-03-06 21:15:34.065444,1
2026-03-06 21:15:34.065475,1
2026-03-06 21:15:34.065517,1
2026-03-06 21:15:34.165568,1
2026-03-06 21:15:34.165639,1
2026-03-06 21:15:34.16567,1
2026-03-06 21:15:34.165717,1
2026-03-06 21:15:34.165783,1
2026-03-06 21:15:34.165876,1
2026-03-06 21:15:34.165963,1
2026-03-06 21:15:34.166045,1
2026-03-06 21:15:34.166118,0
2026-03-06 21:15:34.269254,1
2026-03-06 21:15:34.269309,1
2026-03-06 21:15:34.269339,1
2026-03-06 21:15:34.269359,1
2026-03-06 21:15:34.269394,1
2026-03-06 21:15:34.269434,1
2026-03-06 21:15:34.269482,1
2026-03-06 21:15:34.269543,1
2026-03-06 21:15:34.269585,0
2026-03-06 21:15:34.369079,1
2026-03-06 21:15:34.369179,1
2026-03-06 21:15:34.369273,1
2026-03-06 21:15:34.369428,1
2026-03-06 21:15:34.369572,1
2026-03-06 21:15:34.369733,1
2026-03-06 21:15:34.369808,1
2026-03-06 21:15:34.36986,0
2026-03-06 21:15:34.370205,1
2026-03-06 21:15:34.46927,1
2026-03-06 21:15:34.469385,1
2026-03-06 21:15:34.469413,1
2026-03-06 21:15:34.469514,1
2026-03-06 21:15:34.469644,1
2026-03-06 21:15:34.46987,1
2026-03-06 21:15:34.470041,1
2026-03-06 21:15:34.470404,0
2026-03-06 21:15:34.569299,1
2026-03-06 21:15:34.569434,1
2026-03-06 21:15:34.569484,1
2026-03-06 21:15:34.569536,1
2026-03-06 21:15:34.570064,1
2026-03-06 21:15:34.570362,0
2026-03-06 21:15:34.570866,1
2026-03-06 21:15:34.570979,1
2026-03-06 21:15:34.571318,1
2026-03-06 21:15:34.669352,1
2026-03-06 21:15:34.669485,1
2026-03-06 21:15:34.669547,1
2026-03-06 21:15:34.670019,1
2026-03-06 21:15:34.670757,1
2026-03-06 21:15:34.670839,1
2026-03-06 21:15:34.670917,0
2026-03-06 21:15:34.670971,1
2026-03-06 21:15:34.671069,1
2026-03-06 21:15:34.671153,1
2026-03-06 21:15:34.769024,1
2026-03-06 21:15:34.769125,1
2026-03-06 21:15:34.769154,1
2026-03-06 21:15:34.76927,1
2026-03-06 21:15:34.869567,1
2026-03-06 21:15:34.869643,1
2026-03-06 21:15:34.869678,0
2026-03-06 21:15:34.869716,1
2026-03-06 21:15:34.869793,1
2026-03-06 21:15:34.869874,1
2026-03-06 21:15:34.870035,1
2026-03-06 21:15:34.870152,1
2026-03-06 21:15:34.970101,1
2026-03-06 21:15:34.970164,1
2026-03-06 21:15:34.970216,0
2026-03-06 21:15:34.970262,1
2026-03-06 21:15:34.970373,1
2026-03-06 21:15:34.970493,1
2026-03-06 21:15:34.970562,1
2026-03-06 21:15:34.970631,1
2026-03-06 21:15:35.072723,1
2026-03-06 21:15:35.07305,1
2026-03-06 21:15:35.073073,0
2026-03-06 21:15:35.073425,1
2026-03-06 21:15:35.073684,1
2026-03-06 21:15:35.074015,1
2026-03-06 21:15:35.170223,1
2026-03-06 21:15:35.170282,1
2026-03-06 21:15:35.170314,1
2026-03-06 21:15:35.170336,1
2026-03-06 21:15:35.170377,1
2026-03-06 21:15:35.170408,1
2026-03-06 21:15:35.170438,1
2026-03-06 21:15:35.170466,1
2026-03-06 21:15:35.274423,1
2026-03-06 21:15:35.274519,1
2026-03-06 21:15:35.274593,1
2026-03-06 21:15:35.274677,0
2026-03-06 21:15:35.274723,1
2026-03-06 21:15:35.274809,1
2026-03-06 21:15:35.274889,1
2026-03-06 21:15:35.374348,1
2026-03-06 21:15:35.374399,1
2026-03-06 21:15:35.374429,1
2026-03-06 21:15:35.374471,1
2026-03-06 21:15:35.374508,1
2026-03-06 21:15:35.37453,1
2026-03-06 21:15:35.374554,1
2026-03-06 21:15:35.374582,1
2026-03-06 21:15:35.374794,0
2026-03-06 21:15:35.474132,1
2026-03-06 21:15:35.474251,1
2026-03-06 21:15:35.474308,1
2026-03-06 21:15:35.474621,1
2026-03-06 21:15:35.474783,1
2026-03-06 21:15:35.474858,1
2026-03-06 21:15:35.474887,0
2026-03-06 21:15:35.474954,1
2026-03-06 21:15:35.475077,1
2026-03-06 21:15:35.574568,1
2026-03-06 21:15:35.574652,1
2026-03-06 21:15:35.574704,1
2026-03-06 21:15:35.574771,1
2026-03-06 21:15:35.574848,1
2026-03-06 21:15:35.574939,1
2026-03-06 21:15:35.574987,0
2026-03-06 21:15:35.575049,1
2026-03-06 21:15:35.575202,1
2026-03-06 21:15:35.674737,1
2026-03-06 21:15:35.674825,1
2026-03-06 21:15:35.674856,1
2026-03-06 21:15:35.674887,1
2026-03-06 21:15:35.674948,1
2026-03-06 21:15:35.674995,1
2026-03-06 21:15:35.675062,1
2026-03-06 21:15:35.675301,1
2026-03-06 21:15:35.675381,1
2026-03-06 21:15:35.676019,0
2026-03-06 21:15:35.774552,1
2026-03-06 21:15:35.774621,1
2026-03-06 21:15:35.774669,1
2026-03-06 21:15:35.774724,1
2026-03-06 21:15:35.774779,1
2026-03-06 21:15:35.774854,1
2026-03-06 21:15:35.774959,1
2026-03-06 21:15:35.874227,1
2026-03-06 21:15:35.874297,1
2026-03-06 21:15:35.87432,1
2026-03-06 21:15:35.874373,1
2026-03-06 21:15:35.874454,1
2026-03-06 21:15:35.87458,1
2026-03-06 21:15:35.874669,1
2026-03-06 21:15:35.87467,0
2026-03-06 21:15:35.874802,1
2026-03-06 21:15:35.974902,1
2026-03-06 21:15:35.974942,1
2026-03-06 21:15:35.974954,1
2026-03-06 21:15:35.974966,1
2026-03-06 21:15:35.974984,1
2026-03-06 21:15:35.975007,1
2026-03-06 21:15:35.975029,1
2026-03-06 21:15:35.975053,1
2026-03-06 21:15:35.975076,1
2026-03-06 21:15:35.975204,0
2026-03-06 21:15:36.075326,1
2026-03-06 21:15:36.07539,0
2026-03-06 21:15:36.075458,1
2026-03-06 21:15:36.07557,1
2026-03-06 21:15:36.075682,1
2026-03-06 21:15:36.075792,1
2026-03-06 21:15:36.075905,1
2026-03-06 21:15:36.076051,1
2026-03-06 21:15:36.076246,1
2026-03-06 21:15:36.07644,1
2026-03-06 21:15:36.175225,1
2026-03-06 21:15:36.175298,1
2026-03-06 21:15:36.17534,1
2026-03-06 21:15:36.175406,1
2026-03-06 21:15:36.175467,1
2026-03-06 21:15:36.175537,1
2026-03-06 21:15:36.175598,0
2026-03-06 21:15:36.175616,1
2026-03-06 21:15:36.175709,1
2026-03-06 21:15:36.279624,1
2026-03-06 21:15:36.279686,1
2026-03-06 21:15:36.279829,0
2026-03-06 21:15:36.279902,1
2026-03-06 21:15:36.279997,1
2026-03-06 21:15:36.280214,1
2026-03-06 21:15:36.280431,1
2026-03-06 21:15:36.280667,1
2026-03-06 21:15:36.280884,1
2026-03-06 21:15:36.280983,1
2026-03-06 21:15:36.379282,1
2026-03-06 21:15:36.379318,1
2026-03-06 21:15:36.379343,1
2026-03-06 21:15:36.379371,1
2026-03-06 21:15:36.379404,1
2026-03-06 21:15:36.379449,1
2026-03-06 21:15:36.379532,1
2026-03-06 21:15:36.379906,0
2026-03-06 21:15:36.479548,1
2026-03-06 21:15:36.479595,1
2026-03-06 21:15:36.479625,1
2026-03-06 21:15:36.479654,1
2026-03-06 21:15:36.47969,1
2026-03-06 21:15:36.47972,1
2026-03-06 21:15:36.479747,1
2026-03-06 21:15:36.479772,1
2026-03-06 21:15:36.479807,1
2026-03-06 21:15:36.47992,0
2026-03-06 21:15:36.579103,1
2026-03-06 21:15:36.579162,1
2026-03-06 21:15:36.579189,1
2026-03-06 21:15:36.579219,1
2026-03-06 21:15:36.57925,1
2026-03-06 21:15:36.579279,1
2026-03-06 21:15:36.579312,1
2026-03-06 21:15:36.579344,1
2026-03-06 21:15:36.579377,1
2026-03-06 21:15:36.67928,1
2026-03-06 21:15:36.679384,1
2026-03-06 21:15:36.679422,1
2026-03-06 21:15:36.679477,1
2026-03-06 21:15:36.679537,1
2026-03-06 21:15:36.679697,1
2026-03-06 21:15:36.679863,1
2026-03-06 21:15:36.679934,0
2026-03-06 21:15:36.779538,1
2026-03-06 21:15:36.77967,1
2026-03-06 21:15:36.779717,1
2026-03-06 21:15:36.779756,1
2026-03-06 21:15:36.779783,1
2026-03-06 21:15:36.7798,1
2026-03-06 21:15:36.779819,1
2026-03-06 21:15:36.780026,1
2026-03-06 21:15:36.780066,0
2026-03-06 21:15:36.780097,1
2026-03-06 21:15:36.879387,1
2026-03-06 21:15:36.879448,1
2026-03-06 21:15:36.879479,1
2026-03-06 21:15:36.879573,1
2026-03-06 21:15:36.87969,1
2026-03-06 21:15:36.879765,1
2026-03-06 21:15:36.879902,1
2026-03-06 21:15:36.880307,0
2026-03-06 21:15:36.980036,1
2026-03-06 21:15:36.980081,1
2026-03-06 21:15:36.980113,1
2026-03-06 21:15:36.980156,1
2026-03-06 21:15:36.980235,1
2026-03-06 21:15:36.980307,1
2026-03-06 21:15:36.980364,1
2026-03-06 21:15:36.98057,0
2026-03-06 21:15:37.080141,1
2026-03-06 21:15:37.08024,1
2026-03-06 21:15:37.080272,1
2026-03-06 21:15:37.080318,1
2026-03-06 21:15:37.080428,1
2026-03-06 21:15:37.080497,1
2026-03-06 21:15:37.08058,1
2026-03-06 21:15:37.080718,0
2026-03-06 21:15:37.180187,1
2026-03-06 21:15:37.180269,1
2026-03-06 21:15:37.180297,1
2026-03-06 21:15:37.180304,1
2026-03-06 21:15:37.180324,1
2026-03-06 21:15:37.18043,1
2026-03-06 21:15:37.180571,1
2026-03-06 21:15:37.180645,1
2026-03-06 21:15:37.18078,1
2026-03-06 21:15:37.18113,0
2026-03-06 21:15:37.284205,1
2026-03-06 21:15:37.284256,0
2026-03-06 21:15:37.28433,1
2026-03-06 21:15:37.284395,1
2026-03-06 21:15:37.284417,1
2026-03-06 21:15:37.284432,1
2026-03-06 21:15:37.284441,1
2026-03-06 21:15:37.284468,1
2026-03-06 21:15:37.284478,1
2026-03-06 21:15:37.284503,1
2026-03-06 21:15:37.384587,1
2026-03-06 21:15:37.384666,1
2026-03-06 21:15:37.384711,1
2026-03-06 21:15:37.384808,1
2026-03-06 21:15:37.384889,1
2026-03-06 21:15:37.384999,1
2026-03-06 21:15:37.385102,1
2026-03-06 21:15:37.385753,0
2026-03-06 21:15:37.484115,1
2026-03-06 21:15:37.484231,1
2026-03-06 21:15:37.484321,1
2026-03-06 21:15:37.484457,1
2026-03-06 21:15:37.484629,1
2026-03-06 21:15:37.484861,1
2026-03-06 21:15:37.486721,0
2026-03-06 21:15:37.584082,1
2026-03-06 21:15:37.584168,1
2026-03-06 21:15:37.584269,1
2026-03-06 21:15:37.584464,1
2026-03-06 21:15:37.584544,1
2026-03-06 21:15:37.584671,1
2026-03-06 21:15:37.584764,1
2026-03-06 21:15:37.584878,1
2026-03-06 21:15:37.585034,1
2026-03-06 21:15:37.685922,1
2026-03-06 21:15:37.686052,1
2026-03-06 21:15:37.686151,1
2026-03-06 21:15:37.686301,1
2026-03-06 21:15:37.686481,1
2026-03-06 21:15:37.687755,0
2026-03-06 21:15:37.784013,1
2026-03-06 21:15:37.784091,1
2026-03-06 21:15:37.784336,1
2026-03-06 21:15:37.784401,1
