time,ACT.GN2_Vent.sample_ts_ms
2026-03-06 21:19:51.043133,11212484
2026-03-06 21:19:51.08689,11212566
2026-03-06 21:19:51.145616,11212586
2026-03-06 21:19:51.188531,11212668
2026-03-06 21:19:51.247376,11212688
2026-03-06 21:19:51.290669,11212770
2026-03-06 21:19:51.349575,11212790
2026-03-06 21:19:51.392749,11212872
2026-03-06 21:19:51.4516,11212892
2026-03-06 21:19:51.494518,11212974
2026-03-06 21:19:51.553115,11212994
2026-03-06 21:19:51.596653,11213076
2026-03-06 21:19:51.655254,11213096
2026-03-06 21:19:51.698676,11213178
2026-03-06 21:19:51.757422,11213198
2026-03-06 21:19:51.800688,11213280
2026-03-06 21:19:51.859692,11213300
2026-03-06 21:19:51.902535,11213382
2026-03-06 21:19:51.961632,11213402
2026-03-06 21:19:52.004946,11213484
2026-03-06 21:19:52.06347,11213504
2026-03-06 21:19:52.106381,11213586
2026-03-06 21:19:52.165521,11213606
2026-03-06 21:19:52.20868,11213688
2026-03-06 21:19:52.267424,11213708
2026-03-06 21:19:52.310434,11213790
2026-03-06 21:19:52.369358,11213810
2026-03-06 21:19:52.412584,11213892
2026-03-06 21:19:52.471546,11213912
2026-03-06 21:19:52.514803,11213994
2026-03-06 21:19:52.573561,11214014
2026-03-06 21:19:52.616709,11214096
2026-03-06 21:19:52.675333,11214116
2026-03-06 21:19:52.718669,11214198
2026-03-06 21:19:52.777341,11214218
2026-03-06 21:19:52.820451,11214300
2026-03-06 21:19:52.879204,11214320
2026-03-06 21:19:52.922926,11214402
2026-03-06 21:19:52.981448,11214422
2026-03-06 21:19:53.02429,11214504
2026-03-06 21:19:53.08332,11214524
2026-03-06 21:19:53.126901,11214606
2026-03-06 21:19:53.185097,11214626
2026-03-06 21:19:53.228991,11214708
2026-03-06 21:19:53.287271,11214728
2026-03-06 21:19:53.330455,11214810
2026-03-06 21:19:53.38906,11214830
2026-03-06 21:19:53.432804,11214912
2026-03-06 21:19:53.491536,11214932
2026-03-06 21:19:53.534408,11215014
2026-03-06 21:19:53.593414,11215034
2026-03-06 21:19:53.636416,11215116
2026-03-06 21:19:53.695331,11215136
2026-03-06 21:19:53.738671,11215218
2026-03-06 21:19:53.797201,11215238
2026-03-06 21:19:53.840399,11215320
2026-03-06 21:19:53.89938,11215340
2026-03-06 21:19:53.942478,11215422
2026-03-06 21:19:54.001135,11215442
2026-03-06 21:19:54.044849,11215524
2026-03-06 21:19:54.103068,11215544
2026-03-06 21:19:54.146837,11215626
2026-03-06 21:19:54.205374,11215646
2026-03-06 21:19:54.24861,11215728
2026-03-06 21:19:54.307513,11215748
2026-03-06 21:19:54.350941,11215830
2026-03-06 21:19:54.409535,11215850
2026-03-06 21:19:54.452393,11215932
2026-03-06 21:19:54.511226,11215952
2026-03-06 21:19:54.554884,11216034
2026-03-06 21:19:54.61359,11216054
2026-03-06 21:19:54.656735,11216136
