time,PT_Cal.Ox_Upstream.raw_adc
2026-03-06 21:26:20.029098,219851537
2026-03-06 21:26:20.029252,219954695
2026-03-06 21:26:20.029324,219956045
2026-03-06 21:26:20.029538,219975597
2026-03-06 21:26:20.138028,220730071
2026-03-06 21:26:20.138095,220608033
2026-03-06 21:26:20.138259,220587806
2026-03-06 21:26:20.138418,220005937
2026-03-06 21:26:20.138435,220730071
2026-03-06 21:26:20.138567,220021446
2026-03-06 21:26:20.138735,219895363
2026-03-06 21:26:20.138888,220544655
2026-03-06 21:26:20.139083,219941885
2026-03-06 21:26:20.24683,220030211
2026-03-06 21:26:20.246884,220430034
2026-03-06 21:26:20.246946,220609381
2026-03-06 21:26:20.247018,220425989
2026-03-06 21:26:20.247088,219813105
2026-03-06 21:26:20.247201,220004589
2026-03-06 21:26:20.247312,220030211
2026-03-06 21:26:20.356043,220622193
2026-03-06 21:26:20.35609,219701182
2026-03-06 21:26:20.356188,220712540
2026-03-06 21:26:20.35644,219949976
2026-03-06 21:26:20.356518,220011332
2026-03-06 21:26:20.356602,220622193
2026-03-06 21:26:20.356617,220508246
2026-03-06 21:26:20.356842,220423292
2026-03-06 21:26:20.357029,220628260
2026-03-06 21:26:20.465153,220343058
2026-03-06 21:26:20.465249,220118535
2026-03-06 21:26:20.465285,220181914
2026-03-06 21:26:20.465297,220408459
2026-03-06 21:26:20.465356,220117187
2026-03-06 21:26:20.465433,220105725
2026-03-06 21:26:20.465461,220343058
2026-03-06 21:26:20.465501,219915590
2026-03-06 21:26:20.46557,219928400
2026-03-06 21:26:20.465638,219990430
2026-03-06 21:26:20.573578,219836030
2026-03-06 21:26:20.573656,219857605
2026-03-06 21:26:20.573732,219893339
2026-03-06 21:26:20.573803,220512291
2026-03-06 21:26:20.573876,220032908
2026-03-06 21:26:20.573949,219836030
2026-03-06 21:26:20.682498,219877159
2026-03-06 21:26:20.68256,220684222
2026-03-06 21:26:20.682622,220503526
2026-03-06 21:26:20.682683,220267542
2026-03-06 21:26:20.682748,220458352
2026-03-06 21:26:20.682985,219877159
2026-03-06 21:26:20.791583,220018749
2026-03-06 21:26:20.79174,220040324
2026-03-06 21:26:20.791874,219918286
2026-03-06 21:26:20.791936,220018749
2026-03-06 21:26:20.900169,220086847
2026-03-06 21:26:20.90021,220058528
2026-03-06 21:26:20.900264,219898059
2026-03-06 21:26:20.900329,219958067
2026-03-06 21:26:20.900534,220086847
2026-03-06 21:26:21.009409,219830635
2026-03-06 21:26:21.00945,219947953
2026-03-06 21:26:21.00951,220053809
2026-03-06 21:26:21.009567,220101005
2026-03-06 21:26:21.009629,220218998
2026-03-06 21:26:21.010219,219830635
2026-03-06 21:26:21.118706,219905476
2026-03-06 21:26:21.118769,219885924
2026-03-06 21:26:21.118869,217680488
2026-03-06 21:26:21.119487,219905476
2026-03-06 21:26:21.227908,219875809
2026-03-06 21:26:21.227986,220657253
2026-03-06 21:26:21.228027,220699729
2026-03-06 21:26:21.228182,219980990
2026-03-06 21:26:21.228335,219929075
2026-03-06 21:26:21.228494,219875809
2026-03-06 21:26:21.2285,220597246
2026-03-06 21:26:21.228643,220148202
2026-03-06 21:26:21.22883,219910196
2026-03-06 21:26:21.336738,220049089
2026-03-06 21:26:21.33681,220334966
2026-03-06 21:26:21.336903,220577692
2026-03-06 21:26:21.33701,220589829
2026-03-06 21:26:21.337332,220049089
2026-03-06 21:26:21.445411,220111119
2026-03-06 21:26:21.445469,220509595
2026-03-06 21:26:21.445495,218130880
2026-03-06 21:26:21.445644,220740858
2026-03-06 21:26:21.445771,220565556
2026-03-06 21:26:21.445954,220111119
2026-03-06 21:26:21.554501,220415201
2026-03-06 21:26:21.554599,220556117
2026-03-06 21:26:21.554647,219914916
2026-03-06 21:26:21.554729,220491390
2026-03-06 21:26:21.555075,220415201
2026-03-06 21:26:21.663511,220669389
2026-03-06 21:26:21.663619,220464421
2026-03-06 21:26:21.663864,220285072
2026-03-06 21:26:21.664134,220485321
2026-03-06 21:26:21.664161,220669389
2026-03-06 21:26:21.772601,220662647
2026-03-06 21:26:21.772673,219992454
2026-03-06 21:26:21.772747,220368678
