time,BOARD.HB_12.board_state
2026-03-06 21:22:33.377756,2
2026-03-06 21:22:34.377963,2
2026-03-06 21:22:35.377898,2
2026-03-06 21:22:36.387186,2
2026-03-06 21:22:37.396043,2
2026-03-06 21:22:38.39553,2
2026-03-06 21:22:39.395648,2
2026-03-06 21:22:40.395897,2
2026-03-06 21:22:41.395919,2
2026-03-06 21:22:42.405322,2
2026-03-06 21:22:43.413705,2
2026-03-06 21:22:44.4139,2
2026-03-06 21:22:45.413586,2
2026-03-06 21:22:46.413517,2
2026-03-06 21:22:47.413729,2
2026-03-06 21:22:48.423243,2
2026-03-06 21:22:49.431677,2
2026-03-06 21:22:50.431471,2
2026-03-06 21:22:51.43182,2
2026-03-06 21:22:52.431787,2
2026-03-06 21:22:53.431558,2
2026-03-06 21:22:54.441525,2
2026-03-06 21:22:55.450081,2
2026-03-06 21:22:56.450087,2
2026-03-06 21:22:57.449978,2
2026-03-06 21:22:58.449733,2
2026-03-06 21:22:59.449953,2
2026-03-06 21:23:00.45941,2
2026-03-06 21:23:01.467732,2
2026-03-06 21:23:02.468196,2
2026-03-06 21:23:03.468018,2
2026-03-06 21:23:04.467657,2
2026-03-06 21:23:05.468065,2
2026-03-06 21:23:06.477387,2
2026-03-06 21:23:07.486106,2
2026-03-06 21:23:08.485828,2
2026-03-06 21:23:09.485714,2
2026-03-06 21:23:10.486148,2
2026-03-06 21:23:11.485874,2
2026-03-06 21:23:12.495658,2
2026-03-06 21:23:13.503889,2
2026-03-06 21:23:14.504107,2
2026-03-06 21:23:15.504081,2
2026-03-06 21:23:16.504138,2
2026-03-06 21:23:17.50423,2
2026-03-06 21:23:18.513673,2
2026-03-06 21:23:19.521602,2
2026-03-06 21:23:20.522062,2
2026-03-06 21:23:21.52228,2
2026-03-06 21:23:22.522152,2
2026-03-06 21:23:23.522033,2
2026-03-06 21:23:24.531732,2
2026-03-06 21:23:25.540195,2
2026-03-06 21:23:26.539764,2
2026-03-06 21:23:27.540039,2
2026-03-06 21:23:28.539774,2
2026-03-06 21:23:29.540156,2
2026-03-06 21:23:30.54973,2
2026-03-06 21:23:31.557922,2
2026-03-06 21:23:32.557956,2
2026-03-06 21:23:33.558466,2
2026-03-06 21:23:34.557791,2
2026-03-06 21:23:35.558212,2
2026-03-06 21:23:36.567855,2
2026-03-06 21:23:37.576082,2
2026-03-06 21:23:38.576368,2
2026-03-06 21:23:39.57643,2
2026-03-06 21:23:40.576346,2
2026-03-06 21:23:41.576295,2
2026-03-06 21:23:42.58605,2
2026-03-06 21:23:43.594412,2
2026-03-06 21:23:44.594194,2
2026-03-06 21:23:45.593936,2
2026-03-06 21:23:46.593964,2
2026-03-06 21:23:47.594413,2
2026-03-06 21:23:48.603883,2
2026-03-06 21:23:49.612581,2
2026-03-06 21:23:50.612481,2
2026-03-06 21:23:51.612344,2
2026-03-06 21:23:52.611968,2
2026-03-06 21:23:53.61249,2
2026-03-06 21:23:54.621801,2
2026-03-06 21:23:55.630207,2
2026-03-06 21:23:56.630374,2
2026-03-06 21:23:57.630381,2
