time,PT_Cal.GSE_Low.pressure_psi
2026-03-06 21:23:51.896173,125.37914
2026-03-06 21:23:51.896257,125.2421
2026-03-06 21:23:51.896303,125.32519
2026-03-06 21:23:51.896474,0.4514586
2026-03-06 21:23:52.005288,125.26494
2026-03-06 21:23:52.005547,125.62411
2026-03-06 21:23:52.00574,0.45126307
2026-03-06 21:23:52.00584,125.21768
2026-03-06 21:23:52.006113,125.36339
2026-03-06 21:23:52.00649,125.27557
2026-03-06 21:23:52.006632,125.27124
2026-03-06 21:23:52.006776,125.38702
2026-03-06 21:23:52.006955,125.370476
2026-03-06 21:23:52.114269,125.93252
2026-03-06 21:23:52.114365,125.539825
2026-03-06 21:23:52.114416,125.28266
2026-03-06 21:23:52.114462,125.13972
2026-03-06 21:23:52.114486,125.2547
2026-03-06 21:23:52.114681,0.4524059
2026-03-06 21:23:52.223407,125.26179
2026-03-06 21:23:52.223506,124.95229
2026-03-06 21:23:52.223534,125.28817
2026-03-06 21:23:52.223605,125.30747
2026-03-06 21:23:52.223681,125.34921
2026-03-06 21:23:52.223698,0.45125768
2026-03-06 21:23:52.223752,125.22753
2026-03-06 21:23:52.223831,125.24249
2026-03-06 21:23:52.332148,125.33425
2026-03-06 21:23:52.332245,125.24564
2026-03-06 21:23:52.332304,125.328735
2026-03-06 21:23:52.332388,125.28581
2026-03-06 21:23:52.332427,0.45138174
2026-03-06 21:23:52.332469,125.2992
2026-03-06 21:23:52.332569,125.313774
2026-03-06 21:23:52.332728,125.18658
2026-03-06 21:23:52.440843,125.92503
2026-03-06 21:23:52.440915,125.26612
2026-03-06 21:23:52.440934,125.28266
2026-03-06 21:23:52.44104,125.22595
2026-03-06 21:23:52.44118,125.19563
2026-03-06 21:23:52.441261,0.45239308
2026-03-06 21:23:52.55014,125.30983
2026-03-06 21:23:52.550278,125.29093
2026-03-06 21:23:52.55033,125.24171
2026-03-06 21:23:52.550378,125.27676
2026-03-06 21:23:52.550427,125.366936
2026-03-06 21:23:52.550507,125.25116
2026-03-06 21:23:52.550617,125.22044
2026-03-06 21:23:52.55067,0.45133993
2026-03-06 21:23:52.658977,125.338974
2026-03-06 21:23:52.659063,125.272026
2026-03-06 21:23:52.659093,125.232254
2026-03-06 21:23:52.659162,125.36497
2026-03-06 21:23:52.659265,125.29802
2026-03-06 21:23:52.659342,125.28778
2026-03-06 21:23:52.659431,0.45138982
2026-03-06 21:23:52.659485,125.392136
2026-03-06 21:23:52.65966,123.57782
2026-03-06 21:23:52.768276,125.32913
2026-03-06 21:23:52.768402,125.33779
2026-03-06 21:23:52.768427,125.35118
2026-03-06 21:23:52.768497,125.355515
2026-03-06 21:23:52.768621,125.36614
2026-03-06 21:23:52.768833,125.73321
2026-03-06 21:23:52.768984,0.45137295
2026-03-06 21:23:52.876939,125.646164
2026-03-06 21:23:52.87703,125.270454
2026-03-06 21:23:52.877077,125.273605
2026-03-06 21:23:52.877139,125.33031
2026-03-06 21:23:52.877182,0.4519157
2026-03-06 21:23:52.877215,125.396866
2026-03-06 21:23:52.877282,125.33267
2026-03-06 21:23:52.877351,125.70012
2026-03-06 21:23:52.877417,125.385445
2026-03-06 21:23:52.986517,125.257454
2026-03-06 21:23:52.986587,125.290535
2026-03-06 21:23:52.986656,125.29723
2026-03-06 21:23:52.986729,125.372055
2026-03-06 21:23:52.986818,125.293686
2026-03-06 21:23:52.986852,0.45125026
2026-03-06 21:23:52.986923,125.418526
2026-03-06 21:23:52.987003,125.3307
2026-03-06 21:23:53.095237,125.405525
2026-03-06 21:23:53.095377,125.27321
2026-03-06 21:23:53.095476,0.45150375
2026-03-06 21:23:53.09557,125.39844
2026-03-06 21:23:53.095784,125.2232
2026-03-06 21:23:53.204313,125.23659
2026-03-06 21:23:53.204404,125.24328
2026-03-06 21:23:53.204473,125.30235
2026-03-06 21:23:53.204547,125.23737
2026-03-06 21:23:53.204588,0.45121452
2026-03-06 21:23:53.204628,125.34409
2026-03-06 21:23:53.204705,124.95583
2026-03-06 21:23:53.204776,124.87906
2026-03-06 21:23:53.20485,125.265724
2026-03-06 21:23:53.204929,125.238556
2026-03-06 21:23:53.313031,125.22556
2026-03-06 21:23:53.313122,125.59103
2026-03-06 21:23:53.313195,125.30117
2026-03-06 21:23:53.313273,125.31613
2026-03-06 21:23:53.313313,0.45119563
2026-03-06 21:23:53.313349,125.312195
2026-03-06 21:23:53.313649,125.25273
2026-03-06 21:23:53.313742,125.295654
2026-03-06 21:23:53.31405,125.94237
2026-03-06 21:23:53.422192,125.23619
2026-03-06 21:23:53.4224,125.35315
2026-03-06 21:23:53.422465,125.23895
2026-03-06 21:23:53.422474,0.45121384
2026-03-06 21:23:53.422538,124.847565
2026-03-06 21:23:53.422608,125.35433
2026-03-06 21:23:53.422646,125.37402
2026-03-06 21:23:53.422657,125.26494
2026-03-06 21:23:53.42269,125.30944
2026-03-06 21:23:53.531412,125.345665
2026-03-06 21:23:53.531516,125.196815
2026-03-06 21:23:53.531551,125.24013
2026-03-06 21:23:53.531611,125.30826
2026-03-06 21:23:53.531689,125.25116
2026-03-06 21:23:53.53177,125.36654
2026-03-06 21:23:53.531843,125.25273
2026-03-06 21:23:53.531902,0.4514013
2026-03-06 21:23:53.640147,125.272026
2026-03-06 21:23:53.640258,125.307076
2026-03-06 21:23:53.640322,125.71942
2026-03-06 21:23:53.640363,0.4512752
2026-03-06 21:23:53.640393,125.55755
2026-03-06 21:23:53.749152,125.33149
2026-03-06 21:23:53.749234,125.28857
2026-03-06 21:23:53.749308,125.24249
2026-03-06 21:23:53.749389,125.36142
2026-03-06 21:23:53.749437,0.451377
2026-03-06 21:23:53.749536,125.263756
2026-03-06 21:23:53.749614,125.268486
2026-03-06 21:23:53.858345,125.32913
2026-03-06 21:23:53.858458,125.40356
2026-03-06 21:23:53.858516,125.247215
2026-03-06 21:23:53.858582,125.26809
2026-03-06 21:23:53.858657,125.251945
2026-03-06 21:23:53.858742,125.27636
2026-03-06 21:23:53.858837,0.45137295
2026-03-06 21:23:53.967132,125.34961
2026-03-06 21:23:53.967247,125.31023
2026-03-06 21:23:53.967298,125.305504
2026-03-06 21:23:53.967349,0.45140803
2026-03-06 21:23:53.967355,125.2039
2026-03-06 21:23:53.967436,125.231865
2026-03-06 21:23:53.967511,125.32598
2026-03-06 21:23:54.076101,125.412224
2026-03-06 21:23:54.076216,125.223595
2026-03-06 21:23:54.076248,125.667435
2026-03-06 21:23:54.076306,125.33779
2026-03-06 21:23:54.076326,0.45151523
2026-03-06 21:23:54.07637,125.36339
2026-03-06 21:23:54.076434,125.2421
2026-03-06 21:23:54.18547,125.27479
2026-03-06 21:23:54.18558,125.313774
2026-03-06 21:23:54.185657,125.23147
2026-03-06 21:23:54.185684,0.4512799
2026-03-06 21:23:54.185792,125.30629
2026-03-06 21:23:54.185953,125.28069
2026-03-06 21:23:54.186116,125.2803
2026-03-06 21:23:54.186339,125.34763
2026-03-06 21:23:54.186567,124.90741
2026-03-06 21:23:54.294086,124.96253
2026-03-06 21:23:54.294355,125.260216
2026-03-06 21:23:54.294432,125.26415
2026-03-06 21:23:54.29458,125.2421
2026-03-06 21:23:54.294821,125.36536
2026-03-06 21:23:54.294869,0.45074525
2026-03-06 21:23:54.403441,125.30353
2026-03-06 21:23:54.403608,125.45279
2026-03-06 21:23:54.403694,0.45132914
2026-03-06 21:23:54.403839,125.328735
2026-03-06 21:23:54.404081,125.315346
2026-03-06 21:23:54.404806,125.2925
2026-03-06 21:23:54.405111,125.309044
2026-03-06 21:23:54.40549,125.29172
2026-03-06 21:23:54.512432,125.21178
2026-03-06 21:23:54.512573,125.268486
2026-03-06 21:23:54.5127,125.29959
2026-03-06 21:23:54.512711,0.45117205
2026-03-06 21:23:54.512908,125.31613
2026-03-06 21:23:54.513115,125.00269
2026-03-06 21:23:54.513345,125.205475
2026-03-06 21:23:54.513583,125.27006
2026-03-06 21:23:54.513889,125.257065
2026-03-06 21:23:54.621221,125.3945
2026-03-06 21:23:54.62137,125.34961
2026-03-06 21:23:54.621405,125.18067
2026-03-06 21:23:54.62151,125.348816
2026-03-06 21:23:54.621581,125.44806
2026-03-06 21:23:54.621631,0.4514849
2026-03-06 21:23:54.621672,125.36182
2026-03-06 21:23:54.730336,125.34173
2026-03-06 21:23:54.730419,125.21611
2026-03-06 21:23:54.730455,124.85465
2026-03-06 21:23:54.730585,0.45139453
2026-03-06 21:23:54.730699,125.39607
2026-03-06 21:23:54.730823,125.3244
2026-03-06 21:23:54.839011,125.38268
2026-03-06 21:23:54.839138,125.22044
2026-03-06 21:23:54.839191,125.30629
2026-03-06 21:23:54.839236,125.360634
2026-03-06 21:23:54.839321,125.40434
2026-03-06 21:23:54.839411,125.34331
2026-03-06 21:23:54.839439,0.45146465
2026-03-06 21:23:54.948338,125.13224
2026-03-06 21:23:54.948506,125.22832
2026-03-06 21:23:54.948574,125.40434
2026-03-06 21:23:54.948715,125.24328
2026-03-06 21:23:54.949003,0.45103586
2026-03-06 21:23:55.05699,125.345276
2026-03-06 21:23:55.057036,0.4514006
2026-03-06 21:23:55.057088,125.2295
2026-03-06 21:23:55.057136,125.32952
2026-03-06 21:23:55.057185,125.22083
2026-03-06 21:23:55.057264,125.37363
2026-03-06 21:23:55.057352,125.332275
2026-03-06 21:23:55.057421,125.32637
2026-03-06 21:23:55.166133,125.27833
2026-03-06 21:23:55.166326,0.451286
2026-03-06 21:23:55.274998,125.30353
2026-03-06 21:23:55.275079,125.317314
2026-03-06 21:23:55.275226,0.45132914
2026-03-06 21:23:55.383817,125.2866
2026-03-06 21:23:55.383891,125.03931
2026-03-06 21:23:55.383957,125.300385
2026-03-06 21:23:55.384074,0.45130014
2026-03-06 21:23:55.493134,125.26257
2026-03-06 21:23:55.493225,125.300385
2026-03-06 21:23:55.493276,125.273605
2026-03-06 21:23:55.493819,0.45125902
2026-03-06 21:23:55.602368,125.375206
2026-03-06 21:23:55.602462,0.45145184
2026-03-06 21:23:55.602547,125.31338
2026-03-06 21:23:55.602816,125.345665
2026-03-06 21:23:55.603154,125.1405
2026-03-06 21:23:55.60341,124.980644
2026-03-06 21:23:55.711414,125.32401
2026-03-06 21:23:55.711554,125.253914
2026-03-06 21:23:55.711592,125.29605
2026-03-06 21:23:55.711635,125.35788
2026-03-06 21:23:55.711844,125.37363
2026-03-06 21:23:55.71215,0.4513642
2026-03-06 21:23:55.820245,125.37953
2026-03-06 21:23:55.820328,125.35276
2026-03-06 21:23:55.820382,125.37087
2026-03-06 21:23:55.820461,125.20784
2026-03-06 21:23:55.820645,0.45145926
2026-03-06 21:23:55.821093,125.410645
2026-03-06 21:23:55.929484,125.27006
2026-03-06 21:23:55.929585,125.35197
2026-03-06 21:23:55.929707,125.38663
2026-03-06 21:23:55.929812,125.355515
2026-03-06 21:23:55.92985,0.45127183
2026-03-06 21:23:55.929941,125.35
2026-03-06 21:23:55.930081,125.40002
2026-03-06 21:23:56.038094,125.337006
2026-03-06 21:23:56.038189,125.03301
2026-03-06 21:23:56.038222,125.32755
2026-03-06 21:23:56.038284,125.33189
2026-03-06 21:23:56.038382,125.27676
2026-03-06 21:23:56.038449,125.32007
2026-03-06 21:23:56.038521,125.38426
2026-03-06 21:23:56.038632,125.33976
2026-03-06 21:23:56.038751,0.45138645
2026-03-06 21:23:56.147673,125.30747
2026-03-06 21:23:56.147766,125.066475
2026-03-06 21:23:56.147842,125.215324
2026-03-06 21:23:56.147931,125.2803
2026-03-06 21:23:56.14806,125.04207
2026-03-06 21:23:56.148561,0.45133588
2026-03-06 21:23:56.256143,124.88536
2026-03-06 21:23:56.25629,125.31613
2026-03-06 21:23:56.256332,124.933395
2026-03-06 21:23:56.256363,123.62661
2026-03-06 21:23:56.256405,125.30747
2026-03-06 21:23:56.256443,0.4506131
2026-03-06 21:23:56.365744,125.29644
2026-03-06 21:23:56.365871,124.91253
2026-03-06 21:23:56.365942,0.451317
2026-03-06 21:23:56.365973,125.28817
2026-03-06 21:23:56.366082,125.24919
2026-03-06 21:23:56.366227,125.22989
2026-03-06 21:23:56.366518,125.33267
2026-03-06 21:23:56.474477,125.2232
2026-03-06 21:23:56.474555,125.27793
2026-03-06 21:23:56.474624,125.35748
2026-03-06 21:23:56.474843,125.30629
2026-03-06 21:23:56.474909,125.33543
2026-03-06 21:23:56.475079,0.4511916
2026-03-06 21:23:56.583207,125.60835
2026-03-06 21:23:56.583281,125.317314
2026-03-06 21:23:56.5833,125.265724
2026-03-06 21:23:56.583321,125.29802
2026-03-06 21:23:56.583434,125.3819
2026-03-06 21:23:56.583529,125.71509
2026-03-06 21:23:56.583679,0.451851
2026-03-06 21:23:56.692365,125.205475
2026-03-06 21:23:56.692622,125.27557
2026-03-06 21:23:56.692661,125.34606
2026-03-06 21:23:56.693089,0.45116127
2026-03-06 21:23:56.800964,125.327156
2026-03-06 21:23:56.80103,125.3882
2026-03-06 21:23:56.80105,125.35276
2026-03-06 21:23:56.801071,125.228714
2026-03-06 21:23:56.801145,125.32677
2026-03-06 21:23:56.801313,125.33937
2026-03-06 21:23:56.801366,0.45136958
2026-03-06 21:23:56.909998,125.33582
2026-03-06 21:23:56.910083,125.73951
2026-03-06 21:23:56.910195,0.45138443
2026-03-06 21:23:56.910239,125.38741
