time,ACT.GSE_High_Press_Vent.sample_ts_ms
2026-03-06 21:34:44.849906,12106327
2026-03-06 21:34:44.876139,12106311
2026-03-06 21:34:44.951767,12106429
2026-03-06 21:34:44.978295,12106413
2026-03-06 21:34:45.053562,12106531
2026-03-06 21:34:45.080491,12106515
2026-03-06 21:34:45.155519,12106633
2026-03-06 21:34:45.182347,12106617
2026-03-06 21:34:45.257919,12106735
2026-03-06 21:34:45.284503,12106719
2026-03-06 21:34:45.359612,12106837
2026-03-06 21:34:45.386426,12106821
2026-03-06 21:34:45.462249,12106939
2026-03-06 21:34:45.488324,12106923
2026-03-06 21:34:45.563768,12107041
2026-03-06 21:34:45.590527,12107025
2026-03-06 21:34:45.665871,12107143
2026-03-06 21:34:45.692677,12107127
2026-03-06 21:34:45.767564,12107245
2026-03-06 21:34:45.794324,12107229
2026-03-06 21:34:45.86983,12107347
2026-03-06 21:34:45.896661,12107331
2026-03-06 21:34:45.971573,12107449
2026-03-06 21:34:45.998475,12107433
2026-03-06 21:34:46.073934,12107551
2026-03-06 21:34:46.100474,12107535
2026-03-06 21:34:46.175985,12107653
2026-03-06 21:34:46.202603,12107637
2026-03-06 21:34:46.277934,12107755
2026-03-06 21:34:46.304554,12107739
2026-03-06 21:34:46.379956,12107857
2026-03-06 21:34:46.406722,12107841
2026-03-06 21:34:46.48149,12107959
2026-03-06 21:34:46.50853,12107943
2026-03-06 21:34:46.583729,12108061
2026-03-06 21:34:46.610591,12108045
2026-03-06 21:34:46.685908,12108163
2026-03-06 21:34:46.712488,12108147
2026-03-06 21:34:46.787879,12108265
2026-03-06 21:34:46.814374,12108249
2026-03-06 21:34:46.890019,12108367
2026-03-06 21:34:46.91659,12108351
2026-03-06 21:34:46.991836,12108469
2026-03-06 21:34:47.017985,12108453
2026-03-06 21:34:47.093761,12108571
2026-03-06 21:34:47.120482,12108555
2026-03-06 21:34:47.195554,12108673
2026-03-06 21:34:47.222064,12108657
2026-03-06 21:34:47.297774,12108775
2026-03-06 21:34:47.324252,12108759
2026-03-06 21:34:47.399637,12108877
2026-03-06 21:34:47.426329,12108861
2026-03-06 21:34:47.501979,12108979
2026-03-06 21:34:47.528604,12108963
2026-03-06 21:34:47.603589,12109081
