time,ACT.GSE_High_Press_Control.actuator_state
2026-03-06 21:29:25.218184,0
2026-03-06 21:29:25.307279,0
2026-03-06 21:29:25.320428,0
2026-03-06 21:29:25.409547,0
2026-03-06 21:29:25.421867,0
2026-03-06 21:29:25.51114,0
2026-03-06 21:29:25.524602,0
2026-03-06 21:29:25.613163,0
2026-03-06 21:29:25.6262,0
2026-03-06 21:29:25.715308,0
2026-03-06 21:29:25.728174,0
2026-03-06 21:29:25.817521,0
2026-03-06 21:29:25.830237,0
2026-03-06 21:29:25.919557,0
2026-03-06 21:29:25.932352,0
2026-03-06 21:29:26.021472,0
2026-03-06 21:29:26.034092,0
2026-03-06 21:29:26.123624,0
2026-03-06 21:29:26.136401,0
2026-03-06 21:29:26.225546,0
2026-03-06 21:29:26.238289,0
2026-03-06 21:29:26.327431,0
2026-03-06 21:29:26.340415,0
2026-03-06 21:29:26.429418,0
2026-03-06 21:29:26.442368,0
2026-03-06 21:29:26.531625,0
2026-03-06 21:29:26.544338,0
2026-03-06 21:29:26.633666,0
2026-03-06 21:29:26.646119,0
2026-03-06 21:29:26.735709,0
2026-03-06 21:29:26.748123,0
2026-03-06 21:29:26.837409,0
2026-03-06 21:29:26.850062,0
2026-03-06 21:29:26.939297,0
2026-03-06 21:29:26.95246,0
2026-03-06 21:29:27.041901,0
2026-03-06 21:29:27.053924,0
2026-03-06 21:29:27.143833,0
2026-03-06 21:29:27.155986,0
2026-03-06 21:29:27.245744,0
2026-03-06 21:29:27.25833,0
2026-03-06 21:29:27.34745,0
2026-03-06 21:29:27.360548,0
2026-03-06 21:29:27.449727,0
2026-03-06 21:29:27.462093,0
2026-03-06 21:29:27.551385,0
2026-03-06 21:29:27.563895,0
2026-03-06 21:29:27.653371,0
2026-03-06 21:29:27.6661,0
2026-03-06 21:29:27.755383,0
2026-03-06 21:29:27.768056,0
2026-03-06 21:29:27.857256,0
2026-03-06 21:29:27.870378,0
2026-03-06 21:29:27.959414,0
2026-03-06 21:29:27.971924,0
2026-03-06 21:29:28.061659,0
2026-03-06 21:29:28.074348,0
2026-03-06 21:29:28.163535,0
2026-03-06 21:29:28.176447,0
2026-03-06 21:29:28.26528,0
2026-03-06 21:29:28.278011,0
2026-03-06 21:29:28.367439,0
2026-03-06 21:29:28.380278,0
2026-03-06 21:29:28.469748,0
2026-03-06 21:29:28.482325,0
2026-03-06 21:29:28.571707,0
2026-03-06 21:29:28.584208,0
2026-03-06 21:29:28.673502,0
2026-03-06 21:29:28.685918,0
2026-03-06 21:29:28.775492,0
2026-03-06 21:29:28.788062,0
2026-03-06 21:29:28.877164,0
2026-03-06 21:29:28.890119,0
2026-03-06 21:29:28.979709,0
2026-03-06 21:29:28.99223,0
2026-03-06 21:29:29.081481,0
2026-03-06 21:29:29.09407,0
2026-03-06 21:29:29.183643,0
2026-03-06 21:29:29.196032,0
2026-03-06 21:29:29.285252,0
2026-03-06 21:29:29.298428,0
2026-03-06 21:29:29.387577,0
2026-03-06 21:29:29.400217,0
2026-03-06 21:29:29.4894,0
2026-03-06 21:29:29.502149,0
2026-03-06 21:29:29.591641,0
2026-03-06 21:29:29.60408,0
2026-03-06 21:29:29.693711,0
2026-03-06 21:29:29.706413,0
2026-03-06 21:29:29.795733,0
2026-03-06 21:29:29.808203,0
2026-03-06 21:29:29.897641,0
2026-03-06 21:29:29.910146,0
2026-03-06 21:29:29.999382,0
2026-03-06 21:29:30.012071,0
2026-03-06 21:29:30.101364,0
2026-03-06 21:29:30.114456,0
2026-03-06 21:29:30.203653,0
2026-03-06 21:29:30.216027,0
2026-03-06 21:29:30.305225,0
2026-03-06 21:29:30.318101,0
2026-03-06 21:29:30.408005,0
2026-03-06 21:29:30.420321,0
2026-03-06 21:29:30.509539,0
2026-03-06 21:29:30.522322,0
2026-03-06 21:29:30.611565,0
2026-03-06 21:29:30.624199,0
2026-03-06 21:29:30.713568,0
2026-03-06 21:29:30.726107,0
2026-03-06 21:29:30.815255,0
2026-03-06 21:29:30.828117,0
2026-03-06 21:29:30.917458,0
2026-03-06 21:29:30.930096,0
2026-03-06 21:29:31.019255,0
2026-03-06 21:29:31.031907,0
2026-03-06 21:29:31.121744,0
2026-03-06 21:29:31.134342,0
2026-03-06 21:29:31.223452,0
2026-03-06 21:29:31.236077,0
2026-03-06 21:29:31.325457,0
2026-03-06 21:29:31.338051,0
2026-03-06 21:29:31.427299,0
2026-03-06 21:29:31.440085,0
2026-03-06 21:29:31.529706,0
2026-03-06 21:29:31.542134,0
2026-03-06 21:29:31.631437,0
2026-03-06 21:29:31.643922,0
2026-03-06 21:29:31.733669,0
2026-03-06 21:29:31.746182,0
2026-03-06 21:29:31.835505,0
2026-03-06 21:29:31.848251,0
2026-03-06 21:29:31.937287,0
2026-03-06 21:29:31.950378,0
2026-03-06 21:29:32.039665,0
2026-03-06 21:29:32.052164,0
2026-03-06 21:29:32.141356,0
2026-03-06 21:29:32.153872,0
2026-03-06 21:29:32.243572,0
2026-03-06 21:29:32.256039,0
2026-03-06 21:29:32.345389,0
2026-03-06 21:29:32.358004,0
2026-03-06 21:29:32.447449,0
2026-03-06 21:29:32.460437,0
2026-03-06 21:29:32.549464,0
2026-03-06 21:29:32.562245,0
2026-03-06 21:29:32.651395,0
2026-03-06 21:29:32.664537,0
2026-03-06 21:29:32.753383,0
2026-03-06 21:29:32.766351,0
2026-03-06 21:29:32.855573,0
2026-03-06 21:29:32.868109,0
2026-03-06 21:29:32.957603,0
2026-03-06 21:29:32.969967,0
2026-03-06 21:29:33.05949,0
2026-03-06 21:29:33.071855,0
2026-03-06 21:29:33.161535,0
2026-03-06 21:29:33.174176,0
2026-03-06 21:29:33.263446,0
2026-03-06 21:29:33.276276,0
2026-03-06 21:29:33.365284,0
2026-03-06 21:29:33.378332,0
2026-03-06 21:29:33.467465,0
2026-03-06 21:29:33.480436,0
2026-03-06 21:29:33.569203,0
2026-03-06 21:29:33.582132,0
2026-03-06 21:29:33.671335,0
2026-03-06 21:29:33.683994,0
2026-03-06 21:29:33.7735,0
2026-03-06 21:29:33.786095,0
2026-03-06 21:29:33.875767,0
2026-03-06 21:29:33.887139,0
2026-03-06 21:29:33.977473,0
2026-03-06 21:29:33.988965,0
2026-03-06 21:29:34.079453,0
2026-03-06 21:29:34.09117,0
2026-03-06 21:29:34.181459,0
2026-03-06 21:29:34.193164,0
2026-03-06 21:29:34.283581,0
2026-03-06 21:29:34.294963,0
2026-03-06 21:29:34.385519,0
2026-03-06 21:29:34.396942,0
2026-03-06 21:29:34.48724,0
2026-03-06 21:29:34.499157,0
2026-03-06 21:29:34.589582,0
2026-03-06 21:29:34.601612,0
2026-03-06 21:29:34.691663,0
2026-03-06 21:29:34.703537,0
2026-03-06 21:29:34.793302,0
2026-03-06 21:29:34.805197,0
2026-03-06 21:29:34.89551,0
2026-03-06 21:29:34.907243,0
2026-03-06 21:29:34.997898,0
2026-03-06 21:29:35.009668,0
2026-03-06 21:29:35.099573,0
2026-03-06 21:29:35.111169,0
2026-03-06 21:29:35.201492,0
2026-03-06 21:29:35.213436,0
2026-03-06 21:29:35.303554,0
2026-03-06 21:29:35.315079,0
2026-03-06 21:29:35.40557,0
2026-03-06 21:29:35.417375,0
2026-03-06 21:29:35.507425,0
2026-03-06 21:29:35.519268,0
2026-03-06 21:29:35.609667,0
2026-03-06 21:29:35.621008,0
2026-03-06 21:29:35.711429,0
2026-03-06 21:29:35.722428,0
2026-03-06 21:29:35.813717,0
2026-03-06 21:29:35.823991,0
2026-03-06 21:29:35.915411,0
2026-03-06 21:29:35.926217,0
2026-03-06 21:29:36.017206,0
2026-03-06 21:29:36.028265,0
2026-03-06 21:29:36.119758,0
2026-03-06 21:29:36.130359,0
2026-03-06 21:29:36.221807,0
2026-03-06 21:29:36.232267,0
2026-03-06 21:29:36.3237,0
2026-03-06 21:29:36.334148,0
2026-03-06 21:29:36.425291,0
2026-03-06 21:29:36.436369,0
2026-03-06 21:29:36.527731,0
2026-03-06 21:29:36.53791,0
2026-03-06 21:29:36.629707,0
2026-03-06 21:29:36.640162,0
2026-03-06 21:29:36.731928,0
2026-03-06 21:29:36.742237,0
2026-03-06 21:29:36.833587,0
2026-03-06 21:29:36.844512,0
2026-03-06 21:29:36.935322,0
2026-03-06 21:29:36.946543,0
2026-03-06 21:29:37.037479,0
2026-03-06 21:29:37.048421,0
2026-03-06 21:29:37.139814,0
2026-03-06 21:29:37.150068,0
2026-03-06 21:29:37.241824,0
2026-03-06 21:29:37.252069,0
2026-03-06 21:29:37.343738,0
2026-03-06 21:29:37.354129,0
2026-03-06 21:29:37.445666,0
2026-03-06 21:29:37.456481,0
2026-03-06 21:29:37.547732,0
2026-03-06 21:29:37.557975,0
2026-03-06 21:29:37.649628,0
2026-03-06 21:29:37.659978,0
2026-03-06 21:29:37.751358,0
2026-03-06 21:29:37.762011,0
2026-03-06 21:29:37.85378,0
2026-03-06 21:29:37.863933,0
2026-03-06 21:29:37.955396,0
2026-03-06 21:29:37.966152,0
2026-03-06 21:29:38.0575,0
2026-03-06 21:29:38.068382,0
2026-03-06 21:29:38.159477,0
2026-03-06 21:29:38.170214,0
2026-03-06 21:29:38.261405,0
2026-03-06 21:29:38.272054,0
2026-03-06 21:29:38.363807,0
2026-03-06 21:29:38.374227,0
2026-03-06 21:29:38.465397,0
2026-03-06 21:29:38.476194,0
2026-03-06 21:29:38.56795,0
2026-03-06 21:29:38.578511,0
2026-03-06 21:29:38.66982,0
2026-03-06 21:29:38.680137,0
2026-03-06 21:29:38.77129,0
2026-03-06 21:29:38.782241,0
2026-03-06 21:29:38.873532,0
2026-03-06 21:29:38.88417,0
2026-03-06 21:29:38.975424,0
2026-03-06 21:29:38.985962,0
2026-03-06 21:29:39.077636,0
2026-03-06 21:29:39.087848,0
2026-03-06 21:29:39.179732,0
2026-03-06 21:29:39.190093,0
2026-03-06 21:29:39.28169,0
2026-03-06 21:29:39.292444,0
2026-03-06 21:29:39.383598,0
2026-03-06 21:29:39.393974,0
2026-03-06 21:29:39.485896,0
2026-03-06 21:29:39.49633,0
2026-03-06 21:29:39.587562,0
2026-03-06 21:29:39.59845,0
2026-03-06 21:29:39.689467,0
2026-03-06 21:29:39.700075,0
2026-03-06 21:29:39.791633,0
2026-03-06 21:29:39.802058,0
2026-03-06 21:29:39.894021,0
2026-03-06 21:29:39.904268,0
2026-03-06 21:29:39.99535,0
2026-03-06 21:29:40.006141,0
2026-03-06 21:29:40.097447,0
2026-03-06 21:29:40.108312,0
2026-03-06 21:29:40.199502,0
2026-03-06 21:29:40.210267,0
2026-03-06 21:29:40.301474,0
