time,PT_Cal.GSE_Low.cal_status
2026-03-06 21:37:23.744451,1
2026-03-06 21:37:23.744584,1
2026-03-06 21:37:23.744731,1
2026-03-06 21:37:23.744917,1
2026-03-06 21:37:23.745066,0
2026-03-06 21:37:23.85088,1
2026-03-06 21:37:23.851439,0
2026-03-06 21:37:23.851854,1
2026-03-06 21:37:23.851935,1
2026-03-06 21:37:23.851987,1
2026-03-06 21:37:23.852062,1
2026-03-06 21:37:23.959479,1
2026-03-06 21:37:23.960246,1
2026-03-06 21:37:23.960275,1
2026-03-06 21:37:23.960428,1
2026-03-06 21:37:23.960806,1
2026-03-06 21:37:23.96117,1
2026-03-06 21:37:23.965605,0
2026-03-06 21:37:24.0718,1
2026-03-06 21:37:24.0719,1
2026-03-06 21:37:24.071924,1
2026-03-06 21:37:24.072673,0
2026-03-06 21:37:24.075238,1
2026-03-06 21:37:24.179548,1
2026-03-06 21:37:24.17987,0
2026-03-06 21:37:24.288742,1
2026-03-06 21:37:24.289286,0
2026-03-06 21:37:24.395967,1
2026-03-06 21:37:24.396191,1
2026-03-06 21:37:24.396371,1
2026-03-06 21:37:24.396509,1
2026-03-06 21:37:24.396816,1
2026-03-06 21:37:24.397127,0
2026-03-06 21:37:24.504968,1
2026-03-06 21:37:24.505252,1
2026-03-06 21:37:24.505278,0
2026-03-06 21:37:24.508635,1
2026-03-06 21:37:24.508703,1
2026-03-06 21:37:24.613367,1
2026-03-06 21:37:24.613613,1
2026-03-06 21:37:24.613864,0
2026-03-06 21:37:24.617321,1
2026-03-06 21:37:24.617402,1
2026-03-06 21:37:24.723382,1
2026-03-06 21:37:24.723913,0
2026-03-06 21:37:24.724889,1
2026-03-06 21:37:24.831399,1
2026-03-06 21:37:24.831625,1
2026-03-06 21:37:24.831809,1
2026-03-06 21:37:24.831973,1
2026-03-06 21:37:24.832152,1
2026-03-06 21:37:24.838102,0
2026-03-06 21:37:24.940851,1
2026-03-06 21:37:24.940968,1
2026-03-06 21:37:24.941498,0
2026-03-06 21:37:24.943357,1
2026-03-06 21:37:24.943411,1
2026-03-06 21:37:24.943445,1
2026-03-06 21:37:25.052348,1
2026-03-06 21:37:25.052439,1
2026-03-06 21:37:25.05249,1
2026-03-06 21:37:25.052547,1
2026-03-06 21:37:25.052594,1
2026-03-06 21:37:25.054247,0
2026-03-06 21:37:25.158843,1
2026-03-06 21:37:25.158964,1
2026-03-06 21:37:25.159185,1
2026-03-06 21:37:25.159402,1
2026-03-06 21:37:25.159411,0
2026-03-06 21:37:25.159804,1
2026-03-06 21:37:25.267782,1
2026-03-06 21:37:25.269698,0
2026-03-06 21:37:25.271473,1
2026-03-06 21:37:25.271584,1
2026-03-06 21:37:25.274273,1
2026-03-06 21:37:25.274296,1
2026-03-06 21:37:25.274315,1
2026-03-06 21:37:25.376979,1
2026-03-06 21:37:25.377197,1
2026-03-06 21:37:25.378529,0
