time,PT_Cal.GSE_High.raw_adc
2026-03-06 21:18:07.111758,570688038
2026-03-06 21:18:07.111879,570804667
2026-03-06 21:18:07.11195,570758151
2026-03-06 21:18:07.11204,570640173
2026-03-06 21:18:07.211317,570779049
2026-03-06 21:18:07.211446,570929387
2026-03-06 21:18:07.211489,570739274
2026-03-06 21:18:07.211559,570741297
2026-03-06 21:18:07.211634,570762870
2026-03-06 21:18:07.21176,570739274
2026-03-06 21:18:07.310793,571009611
2026-03-06 21:18:07.310888,570586241
2026-03-06 21:18:07.310924,570835005
2026-03-06 21:18:07.310969,570758825
2026-03-06 21:18:07.311053,570634781
2026-03-06 21:18:07.311194,570687365
2026-03-06 21:18:07.31253,570634781
2026-03-06 21:18:07.411085,570634781
2026-03-06 21:18:07.411229,570710286
2026-03-06 21:18:07.411285,570663769
2026-03-06 21:18:07.41134,570696802
2026-03-06 21:18:07.411461,570521522
2026-03-06 21:18:07.411596,571058824
2026-03-06 21:18:07.411699,570746016
2026-03-06 21:18:07.41184,570859949
2026-03-06 21:18:07.412265,570783769
2026-03-06 21:18:07.412926,570710286
2026-03-06 21:18:07.51097,570743319
2026-03-06 21:18:07.511055,570903769
2026-03-06 21:18:07.511101,570762196
2026-03-06 21:18:07.51117,570724443
2026-03-06 21:18:07.511217,570690735
2026-03-06 21:18:07.511285,570875455
2026-03-06 21:18:07.611084,570760174
2026-03-06 21:18:07.611183,570574105
2026-03-06 21:18:07.611251,571064219
2026-03-06 21:18:07.611313,570701522
2026-03-06 21:18:07.611376,570712982
2026-03-06 21:18:07.611518,570779049
2026-03-06 21:18:07.611948,570760174
2026-03-06 21:18:07.711947,570873431
2026-03-06 21:18:07.712148,570669837
2026-03-06 21:18:07.712204,570768263
2026-03-06 21:18:07.712254,570772982
2026-03-06 21:18:07.712315,570636129
2026-03-06 21:18:07.712448,570873431
2026-03-06 21:18:07.812008,570729836
2026-03-06 21:18:07.812127,570686690
2026-03-06 21:18:07.812312,570820847
2026-03-06 21:18:07.812445,570729836
2026-03-06 21:18:07.812528,570947590
2026-03-06 21:18:07.812557,570748038
2026-03-06 21:18:07.812653,570753432
2026-03-06 21:18:07.812781,570952307
2026-03-06 21:18:07.81295,570698150
2026-03-06 21:18:07.912906,570789162
2026-03-06 21:18:07.912907,570789162
2026-03-06 21:18:07.913311,570762196
2026-03-06 21:18:07.914204,570907139
2026-03-06 21:18:07.91427,570625342
2026-03-06 21:18:07.914518,570780398
2026-03-06 21:18:07.914724,570751410
2026-03-06 21:18:08.01628,570609162
2026-03-06 21:18:08.016323,570609162
2026-03-06 21:18:08.016426,570803319
2026-03-06 21:18:08.016775,571005567
2026-03-06 21:18:08.017179,570735905
2026-03-06 21:18:08.017617,570485792
2026-03-06 21:18:08.017901,570644218
2026-03-06 21:18:08.018279,570730510
2026-03-06 21:18:08.018577,570874780
2026-03-06 21:18:08.018902,570696802
2026-03-06 21:18:08.116312,570497253
2026-03-06 21:18:08.116413,570752083
2026-03-06 21:18:08.116488,570953656
2026-03-06 21:18:08.116535,570497253
2026-03-06 21:18:08.116579,570774330
2026-03-06 21:18:08.116729,570926015
2026-03-06 21:18:08.116851,570719725
2026-03-06 21:18:08.116982,570802645
2026-03-06 21:18:08.21682,570918599
2026-03-06 21:18:08.216908,570783769
2026-03-06 21:18:08.217003,570746016
2026-03-06 21:18:08.217137,570721072
2026-03-06 21:18:08.217252,570861297
2026-03-06 21:18:08.220453,570918599
2026-03-06 21:18:08.316486,570632757
2026-03-06 21:18:08.316579,570415005
2026-03-06 21:18:08.316641,570731185
2026-03-06 21:18:08.316802,570796578
2026-03-06 21:18:08.317019,570710286
2026-03-06 21:18:08.317222,570667814
2026-03-06 21:18:08.317591,570769610
2026-03-06 21:18:08.415955,570883544
2026-03-06 21:18:08.416023,570673881
2026-03-06 21:18:08.416035,570883544
2026-03-06 21:18:08.416075,570605118
2026-03-06 21:18:08.416098,570780398
2026-03-06 21:18:08.416121,570825567
2026-03-06 21:18:08.416143,570578825
2026-03-06 21:18:08.416214,570799274
2026-03-06 21:18:08.516532,570732533
2026-03-06 21:18:08.516652,570920622
2026-03-06 21:18:08.516696,570809387
2026-03-06 21:18:08.516795,570714330
2026-03-06 21:18:08.516871,570762196
2026-03-06 21:18:08.516952,570768263
2026-03-06 21:18:08.517032,570613881
2026-03-06 21:18:08.517752,570732533
2026-03-06 21:18:08.616136,570639500
2026-03-06 21:18:08.616243,570631409
2026-03-06 21:18:08.616307,570875455
2026-03-06 21:18:08.616396,570938151
2026-03-06 21:18:08.616476,570857252
2026-03-06 21:18:08.61656,570518825
2026-03-06 21:18:08.616649,570703545
2026-03-06 21:18:08.717251,570677253
2026-03-06 21:18:08.717296,570801298
2026-03-06 21:18:08.717354,570700848
2026-03-06 21:18:08.717384,570621971
