time,PT_Cal.Ox_Downstream.pressure_psi
2026-03-06 21:17:14.804675,0.0
2026-03-06 21:17:14.804746,0.0
2026-03-06 21:17:14.804821,0.0
2026-03-06 21:17:14.804899,0.0
2026-03-06 21:17:14.804913,0.19819431
2026-03-06 21:17:14.804976,0.0
2026-03-06 21:17:14.805058,0.0
2026-03-06 21:17:14.805136,0.0
2026-03-06 21:17:14.805233,0.0
2026-03-06 21:17:14.913688,0.0
2026-03-06 21:17:14.913802,0.0
2026-03-06 21:17:14.913948,0.0
2026-03-06 21:17:14.914092,0.0
2026-03-06 21:17:14.914263,0.0
2026-03-06 21:17:14.914463,0.19815993
2026-03-06 21:17:15.022631,0.0
2026-03-06 21:17:15.022778,0.0
2026-03-06 21:17:15.022928,0.0
2026-03-06 21:17:15.023028,0.0
2026-03-06 21:17:15.023286,0.19818352
2026-03-06 21:17:15.131529,0.0
2026-03-06 21:17:15.13174,0.0
2026-03-06 21:17:15.13208,0.0
2026-03-06 21:17:15.132458,0.0
2026-03-06 21:17:15.132803,0.0
2026-03-06 21:17:15.133145,0.19804801
2026-03-06 21:17:15.240569,0.0
2026-03-06 21:17:15.240767,0.0
2026-03-06 21:17:15.240984,0.0
2026-03-06 21:17:15.241156,0.0
2026-03-06 21:17:15.241185,0.1985584
2026-03-06 21:17:15.24139,0.0
2026-03-06 21:17:15.350027,0.0
2026-03-06 21:17:15.350184,0.0
2026-03-06 21:17:15.350365,0.0
2026-03-06 21:17:15.350535,0.0
2026-03-06 21:17:15.350705,0.0
2026-03-06 21:17:15.350891,0.0
2026-03-06 21:17:15.351629,0.19857256
2026-03-06 21:17:15.458734,0.0
2026-03-06 21:17:15.458899,0.0
2026-03-06 21:17:15.459065,0.0
2026-03-06 21:17:15.459258,0.0
2026-03-06 21:17:15.460072,0.19811274
2026-03-06 21:17:15.567971,0.0
2026-03-06 21:17:15.568248,0.0
2026-03-06 21:17:15.568473,0.0
2026-03-06 21:17:15.568705,0.0
2026-03-06 21:17:15.570254,0.19815117
2026-03-06 21:17:15.677043,0.0
2026-03-06 21:17:15.677294,0.0
2026-03-06 21:17:15.677502,0.0
2026-03-06 21:17:15.677736,0.0
